,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,part2,1,LEGO FEET,PART 2,"LEGO FEET

            —
            PART 2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
1,memorybubble,2,JENSEN INTERCEPTOR,MEMORY BUBBLE,"JENSEN INTERCEPTOR

            —
            MEMORY BUBBLE",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
2,violenttendencies,3,NKISI,VIOLENTTENDENCIES,"NKISI

            —
            VIOLENTTENDENCIES",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
3,acidthunder,4,FAST EDDIE,ACID THUNDER,"FAST EDDIE

            —
            ACID THUNDER",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
4,grinder,5,SKULL DISCO,GRINDER,"SKULL DISCO

            —
            GRINDER",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
5,riptide,6,DECAL,RIPTIDE,"DECAL

            —
            RIPTIDE",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
6,purpleburglar,7,GIAN,PURPLE BURGLAR,"GIAN

            —
            PURPLE BURGLAR",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
7,asalutetothosepeoplewhosayfuckyou,8,MARK BELL,A SALUTE TO THOSE PEOPLE WHO SAY FUCK YOU,"MARK BELL

            —
            A SALUTE TO THOSE PEOPLE WHO SAY FUCK YOU",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
8,deixar,9,DALE CORNISH,DEIXAR,"DALE CORNISH

            —
            DEIXAR",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
9,beyondtheabyss,10,DREXCIYA,BEYOND THE ABYSS,"DREXCIYA

            —
            BEYOND THE ABYSS",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,707,Afrodeutsche,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/707
