,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,originalproductionmixforheadless,1,DJ Starbanga,Original Production Mix for HEADLESS,"DJ Starbanga

            —
            Original Production Mix for HEADLESS",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
1,ichida,2,Eiko Ishibashi and Darin Grey,Ichida,"Eiko Ishibashi and Darin Grey

              —
              Ichida
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Oneirc avant-jazz-fusion, keening from the spiritual to the arcane and back in almost palindromic form. The players’ decades of combined improv experience is patently obvious. Exquisitely recorded and mixed by Jim O’Rourke, another adventurous side from Oren Ambarchi’s excellent Black Truffle...

“The first release from the duo of two important yet often... more",/products/ichida,https://assets.boomkat.com/spree/products/516207/product/0880319949715.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
2,raw-silk-uncut-wood,3,Laurel Halo,Raw Silk Uncut Wood,"Laurel Halo

              —
              Raw Silk Uncut Wood
            
              (LATENCY)",LATENCY,"Laurel Halo lands on Latency with a cinematic suite featuring Oliver Coates on cello and drums by Eli Keszler.

Making her first move since 2017’s remarkable ‘Dust’ album, Laurel takes inspiration from her score work for Metahaven and Ursula Le Guin’s translation of the ‘Tao Te Ching’  in pursuit of a quieter, more tactile and elusive sound, moving deeper into a... more",/products/raw-silk-uncut-wood,https://assets.boomkat.com/spree/products/524636/product/192562685860.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
3,terminal-b7268299-2ff6-4404-b23c-6883ae746689,4,ZULI,Terminal,"ZULI

              —
              Terminal
            
              (UIQ)",UIQ,"Electronic prism-pusher Zuli explores themes of identity, both hyperlocal and global, in ‘Terminal’; his singular and definitive artistic statement for Lee Gamble’s UIQ. 

Expanding his sound to encompass melancholic ambient composition and grimy rap from prominent MC, Abyusif, as well as newcomers Abanoub, Mado $am and R-Rhyme, and mysterious... more",/products/terminal-b7268299-2ff6-4404-b23c-6883ae746689,https://assets.boomkat.com/spree/products/538739/product/Dist_Prev.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
4,overseer-6c75cf0b-3935-4687-ac27-7dc740d65f01,5,John T. Gast,Overseer,"John T. Gast

              —
              Overseer
            
              (APRON RECORDS)",APRON RECORDS,"Wicked one-off by man-of-the-moment; John T Gast for Steven Julien’s Apron Records.

Overseer is the most up-for-it, hard-playing John T Gast record out there; pursuing the whacked out, dubbed-up elements of his recent albums and hook-ups with Inga Copeland down a noisier, red-lined alley of ad-libbed avant-techno.

We’re not sure if that’s him ranting... more",/products/overseer-6c75cf0b-3935-4687-ac27-7dc740d65f01,https://assets.boomkat.com/spree/products/367925/product/gast12.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
5,tingo,6,Nessa Preppy,Tingo,"Nessa Preppy

            —
            Tingo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
6,wabbit-trax,7,Evol,Wabbit Trax,"Evol

              —
              Wabbit Trax
            
              (Diagonal)",Diagonal,"Evol dance on your tongue, down your throat and up yer synapses in ‘rabbit Trax’ for Diagonal

Following from the immense ‘Ideal 303’ blast and Evol’s overwhelming ‘Hardcore Vol.3’ package, ‘Wabbit Trax’ keeps the nutters on the ‘floor with three bendy acid techno bullets running thru seriously psychotomimetic permutations of 303 and pitching kick drums.

The... more",/products/wabbit-trax,https://assets.boomkat.com/spree/products/539233/product/647603403267.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
7,tinasnow,8,Megan Thee Stallion,Tina Snow,"Megan Thee Stallion

            —
            Tina Snow",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
8,approximately1000beers,9,Jeff Witscher,"Approximately 1,000 Beers","Jeff Witscher

            —
            Approximately 1,000 Beers",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
9,perotin,10,The Hilliard Ensemble,Perotin,"The Hilliard Ensemble

            —
            Perotin",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
10,hippiasminortranslatedbysarahruden,11,Plato,Hippias Minor (translated by Sarah Ruden),"Plato

            —
            Hippias Minor (translated by Sarah Ruden)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
11,musicreviewarchiveusernewinfinity,12,THIRDLOOKintern,Music Review Archive: User Newinfinity,"THIRDLOOKintern

            —
            Music Review Archive: User Newinfinity",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
12,i-ll-tell-you-what,13,RP Boo,I'll Tell You What!,"RP Boo

              —
              I'll Tell You What!
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Footwork OG, RP Boo keeps the style mutably rude and forward with I’ll Tell You What!, a début album declaration of dancefloor war arriving nearly 30 years into a DJ/production curve that started with him handling the decks for original Chicago dance crew, the House-O-Matics, and has seen him release music for Dance Mania before leading... more",/products/i-ll-tell-you-what,https://assets.boomkat.com/spree/products/506577/product/5055300392848_T13_Image.jpg,781,Alex Iadarola,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/781
