,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,httpssoundcloudcomtresorberlintresorcast013mareena,1,Mareena - Tresor Cast,https://soundcloud.com/tresorberlin/tresorcast013-mareena,"Mareena - Tresor Cast

            —
            https://soundcloud.com/tresorberlin/tresorcast013-mareena",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
1,httpssoundcloudcomzeezoutzeezoutpodcast085telfortintelfortsetsdjmixes,2,Telfort - Zeezout mix,https://soundcloud.com/zeezout/zeezout-podcast-085-telfort?in=telfort/sets/dj-mixes,"Telfort - Zeezout mix

            —
            https://soundcloud.com/zeezout/zeezout-podcast-085-telfort?in=telfort/sets/dj-mixes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
2,httpssoundcloudcomexitfestivalnikitazabelinnosleepnovisadstageatexit2018,3,Nikita Zabelin @ No Sleep Novi Sad Stage at EXIT 2018,https://soundcloud.com/exitfestival/nikita-zabelin-no-sleep-novi-sad-stage-at-exit-2018,"Nikita Zabelin @ No Sleep Novi Sad Stage at EXIT 2018

            —
            https://soundcloud.com/exitfestival/nikita-zabelin-no-sleep-novi-sad-stage-at-exit-2018",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
3,httpssoundcloudcomfabricalienatafabricxmachinepromomix,4,Alienata fabric x Machine Promo Mix,https://soundcloud.com/fabric/alienata-fabric-x-machine-promo-mix,"Alienata fabric x Machine Promo Mix

            —
            https://soundcloud.com/fabric/alienata-fabric-x-machine-promo-mix",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
4,httpssoundcloudcomblowinguptheworkshopxaltera,5,Blowing Up The Workshop - 90: X-Altera,https://soundcloud.com/blowinguptheworkshop/x-altera,"Blowing Up The Workshop - 90: X-Altera

            —
            https://soundcloud.com/blowinguptheworkshop/x-altera",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
5,httpssoundcloudcomfactmagfactmix667lsdxoxoaug18,6,FACT mix 667 - LSDXOXO (Aug '18),https://soundcloud.com/factmag/fact-mix-667-lsdxoxo-aug-18,"FACT mix 667 - LSDXOXO (Aug '18)

            —
            https://soundcloud.com/factmag/fact-mix-667-lsdxoxo-aug-18",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
6,httpssoundcloudcomminassuspensioncarolinelethominalisbon31stmarch2018,7,Caroline Letho @ mina / Lisbon - 31st March 2018,https://soundcloud.com/minassuspension/caroline-letho-mina-lisbon-31st-march-2018,"Caroline Letho @ mina / Lisbon - 31st March 2018

            —
            https://soundcloud.com/minassuspension/caroline-letho-mina-lisbon-31st-march-2018",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
7,httpssoundcloudcomdimensionsfestivaldim136morelian,8,DIM136 - Mor Elian,https://soundcloud.com/dimensionsfestival/dim136-mor-elian,"DIM136 - Mor Elian

            —
            https://soundcloud.com/dimensionsfestival/dim136-mor-elian",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
8,httpssoundcloudcomgroovemagazingroovepodcast165teste,9,Groove Podcast 165 - Teste,https://soundcloud.com/groove-magazin/groove-podcast-165-teste,"Groove Podcast 165 - Teste

            —
            https://soundcloud.com/groove-magazin/groove-podcast-165-teste",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
9,httpssoundcloudcomresidentadvisorra652ectomorph,10,RA 652  - Ectomorph,https://soundcloud.com/resident-advisor/ra652-ectomorph,"RA 652  - Ectomorph

            —
            https://soundcloud.com/resident-advisor/ra652-ectomorph",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,762,Anastasia Kristensen,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/762
