,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,paradise-94,1,Lucy Railton,Paradise 94,"Lucy Railton

              —
              Paradise 94 
            
              (Modern Love)",Modern Love,"Prolific cellist and composer Lucy Railton releases her long awaited solo debut for Modern Love; an intense and multi-layered opus that reminds us of everything from Alvin Lucier, Beatrice Dillon and Nate Young, to Valerio Tricoli and Popol Vuh.

A prolific performer who has appeared on countless recordings and collaborations with many important figures in... more",/products/paradise-94,https://assets.boomkat.com/spree/products/489438/product/LOVE108_repress_Dist_Preview.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
1,pussymoneyweed,2,Tommy Cash,Pussy Money Weed,"Tommy Cash

            —
            Pussy Money Weed",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
2,lemon,3,N.E.R.D. & Rhianna,Lemon,"N.E.R.D. & Rhianna

            —
            Lemon",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
3,devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,4,TIRZAH,Devotion,"TIRZAH

              —
              Devotion
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah pursues the slowest-burning soul feels on Devotion, the London-based singer-songwriter’s humbly singular début album, produced by Mica Levi and providing us with total life affirming summer listening - most probably the record we've listened to most this year so far, and one that lingers on and on...

Since her first solo 12”s  and thru frequent... more",/products/devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,https://assets.boomkat.com/spree/products/504883/product/887828039463_T12_Image.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
4,gotmecomingbackrightnow,5,Moodymann,Got Me Coming Back Right Now,"Moodymann

            —
            Got Me Coming Back Right Now",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
5,album-desconhecido,6,P.Adrix,"Álbum Desconhecido 
            
              (Príncipe)","P.Adrix

              —
              Álbum Desconhecido (2018 Special Edition)
            
              (Príncipe)",2018 Special Edition,"Even by Príncipe’s ridiculously high standards, this is jaw-droppingly good, fierce but soulful hybrids of kuduro with R&B, trance-techno, drill and jump-up jungle, in our view some of the most thrilling music made by anyone in the world right now...

Príncipe kick off 2018 in a big way with the remarkable début by P. (as in ‘Producer’) Adrix; a 22 year old artist... more",/products/album-desconhecido,https://assets.boomkat.com/spree/products/476414/product/Dist-Prev_1.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
6,passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,7,Demdike Stare,Passion,"Demdike Stare

              —
              Passion
            
              (Modern Love)",Modern Love,"Demdike land a new 9-track doublepack for Modern Love; a delirious odyssey from UKG to angular and freakish rhythmic jackers, highly recommended if yr into their Testpressing series or anything from Errorsmith to Príncipe, Dem 2, Jon E Cash, Wiley to Joy Division, DJ Scud, Equiknoxx, Anthony ‘Shake’ Shakir or Bernard Parmegiani...

Since the release of their... more",/products/passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,https://assets.boomkat.com/spree/products/542759/product/LOVE111_Distribution_Preiview.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
7,laughing-stock-2011-edition,8,TALK TALK,Laughing Stock,"TALK TALK

              —
              Laughing Stock
            
              (Polydor)",Polydor,"One of the most influential, insular and multi-layered albums of the last three decades, created through endless hours of improvisation - involving almost fifty musicians and recorded in complete darkness, 'Laughing Stock' is an album that has attained almost mythical status since its release in 1991.

Following the commercial success of their singles ""It's My... more",/products/laughing-stock-2011-edition,https://assets.boomkat.com/spree/products/152372/product/laughingsock.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
8,content-to-write-in-i-dine-weathercraft,9,Stano,Content To Write In I Dine Weathercraft,"Stano

              —
              Content To Write In I Dine Weathercraft
            
              (Allchival)",Allchival,"One of the year’s most crucial wave reissues, Stano’s debut LP ‘Content to write in I dine Weathercraft’ is a seminal and sought-after Irish post-punk album starring two rare appearances by the near-mythical Michael O’Shea. Nothing less than an essential recommendation to anyone familiar with the Michael O’Shea LP, Finders Keeper’s ‘Strange Passion’... more",/products/content-to-write-in-i-dine-weathercraft,https://assets.boomkat.com/spree/products/538252/product/ACSLPX1_Cover.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
9,different-voices-for-you-different-colours-for-me-demos-1980,10,Robert Rental,Different voices for you. Different Colours for me. Demos 1980,"Robert Rental

              —
              Different voices for you. Different Colours for me. Demos 1980
            
              (Optimo Music)",Optimo Music,"Post punk originator Robert Rental’s 1980 demo tapes, created circa his legendary ‘Double Heart’ single, surface for the first time on Optimo, thanks to the efforts of JD Twitch and Simon Dell. Unmissable for the wobbly dub groove and glossolalic croon of ‘Open Air’ and the extraordinary, incendiary synths of ‘Radio Silence’ at the very least, but the rest is gold... more",/products/different-voices-for-you-different-colours-for-me-demos-1980,https://assets.boomkat.com/spree/products/528776/product/0880319975011.jpg,738,Andy Stott,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/738
