,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,braceupknocksmysockoff,1,Chris Corsano & Bill Orcutt,Brace Up (knocks my sock off),"Chris Corsano & Bill Orcutt

            —
            Brace Up (knocks my sock off)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
1,khotmakesmegiddy,2,Yeah You,Khot (makes me giddy),"Yeah You

            —
            Khot (makes me giddy)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
2,brigittefontaineumbasicallyshejustrules,3,Brigitte Fontaine,"Brigitte Fontaine (um, basically she just rules)","Brigitte Fontaine

            —
            Brigitte Fontaine (um, basically she just rules)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
3,osakabridgeoneofthebestalbumsever,4,Bill Wells & Maher Shalal Hash Baz,Osaka Bridge (one of the best albums ever),"Bill Wells & Maher Shalal Hash Baz

            —
            Osaka Bridge (one of the best albums ever)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
4,plasticonobandclassic,5,Yoko Ono,Plastic Ono Band (classic),"Yoko Ono

            —
            Plastic Ono Band (classic)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
5,longplaynewfriendsandtheyrule,6,Still House Plants,Long Play (new friends and they rule),"Still House Plants

            —
            Long Play (new friends and they rule)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
6,aliceafilmyeahyeahbutitssogoodandisonconstantrepeatinourhouseso,7,Jan Svankmajer,"Alice (a film, yeah yeah, but its so good and is on constant repeat in our house so...)","Jan Svankmajer

            —
            Alice (a film, yeah yeah, but its so good and is on constant repeat in our house so...)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
7,shinybeastalwaysafave,8,Captain Beefheart and the Magic Band,Shiny Beast (always a fave),"Captain Beefheart and the Magic Band

            —
            Shiny Beast (always a fave)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
8,19351953myhubbyfoundandilove,9,Windy City Blues,1935-1953 (my hubby found and i love),"Windy City Blues

            —
            1935-1953 (my hubby found and i love)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
9,olympiasplendidwelltheyjustrule,10,Olympia Splendid,"Olympia Splendid (well, they just rule)","Olympia Splendid

            —
            Olympia Splendid (well, they just rule)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,686,Ashley Paul,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/686
