,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,stadium-747a7835-d003-4622-a8e2-602bfc668eb3,1,Eli Keszler,Stadium,"Eli Keszler

              —
              Stadium
            
              (Shelter Press)",Shelter Press,"Our album of the year 2018 is Eli Keszler’s ‘Stadium'; an isolationist avant-jazz masterpiece that's both highly complex and entirely accessible. With his close collaborators Daniel ‘0PN’ Lopatin and Laurel Halo smoking in the back seat, on ‘Stadium’ Keszler somehow manages to emulate a feeling of being lost in a crowd, of time slowing down as the world... more",/products/stadium-747a7835-d003-4622-a8e2-602bfc668eb3,https://assets.boomkat.com/spree/products/523486/product/880918232294-2-2.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
1,slow-dark-green-murky-waterfall,2,Eliza McCarthy and Mica Levi,Slow Dark Green Murky Waterfall,"Eliza McCarthy and Mica Levi

              —
              Slow Dark Green Murky Waterfall
            
              (Slip)",Slip,"Mica Levi returns to Slip with six piano pieces played by Eliza McCarthy in ‘Slow Dark Green Murky Waterfall’ - a crepuscular suite riddled with Mica’s inquisitive, conversational phrasing and smartly expanding upon their 7” track, ‘Riding Through Drinking Harpo Dine’ [Foom, 2017], a new recording of which also appears in this set. Gorgeous music, especially... more",/products/slow-dark-green-murky-waterfall,https://assets.boomkat.com/spree/products/542755/product/SLP036_artwork.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
2,electronic-works,3,Eliane Radigue,"Oeuvres Électroniques 
            
              (INA GRM)","Eliane Radigue

              —
              Oeuvres Électroniques (Electronic Works)
            
              (INA GRM)",Electronic Works,"16 hours of peerless, important works by Eliane Radigue relating to her work with the ARP 2500 synthesiser between 1971-2000. Prior to this period, Eliane worked exclusively with feedback on tape and oscillators, but her work from the ‘70s onward is defined by an uniquely meditative and transcendent grasp of microtonal minimalism which has latterly come to... more",/products/electronic-works,https://assets.boomkat.com/spree/products/545438/product/Eliane_Radigue_Box_Set_Front.png,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
3,agent-im-objekt,4,Jung An Tagen,Agent Im Objekt,"Jung An Tagen

              —
              Agent Im Objekt
            
              (Editions Mego)",Editions Mego,"Jung Am Tagen fire one of the strongest, most forward new techno records in recent memory - Agent Im Objekt - for the ever-amazing Editions Mego. In all 12 cuts the Viennese computer techno wizards do their part in closing the gulf between techno’s original, faceless abstraction and thrill of the new, and the current milieu of ubiquitous fizzogs playing to... more",/products/agent-im-objekt,https://assets.boomkat.com/spree/products/472027/product/5050580681989.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
4,vu-du-dome,5,Élg,Vu Du Dôme,"Élg

              —
              Vu Du Dôme
            
              (Editions Gravats)",Editions Gravats,"Editions Gravats follow up that killer EP of mutant Dancehall bangers from label co-founder Low Jack with this completely wild, spellbinding mix of avant-garde electronics and chanson by truly original contemporary artist Laurent Gérard a.k.a. Èlg, part of the same broad scene that includes everyone from Ghédalia Tazartès to PAN’s Bill Kouligas, Luke Younger /... more",/products/vu-du-dome,https://assets.boomkat.com/spree/products/488423/product/GRVTS012_dist_preview.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
5,qualm-eed0e642-e833-4bd6-9a8e-fdecba25ca56,6,Helena Hauff,Qualm,"Helena Hauff

              —
              Qualm
            
              (Ninja Tune)",Ninja Tune,"Filth-smith Helena Hauff fires up a raw-to-the-bone barrage of bleached drum machines and needle-fanged arps on ‘Qualm’ - the Hamburg assassin’s 2nd album for Ninja Tune.

Arriving at a point where Helena is a hugely sought-after DJ - a time when other artists have often played up to a more commercial style - she pulls no punches with a severely thistly... more",/products/qualm-eed0e642-e833-4bd6-9a8e-fdecba25ca56,https://assets.boomkat.com/spree/products/510276/product/5054429134025_T13_Image.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
6,sleep-like-it-s-winter,7,JIM O'ROURKE,Sleep Like It's Winter,"JIM O'ROURKE

              —
              Sleep Like It's Winter
            
              (Newhere Music)",Newhere Music,"Jim O’Rourke returns with his first physical solo album since 2015’s Simple Songs, following a relatively steady supply of download-only releases via his Steamroom Bandcamp (over 20 of them since 2015) and collaborations with John Duncan, Keiji Haino, Oren Ambarchi, Peter Brötzmann, Merzbow, Fennesz and others in the interim. Anyone familiar with his... more",/products/sleep-like-it-s-winter,https://assets.boomkat.com/spree/products/519597/product/SleepLikeItsWinter.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
7,lp,8,Container,LP,"Container

              —
              LP
            
              (Spectrum Spools)",Spectrum Spools,"Container on a cranky Unit Moebius tip for Spectrum Spools, hammering out nine undulating and primordial brutes from his battered hardware setup in there same manner that attracted many to his outings with Diagonal, Liberation Technologies, and Morphine Records. Good stuff..

“Ren Schofield has returned with a new installment in his notorious ""LP"" series... more",/products/lp,https://assets.boomkat.com/spree/products/504435/product/5050580692534.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
8,the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,9,Puce Mary,The Drought,"Puce Mary

              —
              The Drought 
            
              (PAN)",PAN,"Scowling industrial bad vibes from Frederikke Hoffmeier’s Puce Mary, mounting her debut LP with PAN after dishing out dozens of albums and oddjobs for Posh Isolation, Ascetic House, iDEAL under her own name and also as Amphetamine Logic, JH1.FS3, and Body Sculptures during the preceding decade

“Building from a reputation of arresting live... more",/products/the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,https://assets.boomkat.com/spree/products/521987/product/Rdland.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
9,computer-generated-rhythm-for-microtonal-metallophones,10,MARK FELL,Intra,"MARK FELL

              —
              Intra
            
              (Boomkat Editions)",Boomkat Editions,"Mark Fell returns with an incredible album of rhythmelodic cadences performed with Drumming Grupo De Percussão on the Sixxen metallophone system: a set of six microtonally tuned instruments originally conceived by Iannis Xenakis in 1976. 

The eight-part Intra stands out as one of Fell's most immediate and unusual releases; high in concept but also satisfying... more",/products/computer-generated-rhythm-for-microtonal-metallophones,https://assets.boomkat.com/spree/products/509302/product/BKEDIT016_distribution_preview.jpg,737,Cameron Deas,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/737
