,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,djadja,1,Aya Nakamura,Djadja,"Aya Nakamura

            —
            Djadja",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
1,ork-muzik,2,DJ David Goblin,Ork Muzik,"DJ David Goblin

              —
              Ork Muzik
            
              (PRR! PRR!)",PRR! PRR!,"Pure Ork fuel from Belgian rave bastard DJ David Goblin a.k.a. David Coquelin, one of the nutters behind the brilliant PRR! PRR! label - close affiliates of Low Jack’s Editions Gravats

Going ham with nobs of new beat, EBM, hardcore techno and gabber, DJ David Goblin has just cooked up one of the maddest CDs that you’ll hear in 2018. It’s unmistakably daft in... more",/products/ork-muzik,https://assets.boomkat.com/spree/products/507425/product/90e75669-4eae-4756-a4f6-99e4228799bf.jpg,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
2,bellacadelao,3,Tomasa Del Real,Bellaca Del Año,"Tomasa Del Real

            —
            Bellaca Del Año",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
3,the-dark-orchestra,4,NKISI,The Dark Orchestra,"NKISI

              —
              The Dark Orchestra
            
              (Arcola)",Arcola,"Proper dancefloor dreadnaughts from Nkisi for Warp’s reheated Arcola label, binding Congolese rhythms with Mittel European hardcore styles as you’ve rarely heard them before.

Landing after Rian Treanor’s opening gambit Contraposition and 2814’s Pillar, this plate catches some serious heat from NON figurehead Nkisi, slicing off a... more",/products/the-dark-orchestra,https://assets.boomkat.com/spree/products/565244/product/5060384615691.jpg,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
4,micama,5,Karol G,Mi Cama,"Karol G

            —
            Mi Cama",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
5,khonnar,6,Deena Abdelwahed,Khonnar,"Deena Abdelwahed

              —
              Khonnar
            
              (InFiné)",InFiné,"Tunisia’s Deena Abdelwahed inhabits a fascinating space between tradition and technology, history and futurism in her strikingly moody debut solo album ‘Khonnar’, following from production credits on Fever Ray’s ’Plunge’ and use of her tracks in mixes by M.E.S.H. and Paula Temple. Subbass fiends need to check the final track ‘Rabbouni’, while fans of Jasss... more",/products/khonnar,https://assets.boomkat.com/spree/products/539634/product/3663729066367.jpg,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
6,visionsofonetruth,7,Buga,Visions of One Truth,"Buga

            —
            Visions of One Truth",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
7,esquirlas,8,HiedraH Club de Baile,Esquirlas,"HiedraH Club de Baile

            —
            Esquirlas",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
8,chunli,9,Nicki Minaj,Chun-Li,"Nicki Minaj

            —
            Chun-Li",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
9,oscollo,10,Elysia Crampron,Oscollo,"Elysia Crampron

            —
            Oscollo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,730,Clara!,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/730
