,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,enginetics-plasmalterations,1,Best Available Technology,Enginetics & Plasmalterations,"Best Available Technology

              —
              Enginetics & Plasmalterations
            
              (12th Isle)",12th Isle,"Kevin Palmer unravels a suite of dusky, strolling groves and claggy, weathered electronics for 12th Isle’s 6th release, after gems from Ramzi, Cru Servers, Palta & Ti, and X.Y.R.

Spotted on a handful of strong underground labels such as Opal Tapes, No Corner, and Astro:Dynamics since the start of this decade, BAT has consistently brought a low key and economic... more",/products/enginetics-plasmalterations,https://assets.boomkat.com/spree/products/559454/product/8718723116480.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
1,climatotherapy,2,Nozomu Matsumoto,Climatotherapy,"Nozomu Matsumoto

              —
              Climatotherapy
            
              (The Death Of Rave)",The Death Of Rave,"Stunning HD orchestral // text-to -speech début by Tokyo-based artist and curator, Nozomu Matsumoto, a huge recommendation if yr into the augmented realities of TCF, James Ferraro, Mark Leckey, Goodiepal and Elysia Crampton, or the layered, highly evocative narratives of Mica Levi, Sam Kidel and Terre Thaemlitz…

Climatotherapy is Nozomu’s... more",/products/climatotherapy,https://assets.boomkat.com/spree/products/519949/product/RAVE024_Distribution_Preview2.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
2,hilja,3,Cucina Povera,Hilja,"Cucina Povera

              —
              Hilja
            
              (Night School / Domestic Exile)",Night School / Domestic Exile,"Hilja is the sublimely half-there debut of dream pop from Glasgow-based Finnish artist Maria Rossi a.k.a. Cucina Povera. Taking her name from the southern Italian method of making-do in the kitchen, Cucina Povera works just as well to describe Rossi’s unusual, off-kilter mix of avant-garde abstraction, medieval-sounding folk and synthesised nocturnal... more",/products/hilja,https://assets.boomkat.com/spree/products/470046/product/647603399980.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
3,ichida,4,Eiko Ishibashi and Darin Grey,Ichida,"Eiko Ishibashi and Darin Grey

              —
              Ichida
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"Oneirc avant-jazz-fusion, keening from the spiritual to the arcane and back in almost palindromic form. The players’ decades of combined improv experience is patently obvious. Exquisitely recorded and mixed by Jim O’Rourke, another adventurous side from Oren Ambarchi’s excellent Black Truffle...

“The first release from the duo of two important yet often... more",/products/ichida,https://assets.boomkat.com/spree/products/516207/product/0880319949715.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
4,old-and-red,5,Thomas Bush,Old and Red,"Thomas Bush

              —
              Old and Red
            
              (Men Scryfa)",Men Scryfa,"Thomas Bush secretes olde en-gland folk plasma in ‘Old and Red’, a true eldritch beauty for his Men Scryfa label, who issued the earliest John T. Gast material. JTG fans will surely approve, as will lovers of early Eyeless in Gaza, and early transmissions from Hen Ogledd

“A strange and compulsive breadcrumb trail...a game of two halves, as well: the first... more",/products/old-and-red,https://assets.boomkat.com/spree/products/552636/product/R-12803534-1542259917-5905.jpeg.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
5,lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,6,Gossiwor (John T Gast & Boli),Lighthouse,"Gossiwor (John T Gast & Boli)

              —
              Lighthouse 
            
              (5 Gate Temple)",5 Gate Temple,"John T Gast and MC Boli operate at the apex of their esoteric powers on ‘Lighthouse’ for 5 Gate Temple, following Young Druid’s addictive début with an expansive, immersive suite highlighting unique intersections of new age ambient, jazz, avant-classical and arcane folk music 

As Gossiwor, Gast and Boli share a remarkably intuitive mutualism on Lighthouse... more",/products/lighthouse-a9bce3b2-9bb3-44c9-b9b6-aba9bfce70f1,https://assets.boomkat.com/spree/products/515380/product/5GT004_Cover.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
6,rezzett-lp,7,Rezzett,Rezzett LP,"Rezzett

              —
              Rezzett LP
            
              (The Trilogy Tapes)",The Trilogy Tapes,"Rezzett own that fuzzy mid-fi electronic sound on a cracking eponymous début album, landing nearly 5 years on from their self-titled EP, also issued on Will Bankhead’s TTT label. 

In possession of a sound that feels like exotic birds nesting a vintage studio inside your ear, Rezzett, along with the likes of Jamal Moss, Actress, Terekke and Huerco S., have been... more",/products/rezzett-lp,https://assets.boomkat.com/spree/products/477106/product/5050580686793.jpg,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
7,cyclingmisadventureswithdwccrew,8,,Cycling misadventures with DWC Crew,Cycling misadventures with DWC Crew,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
8,yoursmjnemelbournedec12018andthechinesefoodbeforehand,9,HTRK and Blazer Sound System,"@ Yours&Mjne, Melbourne - Dec 1, 2018 (and the Chinese food beforehand)","HTRK and Blazer Sound System

            —
            @ Yours&Mjne, Melbourne - Dec 1, 2018 (and the Chinese food beforehand)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
9,mysteryofreality,10,Mika Snickars,Mystery Of Reality,"Mika Snickars

            —
            Mystery Of Reality",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,778,CS + Kreme,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/778
