,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,anewmixinanoldlanguage,1,Allon Kaye,A New Mix In An Old Language,"Allon Kaye

            —
            A New Mix In An Old Language",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
1,yvesdemey,2,,Yves De Mey,Yves De Mey,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
2,denorforbiddencitytabledanceantwerp,3,,"De Nor/Forbidden City/Table Dance, Antwerp","De Nor/Forbidden City/Table Dance, Antwerp",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
3,entracteatdeplayerrotterdam,4,,"Entr’acte at De Player, Rotterdam","Entr’acte at De Player, Rotterdam",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
4,everythingreleasedonentractethisyear,5,,Everything released on Entr’acte this year,Everything released on Entr’acte this year,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
5,ohadfishof,6,,Ohad Fishof,Ohad Fishof,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
6,ideal20downandoutinparisandlondon,7,,iDeal 20: down and out in Paris and London,iDeal 20: down and out in Paris and London,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
7,jasss,8,,JASSS,JASSS,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
8,failure-to-meet-repayments-could-result-in-one-or-more-of-the-following-being-actioned-against-you,9,Georgie McVicar,"Failure to Meet Repayments Could Result in One (or more) of the Following Being Actioned Against You
            
              (Conditional)","Georgie McVicar

              —
              Failure to Meet Repayments Could Result in One (or more) of the Following Being Actioned Against You
            
              (Conditional)",or more of the Following Being Actioned Against You,"Mesmerising tech-electronic abstraction from George McVicar, making full use of the frequency spectrum across seven tracks of virulent arps and booming bass projections riddled with playfully jazzy, if reserved, melodic gestures. RIYl Beatrice Dillon, Brendan Dougherty, De Leon...

“Er, now look here, 
buddy, 
I’m going to play you this album and it’s going to... more",/products/failure-to-meet-repayments-could-result-in-one-or-more-of-the-following-being-actioned-against-you,https://assets.boomkat.com/spree/products/540732/product/CON022.jpg,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
9,timovanluijk,10,,Timo van Luijk,Timo van Luijk,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,810,Entr'acte,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/810
