,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,mandy-ost,1,Jóhann Jóhannsson,Mandy OST,"Jóhann Jóhannsson

              —
              Mandy OST
            
              (INVADA Records)",INVADA Records,"‘Mandy’ is the exceptional final soundtrack realised by dearly departed composer Jóhann Jóhannsson for the film directed by Panos Cosmatos. A supporting cast of Stephen O’Malley, Kreng and Yair Elazar Glotman, plus production from Randall Dunn ensure a majestic final missive and one of the most rich and varied releases in Jóhannsson's canon, taking in... more",/products/mandy-ost,https://assets.boomkat.com/spree/products/534880/product/LSINV203_Packshot.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
1,tahoe,2,Dedekind Cut,Tahoe,"Dedekind Cut

              —
              Tahoe
            
              (Hospital Productions / Kranky)",Hospital Productions / Kranky,"Fred Welton Walmsley III (Lee Bannon) completes his esoteric ambient metamorphosis with Dedekind Cut’s melancholic Tahoe album for arch American electronic drifters, Kranky Records - home to some of the some of the finest atmospheric ambient works of recent decades by Stars of The Lid, Loscil, Tim Hecker.

In key with Kranky’s... more",/products/tahoe,https://assets.boomkat.com/spree/products/485716/product/796441821327.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
2,the-king-ce3b3a7c-395d-496a-a262-380e68d2e71a,3,Chaines,The King,"Chaines

              —
              The King
            
              (Slip)",Slip,"T H I S album - jesus. Stunning collection of torch songs and electro-acoustic dramaturgy - hugely recommended if you’re into Scott Walker, Élg, Félicia Atkinson, Ghédalia Tazartès or Mica Levi. Easily one of the most striking, rewarding albums of the year so far.

The King is a remarkably absorbing collection of enchanted orchestrations and abstract torch songs... more",/products/the-king-ce3b3a7c-395d-496a-a262-380e68d2e71a,https://assets.boomkat.com/spree/products/490588/product/SLP037_artwork.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
3,a-dark-place-c24ca7c1-4ae8-4377-8e61-283deb28fde2,4,Tor Lundvall,A Dark Place,"Tor Lundvall

              —
              A Dark Place
            
              (Dais Records)",Dais Records,"American painter and musician Tor Lundvall presents a time-stopping new album on NYC’s Dais Records.

Just as the sublime lead single Quiet Rooms promised, the full album is a beautifully measured dream sequence of ambient electronics, finding the artist tentatively balancing pastoral atmospheric themes with more introspective, cold and lonely feels... more",/products/a-dark-place-c24ca7c1-4ae8-4377-8e61-283deb28fde2,https://assets.boomkat.com/spree/products/475123/product/0191773865764.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
4,throne-a8248eb5-ab67-4495-9089-e99be1d9f698,5,Heather Leigh,Throne,"Heather Leigh

              —
              Throne
            
              (Editions Mego)",Editions Mego,"Jesus this album is incredible. Heather Leigh channels Kate Bush and Coil via lapsteel guitar and staggering vocals on a her new album for Editions Mego. Following her previous solo LP ‘I Abused Animal’ for Stephen O’Malley’s Ideologic Organ with a record that few beyond her inner circle could have predicted. Epic in scope, devastating on impact. Do not miss this... more",/products/throne-a8248eb5-ab67-4495-9089-e99be1d9f698,https://assets.boomkat.com/spree/products/527112/product/5050580700659.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
5,assimilation-d0c444cb-13cd-44b1-a815-439a34844a95,6,Ben Vince,Assimilation,"Ben Vince

              —
              Assimilation
            
              (Where To Now?)",Where To Now?,"Ravishing, dramatic and rambunctious chops from sax virtuoso and Joy O collaborator Ben Vince accompanied by Micachu, Rupert Clervaux, Merlin Nova, Valentina Magaletti and Cam Deas. Definitely one of the strongest WTN? drops in memory. RIYL Diamanda Galas, Chaines, Karl D’Silva, Colin Stetson

“‘Assimilation’ dives right in with Vince assuming... more",/products/assimilation-d0c444cb-13cd-44b1-a815-439a34844a95,https://assets.boomkat.com/spree/products/498389/product/WTNLP09.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
6,phantom-thread-original-motion-picture-soundtrack,7,JONNY GREENWOOD,"Phantom Thread 
            
              (NONESUCH)","JONNY GREENWOOD

              —
              Phantom Thread (Original Motion Picture Soundtrack)
            
              (NONESUCH)",Original Motion Picture Soundtrack,"Jonny Greenwood presents an elegantly poised OST for Paul Thomas Anderson’s ‘Phantom Thread’, performed by The Royal Philharmonic Orchestra, the London Contemporary Orchestra, and an ensemble including himself and Oliver Coates, among others

“With Phantom Thread, Oscar-nominated filmmaker Paul Thomas Anderson paints an illuminating portrait... more",/products/phantom-thread-original-motion-picture-soundtrack,https://assets.boomkat.com/spree/products/501651/product/jonnygreenwood-phantomthreadOST.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
7,slow-dark-green-murky-waterfall,8,Eliza McCarthy and Mica Levi,Slow Dark Green Murky Waterfall,"Eliza McCarthy and Mica Levi

              —
              Slow Dark Green Murky Waterfall
            
              (Slip)",Slip,"Mica Levi returns to Slip with six piano pieces played by Eliza McCarthy in ‘Slow Dark Green Murky Waterfall’ - a crepuscular suite riddled with Mica’s inquisitive, conversational phrasing and smartly expanding upon their 7” track, ‘Riding Through Drinking Harpo Dine’ [Foom, 2017], a new recording of which also appears in this set. Gorgeous music, especially... more",/products/slow-dark-green-murky-waterfall,https://assets.boomkat.com/spree/products/542755/product/SLP036_artwork.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
8,spheres-a8430c1e-e308-4f89-bd84-2d360c0851a6,9,Tatu Rönkkö,Spheres,"Tatu Rönkkö

              —
              Spheres
            
              (Sonic Pieces)",Sonic Pieces,Sonic Pieces give life to one of the most unusual releases in their catalogue thus far; a collection of percussive pieces from Tatu Rönkkö - a long-time friend and collaborator with Efterklang with whom he also formed the band Liima. Rönkkö is regarded by some as one of the most diverse and inventive percussionists working on the contemporary field and... more,/products/spheres-a8430c1e-e308-4f89-bd84-2d360c0851a6,https://assets.boomkat.com/spree/products/502182/product/880918229973.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
9,what-the-night-is-for,10,Teresa Winter,What The Night is For,"Teresa Winter

              —
              What The Night is For
            
              (The Death Of Rave)",The Death Of Rave,"Breathtaking bad dream of a second album by Teresa Winter for The Death of Rave; a uniquely allegorical study in female sexuality and occult, transgressive fascinations that comes highly recommended if youre into Cosey Fanni Tutti, Coil, Jani Christou or Jean Rollin.

Unfolding around recollections of a bad dream about being murdered by her boyfriend and... more",/products/what-the-night-is-for,https://assets.boomkat.com/spree/products/535957/product/RAVE025_distribution-preview.jpg,792,Erik K Skodvin,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/792
