,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,1,Puce Mary,The Drought,"Puce Mary

              —
              The Drought 
            
              (PAN)",PAN,"Scowling industrial bad vibes from Frederikke Hoffmeier’s Puce Mary, mounting her debut LP with PAN after dishing out dozens of albums and oddjobs for Posh Isolation, Ascetic House, iDEAL under her own name and also as Amphetamine Logic, JH1.FS3, and Body Sculptures during the preceding decade

“Building from a reputation of arresting live... more",/products/the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,https://assets.boomkat.com/spree/products/521987/product/Rdland.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
1,exquisite-angst,2,Christoph De Babalon,Exquisite Angst,"Christoph De Babalon

              —
              Exquisite Angst
            
              (A Colourful Storm)",A Colourful Storm,"Following the widely acclaimed reissue of Christoph De Babalon’s goth-jungle classic ‘If You’re Into It, I’m Out of It’, A Colourful Storm shed more light on the period running up to and including those unparalleled recording sessions with this new LP of killer, ruffneck pearls.

‘Exquisite Angst’ documents 9 pieces of dark ambient and rasping jungle breaks... more",/products/exquisite-angst,https://assets.boomkat.com/spree/products/542581/product/a2228517835_10.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
2,another-life-098ef71d-9d4f-4470-90fa-12865321b508,3,Amnesia Scanner,Another Life,"Amnesia Scanner

              —
              Another Life
            
              (PAN)",PAN,"‘Another Life’ is Amnesia Scanner’s hyperreal début album for PAN. The Finnish production/design duo’s most significant release locates their EDM/pop voice proper after a string of prism-pushing singles, EPs and mixtapes issued since 2015 by Young Turks and Gum Artefacts 

Bending EDM pop with warped sound designer sensibilities and a sci-fi visionary’s... more",/products/another-life-098ef71d-9d4f-4470-90fa-12865321b508,https://assets.boomkat.com/spree/products/518818/product/Cover.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
3,aviary-eb9dd2cb-b5a2-4b76-afc8-785a078641ae,4,Julia Holter,Aviary,"Julia Holter

              —
              Aviary
            
              (Domino Recording Co)",Domino Recording Co,"After a series of increasingly inward-looking, conservative LPs since her stunning debut, Julia Holter finally unleashes her imagination in technicolour once again on ‘Aviary’, an expansive observation of the ratchet madness that makes up the world today.

“Aviary is an epic journey through what Julia Holter describes as “the cacophony of the mind in a melting... more",/products/aviary-eb9dd2cb-b5a2-4b76-afc8-785a078641ae,https://assets.boomkat.com/spree/products/541470/product/887828041763_T16_Image.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
4,victorysonofthedamned,5,Blasphemy,Victory (Son Of The Damned),"Blasphemy

            —
            Victory (Son Of The Damned)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
5,double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,6,LOW,Double Negative,"LOW

              —
              Double Negative
            
              (Sub Pop Records)",Sub Pop Records,"Rarely has an album owed so much to production... Low return with their most daring, experimental release in years, co-produced by James Blake's man at the controls B.J. Burton, at times verging on a layered, pulsing electronic sound you'd associate with the likes of Andy Stott. Doused in distortion, throbbing electronics, submerged vocals, side-chain... more",/products/double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,https://assets.boomkat.com/spree/products/532037/product/0098787125061_T41803360250054.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
6,credo-1433305a-c231-4281-bfc2-9c3c56270535,7,AKITSA,Credo,"AKITSA

              —
              Credo
            
              (Profound Lore)",Profound Lore,,/products/credo-1433305a-c231-4281-bfc2-9c3c56270535,https://assets.boomkat.com/spree/products/540655/product/843563107287.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
7,raven,8,Organum,Raven,"Organum

            —
            Raven",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
8,what-the-night-is-for,9,Teresa Winter,What The Night is For,"Teresa Winter

              —
              What The Night is For
            
              (The Death Of Rave)",The Death Of Rave,"Breathtaking bad dream of a second album by Teresa Winter for The Death of Rave; a uniquely allegorical study in female sexuality and occult, transgressive fascinations that comes highly recommended if youre into Cosey Fanni Tutti, Coil, Jani Christou or Jean Rollin.

Unfolding around recollections of a bad dream about being murdered by her boyfriend and... more",/products/what-the-night-is-for,https://assets.boomkat.com/spree/products/535957/product/RAVE025_distribution-preview.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
9,saccharine-scores,10,SEAN MCCANN,Saccharine Scores,"SEAN MCCANN

              —
              Saccharine Scores
            
              (Recital Program)",Recital Program,"‘Saccharine Scores’ is an absorbing album/book documenting recent chamber works by pivotal contemporary composer Sean McCann, who also runs the excellent Recital label.

As founder of Recital Program and a prolific collaborator and artist, McCann’s work over the past 10 years has placed him at the centre of myriad experimental music scenes, acting as... more",/products/saccharine-scores,https://assets.boomkat.com/spree/products/538941/product/SS.jpg,708,Helm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/708
