,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,itsallthesame,1,,It's all the same,It's all the same,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
1,onlythenameswillchange,2,,Only the names will change,Only the names will change,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
2,everydayitseemswerewastinaway,3,,"Everyday, It seems we're wastin' away","Everyday, It seems we're wastin' away",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
3,anotherplace,4,,Another place,Another place,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
4,wherethefacesaresocold,5,,Where the faces are so cold,Where the faces are so cold,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
5,idriveallnight,6,,I drive all night,I drive all night,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
6,justtogetbackhome,7,,Just to get back home,Just to get back home,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
7,imacowboyonasteelhorseiride,8,,"I'm a cowboy, on a steel horse I ride","I'm a cowboy, on a steel horse I ride",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
8,imwanteddeadoralive,9,,I'm wanted dead or alive,I'm wanted dead or alive,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
9,wanteddeadoralive,10,,Wanted dead or alive,Wanted dead or alive,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,761,James Leyland Kirby,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/761
