,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,1,Demdike Stare,Passion,"Demdike Stare

              —
              Passion
            
              (Modern Love)",Modern Love,"Demdike land a new 9-track doublepack for Modern Love; a delirious odyssey from UKG to angular and freakish rhythmic jackers, highly recommended if yr into their Testpressing series or anything from Errorsmith to Príncipe, Dem 2, Jon E Cash, Wiley to Joy Division, DJ Scud, Equiknoxx, Anthony ‘Shake’ Shakir or Bernard Parmegiani...

Since the release of their... more",/products/passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,https://assets.boomkat.com/spree/products/542759/product/LOVE111_Distribution_Preiview.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
1,f-lute-songs,2,Mary Jane Leach,"(f)lute songs
            
              (Modern Love)","Mary Jane Leach

              —
              (f)lute songs
            
              (Modern Love)",flute songs,"Four pieces for flute and voice composed between 1985-2018 by Mary Jane Leach, a pivotal part of NYC’s pioneering avant-garde community since the 1970s and an active member of the legendary DownTown Ensemble, working alongside peers including Arthur Russell, Ellen Fullman, Peter Zummo, Philip Corner and Arnold Dreyblatt, as well as devoting years... more",/products/f-lute-songs,https://assets.boomkat.com/spree/products/533711/product/LOVE109_dist-preview.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
2,only-self,3,Jesus Piece,"Only Self
            
              ((RED) Southern Lord)","Jesus Piece

              —
              Only Self
            
              ((RED) Southern Lord)",,,/products/only-self,https://assets.boomkat.com/spree/products/525113/product/808720025651.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
3,paradise-94,4,Lucy Railton,Paradise 94,"Lucy Railton

              —
              Paradise 94 
            
              (Modern Love)",Modern Love,"Prolific cellist and composer Lucy Railton releases her long awaited solo debut for Modern Love; an intense and multi-layered opus that reminds us of everything from Alvin Lucier, Beatrice Dillon and Nate Young, to Valerio Tricoli and Popol Vuh.

A prolific performer who has appeared on countless recordings and collaborations with many important figures in... more",/products/paradise-94,https://assets.boomkat.com/spree/products/489438/product/LOVE108_repress_Dist_Preview.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
4,let-night-come-on-bells-end-the-day,5,Sarah Davachi,Let Night Come On Bells End The Day,"Sarah Davachi

              —
              Let Night Come On Bells End The Day
            
              (Recital / Recital Program)",Recital / Recital Program,"Sarah Davachi’s quietly stunning first side for Sean McCann’s Recital Program. It arrives in the tremulous wake of the widely acclaimed 'All My Circles Run' album to offer a sublime reaffirmation of Davachi's genius for anyone who’s followed her work over the last few years, and also acts as an unmissable entry point for curious newcomers, especially anyone smitten... more",/products/let-night-come-on-bells-end-the-day,https://assets.boomkat.com/spree/products/583963/product/880918230016.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
5,music-and-poetry-of-the-kesh,6,Ursula K. Le Guin & Todd Barton,Music and Poetry of the Kesh,"Ursula K. Le Guin & Todd Barton

              —
              Music and Poetry of the Kesh
            
              (Freedom To Spend)",Freedom To Spend,"Buchla synth supremo Todd Barton’s hyperstitious soundtrack to Always Coming Home, an ‘80s American sci-fi novel by author Ursula K. Le Guin, is yet another ingenious recording dug out for reappraisal by Pete Swanson and Jed Middleman’s Freedom to Spend label - a division of RVNG Intl. Expect alien folk songs in made-up language, set to richly evocative... more",/products/music-and-poetry-of-the-kesh,https://assets.boomkat.com/spree/products/484622/product/603786278832_T38317603250054.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
6,cast-of-mind,7,Kali Malone,Cast of Mind,"Kali Malone

              —
              Cast of Mind
            
              (Hallow Ground)",Hallow Ground,"Magisterial, glacial, attention-demanding and powerful exposition of Buchla 200 synth tones mapped to acoustic woodwind and brass by a promising young composer; Stockholm’s Kali Malone. A strong tip to fans of work by Caterina Barbieri, Emptyset, Sarah Davachi.

Arriving in the resonating wake of her self-released solo début Velocity of Sleep [2017], and... more",/products/cast-of-mind,https://assets.boomkat.com/spree/products/501389/product/5055869529587_T5_Image.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
7,illuminated-by-the-moon,8,Alvin Lucier,Illuminated By The Moon,"Alvin Lucier

              —
              Illuminated By The Moon
            
              (BLACK TRUFFLE)",BLACK TRUFFLE,"A momentous celebration of one of the last century’s most important composers, offering insight, recognition, and critical investigation, long overdue and lovingly produced. Including an extensive, lavish 120 page book, with numerous unseen images and 10 historic, sought-after and impossible to find albums pressed on 180 gram vinyl - unquestionably one of... more",/products/illuminated-by-the-moon,https://assets.boomkat.com/spree/products/520587/product/BT043LP_CU.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
8,embedded-environments,9,Sarah Hennies,Embedded Environments,"Sarah Hennies

              —
              Embedded Environments
            
              (Blume)",Blume,"Blume is fast becoming one of the most crucial contemprary imprints for new and archival electronic and electro-acoustic works - and this one has once again completely destroyed us. If you’ve been snagged on the ideas and effects of sides from Áine O’Dwyer, Jim O’Rourke’s Steamroom archive, Julius Eastman or indeed Blume’s Mary Jane Leach edition, we... more",/products/embedded-environments,https://assets.boomkat.com/spree/products/492378/product/Screen_Shot_2018-03-26_at_12.00.18.png,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
9,kontrapoetik,10,Maria W Horn,Kontrapoetik,"Maria W Horn

              —
              Kontrapoetik
            
              (Portals Editions)",Portals Editions,"‘Kontrapoetik’ is a tumultuous and cinematically absorbing suite reeling from dark ambient to burning organ and Buchla 200 synth fanfare, all laced with samples of field recordings and archival Swedish radio recordings. More specifically it is a lament for peripheral communities and also a hymn to satanism. It’s a lot, aye, but highly considered and powerfully... more",/products/kontrapoetik,https://assets.boomkat.com/spree/products/538900/product/5051142080509.jpg,779,John Powell-Jones,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/779
