,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,jacqueesthinkinghisthekingofrnbhttpswwwinstagramcompbrizlhdb2v,1,,Jacquees thinking his the king of RnB - https://www.instagram.com/p/BrIzlHdB2v_/,Jacquees thinking his the king of RnB - https://www.instagram.com/p/BrIzlHdB2v_/,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
1,drips,2,Dante M Dixon,Drips,"Dante M Dixon

            —
            Drips",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
2,summerwalkersinstagramfeed,3,,Summer Walker's instagram feed,Summer Walker's instagram feed,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
3,hymnalpineheart,4,Embaci,Hymnal Pine Heart,"Embaci

            —
            Hymnal Pine Heart",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
4,uproar,5,LiL Wayne ft Swizz Beats,Uproar,"LiL Wayne ft Swizz Beats

            —
            Uproar",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
5,entirechampionshipsalbum,6,Meek Mill,entire Championships album,"Meek Mill

            —
            entire Championships album",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
6,bluewarmup,7,Toxe,Blue Warm Up,"Toxe

            —
            Blue Warm Up",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
7,untitled,8,Free At Last,Untitled,"Free At Last

            —
            Untitled",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
8,mymatediamondstingilysbalenciagawinter18videowasdefinitelyasolidwinandhighlighthttpswwwyoutubecomwatchvc5ekqd6swnc,9,,"My mate, diamond stingily's Balenciaga Winter 18 Video was definitely a solid win and highlight - https://www.youtube.com/watch?v=C5EKQD6sWNc","My mate, diamond stingily's Balenciaga Winter 18 Video was definitely a solid win and highlight - https://www.youtube.com/watch?v=C5EKQD6sWNc",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
9,persistent,10,Ian isiah,Persistent,"Ian isiah

            —
            Persistent",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,702,Klein,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/702
