,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,enclave-ep,1,Nazar,Enclave EP,"Nazar

              —
              Enclave EP
            
              (Hyperdub)",Hyperdub,"Highly promising newcomer Nazar gets down to bassbin business on Hyperdub after introductions made on Kode 9 & Burial’s ‘Fabriclive 100’ mix.

From phthalocyanine grime to blown out techno and distorted drill, the ‘Enclave EP’ is one of the freshest/crankiest sessions you’ll hear from London in 2018. It’s unmistakably Hyperdub, repping fractious madness... more",/products/enclave-ep,https://assets.boomkat.com/spree/products/539625/product/5055869558785_T7_Image.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
1,godmother,2,Holly Herndon and Jlin feat. Spawn,Godmother,"Holly Herndon and Jlin feat. Spawn

              —
              Godmother
            
              (4AD)",4AD,"Freakish footwork/computer music abstraction from rhythmatician Jlin and her new conceptual spar, Holly Herndon

‘Godmother’ is the first sign of (artificial) life from the duo, starring the debut of Spawn, their AI offspring. Sonically, we can hear Jlin’s unique torque reduced to a flicker, while Herndon astringently applies her recent research into the unique... more",/products/godmother,https://assets.boomkat.com/spree/products/552009/product/191400013568_T48611361830054.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
2,lastonesleft,3,"Mischief, Bp Ku & Harlem Spartans",Last Ones Left,"Mischief, Bp Ku & Harlem Spartans

            —
            Last Ones Left",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
3,ohshit,4,Zone 2,Oh Shit,"Zone 2

            —
            Oh Shit",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
4,cosmicslop,5,700 Bliss,Cosmic Slop,"700 Bliss

            —
            Cosmic Slop",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
5,still-trippin,6,DJ Taye,Still Trippin',"DJ Taye

              —
              Still Trippin'
            
              (Hyperdub)",Hyperdub,"As footwork approaches 10 years as a style, proper, Teklifer DJ Taye presents a lush, new, hi-tech jazz spin on the fwd Chicago sound with Still Trippin’, his stellar debut LP for Hyperdub. Something of a unique triple threat in the footwork circle, Taye produces and raps, as well as dances to, his own music. On Still Trippin’  he explores these binds in mutant... more",/products/still-trippin,https://assets.boomkat.com/spree/products/464245/product/5055869558594_T17_Image.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
6,autobiography-music-from-wayne-mcgregor-s-autobiography,7,Jlin,"Autobiography 
            
              (Planet Mu Records Ltd.)","Jlin

              —
              Autobiography (Music from Wayne McGregor's Autobiography)
            
              (Planet Mu Records Ltd.)",Music from Wayne McGregor's Autobiography,"'Autobiography' is Jlin's soundtrack to the staged life story of eminent dancer and choreographer Wayne McGregor, which opened in October 2017 and is still running at Sadler’s Wells, London.

For an artist whose début album opened with a track called ‘Black Ballet’ - in reference to the art of Chicago footwork - the synchronicity between Jlin’s music and... more",/products/autobiography-music-from-wayne-mcgregor-s-autobiography,https://assets.boomkat.com/spree/products/516511/product/5055300392862_T14_Image.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
7,insula-482a4da0-ddeb-4e1e-a2ae-8ae7b06e5d3f,8,Proc Fiskal,Insula,"Proc Fiskal

              —
              Insula
            
              (Hyperdub)",Hyperdub,"Scotland’s brightest new addition to grime, Proc Fiscal takes influence from the emotional manipulation of social media, Aphex Twin, his IRL friends, and the playful, cartoonish innocence of original grime on his smart début album for Hyperdub.

Peppered with AFXian bleeps, samples of drunk pals and comically solemn TV voice overs, Proc Fiscal renders a sort... more",/products/insula-482a4da0-ddeb-4e1e-a2ae-8ae7b06e5d3f,https://assets.boomkat.com/spree/products/492954/product/5055869558624_T17_Image.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
8,closer-apart,9,OKZharp & Manthe Ribane,Closer Apart,"OKZharp & Manthe Ribane

              —
              Closer Apart
            
              (Hyperdub)",Hyperdub,"The debut album by UK/South African duo Okzharp and Manthe Ribane. 

""Okzharp says 'most of the music came out of headphone moments in hotel rooms, planes and airports in the brief periods of time that we spent together, mainly on tour, in Paris and later Vienna', a city Manthe describes as a 'beautiful dream place'. 

Okzharp describes Manthe as a... more",/products/closer-apart,https://assets.boomkat.com/spree/products/507428/product/5055869558655_T14_Image.jpg,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
9,mohammedali,10,Scratchclart & Lady Lykes,Mohammed Ali,"Scratchclart & Lady Lykes

            —
            Mohammed Ali",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,800,Kode9,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/800
