,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,never-sleep-1,1,Gabber Eleganza,Never Sleep #1,"Gabber Eleganza

              —
              Never Sleep #1
            
              (Presto!?)",Presto!?,"Hardcore archivist and fetishist Alberto Guerrini a.k.a. Gabber Eleganza débuts his keenly anticipated studio work on Lorenzo Senni’s Presto!? with Never Sleep #1. Perfectly toying with expectations, GE extracts what he needs from the ‘90s hard dance archetype and mutates it in-the-mix with smart strokes of romantic synth pads and a windswept dynamic of his own... more",/products/never-sleep-1,https://assets.boomkat.com/spree/products/486087/product/5050580686342.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
1,mudboy,2,Sheck Wes,MUDBOY,"Sheck Wes

            —
            MUDBOY",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
2,chat-afd53172-fee4-4817-9fa1-ebe38dd1c3c3,3,Pontiac Streator & Ulla Straus,Chat,"Pontiac Streator & Ulla Straus

              —
              Chat
            
              (West Mineral)",West Mineral,"A balmy set of hypnagogic electronics meshed to meditative rhythms is the order of the day on the third release from Huerco S’ West Mineral Ltd,  huge recommendation if you’re into Rainforest Spiritual Enslavement, Spencer Clark or that classic Hallucinator gear on Chain Reaction. Everything on this label is gold...

Pontiac Streator previously appeared as a... more",/products/chat-afd53172-fee4-4817-9fa1-ebe38dd1c3c3,https://assets.boomkat.com/spree/products/515335/product/OUEST097_dist_preview.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
3,1994,4,Hamza,1994,"Hamza

            —
            1994",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
4,harderthanever,5,Lil Baby,Harder Than Ever,"Lil Baby

            —
            Harder Than Ever",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
5,bellacadelao,6,Tomasa Del Real,Bellaca Del Año,"Tomasa Del Real

            —
            Bellaca Del Año",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
6,intergalactic-dub-rock,7,Jonah Dan,Intergalactic Dub Rock,"Jonah Dan

              —
              Intergalactic Dub Rock
            
              (Bokeh Versions)",Bokeh Versions,"Bokeh Versions simultaneously sustain/relieve the pressure with reissue of Jonah Dan’s cosmic-minded steppas session Intergalactic Dub Rock [Aba Christos Safari Records,1995].

Currently trading for the price of a Q (give or take) on the 2nd hand market, Intergalactic Dub Rock is clearly in demand for good reason. Rolling ten tonne sub-bass lines under... more",/products/intergalactic-dub-rock,https://assets.boomkat.com/spree/products/503503/product/5050580692930.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
7,feelextraordinaryep,8,Repro,Feel Extraordinary EP,"Repro

            —
            Feel Extraordinary EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
8,eurosouvenir,9,Eszaid,Eurosouvenir,"Eszaid

              —
              Eurosouvenir
            
              (COLLAPSING MARKET)",COLLAPSING MARKET,"Collapsing Market co-founder Eszaid sums up the mood of a Europe on the brink with ‘Eurosouvenir’, a raw and gloomy debut album inspired by the metaphoric symbolism of 0€ banknotes found at tourist hotspots across the continent. Highly recommended if yr into Ron Morelli, Pan Sonic, Rainforest Spiritual Enslavement...

Leading on from Collapsing... more",/products/eurosouvenir,https://assets.boomkat.com/spree/products/540845/product/Sans-titre-6fhf.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
9,lasakaneku,10,Slikback,Lasakaneku,"Slikback

              —
              Lasakaneku
            
              (Hakuna Kulala)",Hakuna Kulala,"Nyege Nyege Tapes’ ace new sublabel Hakuna Kulala presents fresh new bass music from Kenya with Slikback’s rudely skeletal twyss-ups

Simultaneously familiar in construction yet wickedly alien to Western bass music frameworks, Slikback’s ‘Lasakaneku’ is yet another thrilling new delivery from East and central Africa that’s bound to baffle preconceptions... more",/products/lasakaneku,https://assets.boomkat.com/spree/products/513761/product/5055869530460_T6_Image.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
10,dielit,11,Playboi Carti,Die Lit,"Playboi Carti

            —
            Die Lit",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
11,cassette-promo,12,Rixe,Cassette Promo,"Rixe

              —
              Cassette Promo
            
              (La Vida Es Un Mus Discos)",La Vida Es Un Mus Discos,,/products/cassette-promo,https://assets.boomkat.com/spree/products/485981/product/5055869561464_T4_Image.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
12,ork-muzik,13,DJ David Goblin,Ork Muzik,"DJ David Goblin

              —
              Ork Muzik
            
              (PRR! PRR!)",PRR! PRR!,"Pure Ork fuel from Belgian rave bastard DJ David Goblin a.k.a. David Coquelin, one of the nutters behind the brilliant PRR! PRR! label - close affiliates of Low Jack’s Editions Gravats

Going ham with nobs of new beat, EBM, hardcore techno and gabber, DJ David Goblin has just cooked up one of the maddest CDs that you’ll hear in 2018. It’s unmistakably daft in... more",/products/ork-muzik,https://assets.boomkat.com/spree/products/507425/product/90e75669-4eae-4756-a4f6-99e4228799bf.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
13,el-mal-querer,14,Rosalía,El Mal Querer,"Rosalía

              —
              El Mal Querer
            
              (Sony)",Sony,"Chances are anything you’ll listen to after sitting through this half hour masterpiece will sound a bit lifeless - El Mal Querer is the most vibrant, layered and forward facing album of the year.

Rosalía Vila Tobella is already something of a sensation in her native Spain, but this new album looks certain to propel her into the stratosphere with its immediately accessible... more",/products/el-mal-querer,https://assets.boomkat.com/spree/products/548718/product/rosala__2013.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
14,5-party-mix,15,Simo Cell,5 Party Mix,"Simo Cell

              —
              5 Party Mix
            
              (BFDM)",BFDM,"Simo Cell hits the 90bpm groove with grinding torque and double-time tricks for Brothers From Different Mothers

Nailing a sound highly compatible with discs on Low Jack’s Le Disques De La Bretagnes, Simo Cell shifts his weight from signature c.120-140bpm styles with ease, giving the dancehall something to chew on with the slow/fass dancehall of ‘Uranium’... more",/products/5-party-mix,https://assets.boomkat.com/spree/products/539395/product/329162.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
15,chant-down-babylon-verse-2-gast-version,16,TNT Roots & John T. Gast,Chant Down Babylon Verse 2 / Gast Version,"TNT Roots & John T. Gast

              —
              Chant Down Babylon Verse 2 / Gast Version
            
              (5 Gate Temple)",5 Gate Temple,"Mega digidub artillery form TNT Roots, backed with a spiralling version by John T. Gast, who’s also behind its release on 5 Gate Temple 

Somehow manifesting as TNT Roots’ first 7” after more than a decade of CD releases via his Lion Musik label, and a recent 12” with London’s Bokeh Versions, the keen trample of ‘Chant Down Babylon Verse 2’ is a deadly... more",/products/chant-down-babylon-verse-2-gast-version,https://assets.boomkat.com/spree/products/545619/product/JohnTGast.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
16,album-desconhecido,17,P.Adrix,"Álbum Desconhecido 
            
              (Príncipe)","P.Adrix

              —
              Álbum Desconhecido (2018 Special Edition)
            
              (Príncipe)",2018 Special Edition,"Even by Príncipe’s ridiculously high standards, this is jaw-droppingly good, fierce but soulful hybrids of kuduro with R&B, trance-techno, drill and jump-up jungle, in our view some of the most thrilling music made by anyone in the world right now...

Príncipe kick off 2018 in a big way with the remarkable début by P. (as in ‘Producer’) Adrix; a 22 year old artist... more",/products/album-desconhecido,https://assets.boomkat.com/spree/products/476414/product/Dist-Prev_1.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
17,nakamura,18,Aya Nakamura,NAKAMURA,"Aya Nakamura

            —
            NAKAMURA",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
18,bleak-comfort-962de0b2-4b82-4eab-9aa5-9c5766c7c6f9,19,Yves De Mey,Bleak Comfort,"Yves De Mey

              —
              Bleak Comfort
            
              (LATENCY)",LATENCY,"One of Belgium’s premier sound artist/designers shapes up the remarkable Bleak Comfort as his 3rd solo album, and first with discerning Parisian label Latency, who’ve previously proffered aces by Bellows, Robert Aiki Aubrey Lowe, Nuel, Madteo a.o.

In Bleak Comfort, as the title suggests, De Mey takes solace from aesthetic. It locates the arch sound explorer... more",/products/bleak-comfort-962de0b2-4b82-4eab-9aa5-9c5766c7c6f9,https://assets.boomkat.com/spree/products/523767/product/192562860366.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
19,noisembryo,20,Merzbow,Noisembryo,"Merzbow

              —
              Noisembryo
            
              (Hospital Productions)",Hospital Productions,"Hospital Productions present one of their foundational influences, Merzbow’s holy grail Noisembryo [1994] subtitled 'Psycho-Analytic Study of Coital Noise Posture', on its first vinyl edition - now newly edited by Masami Akita and expanded with the rare 'Travelling' taken from the 'Noise Forest' '[1992] compilation. The original album notably features a rare... more",/products/noisembryo,https://assets.boomkat.com/spree/products/495398/product/Merzbow.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
20,tallaritaep,21,E-Unity,Tallarita EP,"E-Unity

            —
            Tallarita EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
21,dub-hell-devil-s-dance,22,Ossia,Dub Hell / Devil's Dance,"Ossia

              —
              Dub Hell / Devil's Dance
            
              (Blackest Ever Black)",Blackest Ever Black,"Young Echo’s Ossia ruffs up and danks out the dance for Blackest Ever Black inna gothic Bristolian style

Crossing paths with BEB for the 2nd time following his crushing Red X session, Ossia grimly socks it to London’s finest with the recoiling stepper, Dub Hell; a sludgy hot slug of distorted, buzzing subs harnessed to trampling kick and dragged backward thru an... more",/products/dub-hell-devil-s-dance,https://assets.boomkat.com/spree/products/512673/product/Ossia-flat.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
22,ramos-ed97e2a6-6cd1-498d-9925-699be095e191,23,Ploy,Ramos,"Ploy

              —
              Ramos
            
              (Timedance)",Timedance,"Ploy keeps it dry and funky, UK style, with the rolling pressure of Ramos 

Whereas Roy’s Rolls sustains a perpetual snare roll from start to finish on a smart exercise in tension and deferred gratification.

 

            more",/products/ramos-ed97e2a6-6cd1-498d-9925-699be095e191,https://assets.boomkat.com/spree/products/508375/product/5055869530309_T3_Image.jpg,709,Low Jack,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/709
