,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,st,1,Anna,s/t,"Anna

            —
            s/t",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
1,daughters-of-time,2,Blue Chemise,Daughters Of Time,"Blue Chemise

              —
              Daughters Of Time
            
              (STUDENTS OF DECAY)",STUDENTS OF DECAY,"Beautifully haunted, tripped out and richly absorbing set of apparitions recalling the most sylvan shadows of Aphex Twin's ‘SAW II’, Leyland Kirby / The Caretaker at his creepiest and the spectres of Loren Connors “airs”, a huge recommendation to followers/fans of any of the above...

Blue Chemise is the alias of Australia’s Mark Gomes and this is his debut for... more",/products/daughters-of-time,https://assets.boomkat.com/spree/products/518992/product/880918230726.jpg,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
2,hilja,3,Cucina Povera,Hilja,"Cucina Povera

              —
              Hilja
            
              (Night School / Domestic Exile)",Night School / Domestic Exile,"Hilja is the sublimely half-there debut of dream pop from Glasgow-based Finnish artist Maria Rossi a.k.a. Cucina Povera. Taking her name from the southern Italian method of making-do in the kitchen, Cucina Povera works just as well to describe Rossi’s unusual, off-kilter mix of avant-garde abstraction, medieval-sounding folk and synthesised nocturnal... more",/products/hilja,https://assets.boomkat.com/spree/products/470046/product/647603399980.jpg,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
3,themorningstar,4,Daniel Bachman,The Morning Star,"Daniel Bachman

            —
            The Morning Star",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
4,crosscountry,5,David Wojnarowicz,Cross Country,"David Wojnarowicz

            —
            Cross Country",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
5,stadium-747a7835-d003-4622-a8e2-602bfc668eb3,6,Eli Keszler,Stadium,"Eli Keszler

              —
              Stadium
            
              (Shelter Press)",Shelter Press,"Our album of the year 2018 is Eli Keszler’s ‘Stadium'; an isolationist avant-jazz masterpiece that's both highly complex and entirely accessible. With his close collaborators Daniel ‘0PN’ Lopatin and Laurel Halo smoking in the back seat, on ‘Stadium’ Keszler somehow manages to emulate a feeling of being lost in a crowd, of time slowing down as the world... more",/products/stadium-747a7835-d003-4622-a8e2-602bfc668eb3,https://assets.boomkat.com/spree/products/523486/product/880918232294-2-2.jpg,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
6,juguete,7,Isabella LoveStory,Juguete,"Isabella LoveStory

            —
            Juguete",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
7,approximately1000beers,8,Jeff Witscher,"Approximately 1,000 Beers","Jeff Witscher

            —
            Approximately 1,000 Beers",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
8,organ-dirges-2016-2017-78383f22-76dc-476a-87f8-5de5df6be873,9,Kali Malone,Organ Dirges 2016 - 2017,"Kali Malone

              —
              Organ Dirges 2016 - 2017
            
              (Ascetic House)",Ascetic House,"Unique, engrossing room recordings of Kaliff pipe organ dirges played by composer, sound technician and multi-instrumentalist Kali Malone, released earlier on in the year on a super limited tape run and now finally pressed up on vinyl for wider public consumption. Very little we’ve heard in 2018 has affected us as much as this elusive, magical... more",/products/organ-dirges-2016-2017-78383f22-76dc-476a-87f8-5de5df6be873,https://assets.boomkat.com/spree/products/552547/product/Kali_Malone_Dist_prev.jpg,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
9,the-still-life-ab7cdd70-75c6-407b-97fa-1ff94424e7be,10,Karla Borecky,The Still Life,"Karla Borecky

              —
              The Still Life
            
              (Recital / Recital Program)",Recital / Recital Program,"Humbly enchanting solo piano suite by a regular member of the long-running Idea Fire Company, and former collaborator with The Shadow Ring 

“Karla Borecky’s long-awaited second album following 2011’s Still In Your Pocket (R9). In between her work with Idea Fire Company, Karla has been slowly building a new repertoire of solo pieces.  She threads together... more",/products/the-still-life-ab7cdd70-75c6-407b-97fa-1ff94424e7be,https://assets.boomkat.com/spree/products/586061/product/880918232478.jpg,802,Lynn,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/802
