,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,paradise-94,1,Lucy Railton,Paradise 94,"Lucy Railton

              —
              Paradise 94 
            
              (Modern Love)",Modern Love,"Prolific cellist and composer Lucy Railton releases her long awaited solo debut for Modern Love; an intense and multi-layered opus that reminds us of everything from Alvin Lucier, Beatrice Dillon and Nate Young, to Valerio Tricoli and Popol Vuh.

A prolific performer who has appeared on countless recordings and collaborations with many important figures in... more",/products/paradise-94,https://assets.boomkat.com/spree/products/489438/product/LOVE108_repress_Dist_Preview.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
1,everywhere-at-the-end-of-time-stage-4,2,THE CARETAKER,Everywhere At The End Of Time - Stage 4,"THE CARETAKER

              —
              Everywhere At The End Of Time - Stage 4
            
              (History Always Favours The Winners)",History Always Favours The Winners,"The fourth in a series of six albums from The Caretaker cataloguing the effects of early-onset dementia. Featuring four extended, smudged and hallucinatory side-long pieces - the darkest and most immersive music from The Caretaker to date.

The Caretaker slips into the first “post awareness” stage of Everywhere At The End of Time. The ability to recall... more",/products/everywhere-at-the-end-of-time-stage-4,https://assets.boomkat.com/spree/products/493116/product/The_Caretaker_%E2%80%8E%E2%80%93_Everywhere_At_The_End_Of_Time_-_Stage_.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
2,everywhere-at-the-end-of-time-stage-5,3,THE CARETAKER,Everywhere At The End Of Time - Stage 5,"THE CARETAKER

              —
              Everywhere At The End Of Time - Stage 5
            
              (History Always Favours The Winners)",History Always Favours The Winners,"Penultimate, 5th Stage of The Caretaker’s ‘Everywhere At The End of Time’ series charting severe levels of musical/mental deterioration and sensory detachment through four extended, smudged and hallucinatory side-long pieces.

As we near the end, ‘Stage 5’ sees our protagonist enter a near-permanent state of confusion and horror. Mirroring the endemic... more",/products/everywhere-at-the-end-of-time-stage-5,https://assets.boomkat.com/spree/products/534326/product/HAFTW029_dist_preview.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
3,mista-thug-isolation,4,Lil Ugly Mane,Mista Thug Isolation,"Lil Ugly Mane

              —
              Mista Thug Isolation
            
              (Hundebiss)",Hundebiss,"At long last we get our mitts on this mad one from Lil Ugly Mane, originally rolled out in 2012 on cassette thru Ormolycka - the same label behind Death Grips’ Exmilitary and those Pyongyang Hardcore Resistance tapes - and now in x-amounta repress editions from Italy’s excellent Hundebiss because it’s a bit of a banger. 

It’s a skewed, psychoactive take on... more",/products/mista-thug-isolation,https://assets.boomkat.com/spree/products/318698/product/R-4124721-1356123441-8577.jpeg.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
4,theleftoverstv,5,,The Leftovers TV,The Leftovers TV,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
5,devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,6,TIRZAH,Devotion,"TIRZAH

              —
              Devotion
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah pursues the slowest-burning soul feels on Devotion, the London-based singer-songwriter’s humbly singular début album, produced by Mica Levi and providing us with total life affirming summer listening - most probably the record we've listened to most this year so far, and one that lingers on and on...

Since her first solo 12”s  and thru frequent... more",/products/devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,https://assets.boomkat.com/spree/products/504883/product/887828039463_T12_Image.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
6,spectramonahobarttasmania,7,Ryoji Ikeda,"Spectra @ MONA Hobart, Tasmania","Ryoji Ikeda

            —
            Spectra @ MONA Hobart, Tasmania",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
7,bassianitblisi,8,,Bassiani Tblisi,Bassiani Tblisi,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
8,overstayersaturatornt02,9,,Overstayer Saturator NT-02,Overstayer Saturator NT-02,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
9,liveinbudapestelectrify2018,10,Kelman Duran,Live in Budapest@Electrify 2018,"Kelman Duran

            —
            Live in Budapest@Electrify 2018",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
10,de-leon,11,De Leon,De Leon,"De Leon

              —
              De Leon
            
              (Mana Records)",Mana Records,"Enigmatic collective De Leon, known for a pair of cult tape releases on the Aught label, casts the 3rd release on Mana, following their sides by Pierre Mariétan and Benedict Drew with a display of rippling rhythmelodies and sloshing patterns, including some ripped from their Blowing Up The Workshop mix and all bound to resonate with fans of Shackleton... more",/products/de-leon,https://assets.boomkat.com/spree/products/491599/product/DeLeon.jpg,756,Miles,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/756
