,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,terminal-b7268299-2ff6-4404-b23c-6883ae746689,1,ZULI,Terminal,"ZULI

              —
              Terminal
            
              (UIQ)",UIQ,"Electronic prism-pusher Zuli explores themes of identity, both hyperlocal and global, in ‘Terminal’; his singular and definitive artistic statement for Lee Gamble’s UIQ. 

Expanding his sound to encompass melancholic ambient composition and grimy rap from prominent MC, Abyusif, as well as newcomers Abanoub, Mado $am and R-Rhyme, and mysterious... more",/products/terminal-b7268299-2ff6-4404-b23c-6883ae746689,https://assets.boomkat.com/spree/products/538739/product/Dist_Prev.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
1,bblisss-a083d333-c917-42a7-b05a-9f072b27da5a,2,Various Artists,bblisss,"Various Artists

              —
              bblisss
            
              (bblisss)",bblisss,"That sought-after bblisss tape from a couple of years back - featuring Huerco S’ first appearance as Pendant, as well as incognito contributions from West Mineral crew uon, Ulla Straus, and Exael - has been remastered and pressed to vinyl for the first time. There’s a copy of the tape edition up on d*sc*gs right now for £70+ so don’t hang aboooot.

Pulled... more",/products/bblisss-a083d333-c917-42a7-b05a-9f072b27da5a,https://assets.boomkat.com/spree/products/526549/product/cover-6.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
2,haus,3,Vril,Haus,"Vril

            —
            Haus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
3,s-ngkr-t-z-m,4,Our Souls Are In The Hands Of The Translator,sɪŋkrɪtɪzəm,"Our Souls Are In The Hands Of The Translator

              —
              sɪŋkrɪtɪzəm
            
              (Arcola)",Arcola,"Jamal Moss joins the rebooted Arcola for his banging, trippy maiden voyage under a new alias; Our Souls Are In The Hands of the Translator..

On sɪŋkrɪtɪzəm, the keeper of the Chi-town flame dials in an astonishingly colourful and psychedelic two parts featuring some of the craftiest drum programming and psychoactive 3D rendering in his entire catalogue, landing... more",/products/s-ngkr-t-z-m,https://assets.boomkat.com/spree/products/565288/product/5060384615677.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
4,young-paint,5,Young Paint (Actress),Young Paint,"Young Paint (Actress)

              —
              Young Paint
            
              (Werk__Ltd. / The Vinyl Factory)",Werk__Ltd. / The Vinyl Factory,"Young Paint is Actress’ AI learning programme which has been progressively emulating his transition from greyscale to silvertone since the release of ‘Hazyville’ ten years ago.

For its self-titled debut, Young Paint renders six tracks of baked electronics and techno hydrolicks that sound like the bossman Actress, which means the possibly apocryphal... more",/products/young-paint,https://assets.boomkat.com/spree/products/534050/product/5060438880914.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
5,u-kno-d6bfeaeb-0a18-4484-b8be-7a59ac27fc1e,6,SK U KNO,U KNO,"SK U KNO

              —
              U KNO
            
              (No 'Label')",No 'Label',"Suzanne Kraft beautifully paints outside the lines on ‘SK U Kno’, offering studio-rendered snapshots of material that gradually evolved into the pieces in front of you, drawing woozy connections between wistful ambient contours and more vaporous, hypnagogic loops, into unstable House and abstracted midnight Blues. One of the loveliest/smudged... more",/products/u-kno-d6bfeaeb-0a18-4484-b8be-7a59ac27fc1e,https://assets.boomkat.com/spree/products/545125/product/RHD-033.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
6,make-me-know-you-sweet,7,Pendant,"Make Me Know You Sweet 
            
              (West Mineral)","Pendant

              —
              Make Me Know You Sweet (2018 Special Edition)
            
              (West Mineral)",2018 Special Edition,"Special white vinyl pressing of Pendant’s gaseous, shoegazing 'Make Me Know You Sweet’, without a doubt one of the most immersive electronic albums released this year. Pendant is, of course, the alias of Brian Leeds aka Huerco S - here delving into the kind of blurred harmonic bliss that avoids ambient cliché and instead acts as an absorbing vessel for deep... more",/products/make-me-know-you-sweet,https://assets.boomkat.com/spree/products/473000/product/Pendant_Dist_Preview.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
7,improvisational-loops,8,TEREKKE,Improvisational Loops,"TEREKKE

              —
              Improvisational Loops
            
              (Music From Memory)",Music From Memory,"Terekke herds his wooliest flock of ambient Improvisational Loops for Music From Memory following the cultishly-acclaimed Plant Age album for L.I.E.S.. This time he evaporates any trace of percussion to leave listeners wrapped up in billowing harmonic structures with a deeply meditative, almost anaesthetising effect set to resonate with a raft of... more",/products/improvisational-loops,https://assets.boomkat.com/spree/products/484158/product/mda_r407_s4_c00_2018-02-05_12-52-17.jpg,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
8,welcomingelegance,9,Varg & AnnaMelina,Welcoming Elegance,"Varg & AnnaMelina

            —
            Welcoming Elegance",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
9,digitalmythossimulator,10,Intimacy,Digital Mythos Simulator,"Intimacy

            —
            Digital Mythos Simulator",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,743,Newworldaquarium,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/743
