,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sujud,1,Senyawa,Sujud,"Senyawa

              —
              Sujud
            
              (Sublime Frequencies)",Sublime Frequencies,"Senyawa stir primordial spirits in the cosmically heavy doom and psych explorations of ‘Sujud’, the Indonesian duo’s stellar debut with Sublime Frequencies. 

Since arriving to global underground acclaim in 2015 with the ‘Menjadi’ LP on Rabih Beaini’s Morphine Records, Senyawa have established themselves among the most beguiling acts in circulation right... more",/products/sujud,https://assets.boomkat.com/spree/products/536636/product/A10369V0000000867Q_T45398830600054.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
1,bathhouse,2,Steven Legget,Bathhouse,"Steven Legget

              —
              Bathhouse
            
              (Firecracker)",Firecracker,"It’s safe to say that Steven Legget has been somewhat measured in his approach to releasing music. The Newcastle native was behind the Four Hands moniker, with releases alongside iconic industrial figures Zoviet France on Signals From The North and the classic ‘Hizou’ on Claremont 56 back at the turn of the decade.

Steve Leggett pays tribute to one of the... more",/products/bathhouse,https://assets.boomkat.com/spree/products/501785/product/97d263f5-fb4f-4c73-81fc-52badf6ebac4.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
2,cleo,3,Donato Dozzy,Cleo,"Donato Dozzy

            —
            Cleo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
3,the-portal-1f0d0972-fa01-410e-921a-2821b81d8c3f,4,Krust,The Portal,"Krust

              —
              The Portal
            
              (ThirtyOne Recordings)",ThirtyOne Recordings,"Krust gets on a wavy good-foot for Doc Scott's 31 with a stripped-down blend of hot-stepping ‘80s synth-pop groove and minimalist D&B in The Portal, and some prime, natty hi-tech rolige in Concealing Treachery.

 

            more",/products/the-portal-1f0d0972-fa01-410e-921a-2821b81d8c3f,https://assets.boomkat.com/spree/products/502980/product/Krust.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
4,mywellcrapcarmardymix,5,Vester Koza,my well crap car (mardy mix),"Vester Koza

            —
            my well crap car (mardy mix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
5,exit-future-heart,6,Dustin Wong + Takako Minekawa + Good Willsmith,Exit Future Heart,"Dustin Wong + Takako Minekawa + Good Willsmith

              —
              Exit Future Heart
            
              (Umor-Rex)",Umor-Rex,"‘Exit Future Heart’ is the gently psychedelic and beautifully optimistic collaboration between Tokyo’s Dustin Wong & Takako Minekawa and Chicago’s free music trio, Good Willsmith.

Its flight path takes in myriad strains of kosmische krautrock, jazz abstraction, IDM and all their intersections across six tracks improvised during one night on tour when Wong and... more",/products/exit-future-heart,https://assets.boomkat.com/spree/products/496762/product/880918230740.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
6,muunduja,7,Maarja Nuut  &  Ruum,"Muunduja
            
              (130701 (FatCat Records))","Maarja Nuut  &  Ruum

              —
              Muunduja
            
              (130701 (FatCat Records))",130701,"Organic melds of plaintive vocals, primordial techno and rustic folk with subtle electronic backdrops. Recorded in Talinn, Estonia and recalling elements of Cucina Povera, Fönal Records’ Paavoharju...

“The presiding spirit of “Muunduja” (Shifter) is a state of being between states, the warping of time’s arrow using sound. Maarja Nuut & Ruum’s music often lures us... more",/products/muunduja,https://assets.boomkat.com/spree/products/563086/product/600116133052.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
7,hilja,8,Cucina Povera,Hilja,"Cucina Povera

              —
              Hilja
            
              (Night School / Domestic Exile)",Night School / Domestic Exile,"Hilja is the sublimely half-there debut of dream pop from Glasgow-based Finnish artist Maria Rossi a.k.a. Cucina Povera. Taking her name from the southern Italian method of making-do in the kitchen, Cucina Povera works just as well to describe Rossi’s unusual, off-kilter mix of avant-garde abstraction, medieval-sounding folk and synthesised nocturnal... more",/products/hilja,https://assets.boomkat.com/spree/products/470046/product/647603399980.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
8,oil-of-every-pearl-s-un-insides,9,Sophie,OIL OF EVERY PEARL'S UN-INSIDES,"Sophie

              —
              OIL OF EVERY PEARL'S UN-INSIDES
            
              (Transgressive)",Transgressive,"SOPHIE lights up 2018 with ‘Oil of Every Pearl’s Un-insides’, an exhilarating début album of upfront dance-pop, epic ballads and shocking electronic production that grasps the modern zeitgeist with jaws and both fists

Landing some 6 years since her ironically titled debut Nothing More To Say, over which time the artist has produced records for Madonna, Charli XCX... more",/products/oil-of-every-pearl-s-un-insides,https://assets.boomkat.com/spree/products/512175/product/5414940019285_T41720378220054.jpg,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
9,coordinates,10,Aboutface,Coordinates,"Aboutface

            —
            Coordinates",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,757,Nic Tasker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/757
