,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,stationaryregime,1,Von Grall,Stationary Regime,"Von Grall

            —
            Stationary Regime",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
1,brokenwave,2,Boddika,Broken Wave,"Boddika

            —
            Broken Wave",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
2,the-world-remade,3,O/V/R,The World Remade,"O/V/R

              —
              The World Remade
            
              (Downwards)",Downwards,"UK techno heavyweights Karl O’Connor & James Ruskin whip out a deadly new OVR session on Downwards

Arriving 2 years since their ‘Easy Prey’ 12”, OVR’s 3rd studio release is defined by its spacious mixing and layered detail in three powerful dancers plus two handy locked grooves.

‘The World Remade’ is a proper juggernaut, rolling thru pelting percussion... more",/products/the-world-remade,https://assets.boomkat.com/spree/products/552261/product/8718723114974.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
3,searching-cb4e6035-32ac-4fda-8715-bc489f85c4cc,4,PALEMAN,Searching,"PALEMAN

              —
              Searching
            
              (Zehnin)",Zehnin,"Paleman joins Berlin’s youthling Zehnin label with a dark payload of rumbling techno in the wake of their releases by Lucy/Blawan and Roots In Heaven.

With signature subtlety and powerful traction, Paleman blends UK and Euro techno tropes to his own special mixture, serving heat-seeking phantom killers in the hulking rogue 2068, and clanking underwater... more",/products/searching-cb4e6035-32ac-4fda-8715-bc489f85c4cc,https://assets.boomkat.com/spree/products/494537/product/4012957360508_1448.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
4,filo-loves-the-acid,5,DONATO DOZZY,Filo Loves The Acid,"DONATO DOZZY

              —
              Filo Loves The Acid
            
              (Tresor Records)",Tresor Records,"Naturally, Tresor 303 is a killer album of 8 driving acid studies by Italian maestro Donato Dozzy 

On ‘Filo Loves The Acid’ Dozzy presents his first solo album since ‘The Loud Silence’ [Further Records, 2015]. But, where that album and his collaborations with Anna Caragnano, Bee Mask and Neel have tended to his experimental side, this is the first time... more",/products/filo-loves-the-acid,https://assets.boomkat.com/spree/products/517270/product/0666017325163.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
5,beware-of-shells,6,Rrose,Beware of Shells,"Rrose

              —
              Beware of Shells
            
              (EAUX)",EAUX,"Proper, experimental techno drills from Rrose on her vital Eaux label

The kind of gear that leaves you sweaty palmed and clamming for nightfall, especially on a friday afternoon, ‘Beware of Shells’ delivers the Rrose’s first solo outing of 2018, following from her smart collaboration with Lucy.

Tilting in with the vertiginous title track of billowing synth... more",/products/beware-of-shells,https://assets.boomkat.com/spree/products/545206/product/5050580704312.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
6,endofcycle,7,Korridor,End of Cycle,"Korridor

            —
            End of Cycle",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
7,communique-from-an-absent-future,8,Mike Davis (DE),Communiqué From An Absent Future,"Mike Davis (DE)

              —
              Communiqué From An Absent Future
            
              (Brenda Records)",Brenda Records,,/products/communique-from-an-absent-future,https://assets.boomkat.com/spree/products/520561/product/8790001230934_T6_Image.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
8,noontidemaxloderbauerremix,9,Da Silva/Franco/Rohrer,Noontide (Max Loderbauer Remix),"Da Silva/Franco/Rohrer

            —
            Noontide (Max Loderbauer Remix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
9,dwell-in-motion,10,Desroi,Dwell in Motion,"Desroi

              —
              Dwell in Motion
            
              (AVIAN)",AVIAN,"Standardly grim and grizzled monotone techno from Shifted’s Avian 

introducing Desroi to the nest with five stealthy cuts, at best ion the Miek Parker-esque hydraulics of Lines Of Sight, the undulating turbulence of A Glimpse of Bliss, and his steely but chattering roller Dwell In Motion.

 

            more",/products/dwell-in-motion,https://assets.boomkat.com/spree/products/501939/product/8718723103640.jpg,826,Paleman,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/826
