,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,cg001,1,SC-0164,CG 001,"SC-0164

            —
            CG 001",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
1,atevenfurthur2018,2,Delta 9,at Even Furthur 2018,"Delta 9

            —
            at Even Furthur 2018",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
2,o-vmv-m-555e45ad-8c3e-451a-ad1e-db426aaf7012,3,O$VMV$M,O$VMV$M,"O$VMV$M

              —
              O$VMV$M
            
              (IDLE HANDS)",IDLE HANDS,"Amos Childs (Jabu, Zhou) and Sam Barrett (Neek, Bandulu Gang) play to the depths of their O$VMV$M sound on O$VMV$M, which is titled identically to the preceding pair of O$VMV$M releases for the bastion of Bristol music, Idle Hands. For disambiguation this one is cat# IDLE053!

Like their others, this one is intended for solo downtime and smoky... more",/products/o-vmv-m-555e45ad-8c3e-451a-ad1e-db426aaf7012,https://assets.boomkat.com/spree/products/503699/product/5050580692725.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
3,live-in-nyc-941600aa-f3e8-4ab3-81df-e1d07de397b1,4,Regis,Live In NYC,"Regis

              —
              Live In NYC
            
              (Cititrax)",Cititrax,"Veronica Vasicka’s Cititrax serve a previously unheard document of Karl O’Connor aka Regis in his late ‘90s prime - only months after the release of his classic LP, Gymnastics - with five excepts from a live performance at The New York Film Academy on Union Square, Manhattan, January 4th 1997.

That info should be getting a few techno nuts hot under the... more",/products/live-in-nyc-941600aa-f3e8-4ab3-81df-e1d07de397b1,https://assets.boomkat.com/spree/products/452587/product/R-10989066-1507753352-8206.jpeg.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
4,young-echo,5,Young Echo,Young Echo,"Young Echo

              —
              Young Echo
            
              (Young Echo)",Young Echo,"The overdue and overproof sophomore Young Echo album is finally upon us, dispensing an epic 24 tracks of subby, red-eyed and distinctively Bristolian vibes set to dank-out smoky dwellings everywhere. Arriving five years after Nexus, their eponymous second album features cuts from each of the 11-strong mob, framing a fractious mosaic of style and... more",/products/young-echo,https://assets.boomkat.com/spree/products/539369/product/4050486130445.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
5,the-portal-1f0d0972-fa01-410e-921a-2821b81d8c3f,6,Krust,The Portal,"Krust

              —
              The Portal
            
              (ThirtyOne Recordings)",ThirtyOne Recordings,"Krust gets on a wavy good-foot for Doc Scott's 31 with a stripped-down blend of hot-stepping ‘80s synth-pop groove and minimalist D&B in The Portal, and some prime, natty hi-tech rolige in Concealing Treachery.

 

            more",/products/the-portal-1f0d0972-fa01-410e-921a-2821b81d8c3f,https://assets.boomkat.com/spree/products/502980/product/Krust.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
6,test-file,7,Marcel Dettmann,Test-File,"Marcel Dettmann

              —
              Test-File
            
              (Ostgut Ton)",Ostgut Ton,"Marcel Dettmann experiments with a spectrum of styles from broken, abstract to crunching techno functions for Ostgut-Ton

Three of them are really worth closer attention, namely the roiling, Autechrian fizz of ‘Test-File’ showing the kids how to do it weird but driving, also the T++ or Dynamo-esque lurch of ’Torch’, and a Drexciya-infected slice of EBM-techno... more",/products/test-file,https://assets.boomkat.com/spree/products/522288/product/0880319958915.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
7,ignis,8,Mika Vainio & Vigroux,Ignis,"Mika Vainio & Vigroux

              —
              Ignis
            
              (Cosmo Rhythmatic)",Cosmo Rhythmatic,"A stunning set of previously unheard posthumous recordings from Mika Vainio aided and abetted by Franck Vigroux. Haunting, cinematic, extreme electronic panoramas of the highest order…

Mika Vainio and Franck Vigroux’s brutal yet filigree electronics come to light in ‘Ignis’, which finally discloses the further, etheric results of recording sessions that made... more",/products/ignis,https://assets.boomkat.com/spree/products/513329/product/CR08_distribution_preview.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
8,atbrixtonacademy,9,Death Grips,at Brixton Academy,"Death Grips

            —
            at Brixton Academy",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
9,wet-will-always-dry,10,Blawan,Wet Will Always Dry,"Blawan

              —
              Wet Will Always Dry
            
              (Ternesc)",Ternesc,"‘Wet Will Always Dry ‘is the blistering début album by Blawan. Arriving 8 years after his first move, ‘Fram’ for Hessle Audio - during which time he’s forged the Karenn duo with Pariah, set up his Ternesc label, and played to the biggest crowds of gurners in the world - Blawan’s first LP is a gnashing statement of intent that finds him sticking ever closer to what’s... more",/products/wet-will-always-dry,https://assets.boomkat.com/spree/products/507585/product/8718723105187.jpg,785,Perc,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/785
