,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-sound-of-music-58401ccb-2817-4e91-8f73-459b2239dcc7,1,Laibach,The Sound Of Music,"Laibach

              —
              The Sound Of Music
            
              (Mute)",Mute,"The Sound of Music was conceived when Laibach were infamously invited to perform in North Korea in 2015. The band performed several songs from the 1965 film’s soundtrack at the concert in Pyongyang, chosen by Laibach as it’s a well-known and beloved film in the DPRK and often used by schoolchildren to learn English. Laibach are joined by Boris... more",/products/the-sound-of-music-58401ccb-2817-4e91-8f73-459b2239dcc7,https://assets.boomkat.com/spree/products/551172/product/5051083138949_T43605579320054.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
1,keychainssnowstorms,2,Soft Cell,Keychains & Snowstorms,"Soft Cell

            —
            Keychains & Snowstorms",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
2,domestic-economy,3,Finlay Shakespeare,Domestic Economy,"Finlay Shakespeare

              —
              Domestic Economy
            
              (Editions Mego)",Editions Mego,"Editions Mego reveal a striking new synth-pop star in the ascendent with Finlay Shakespeare’s remarkable debut album

Marrying freely metered vocals comparable with Richard Youngs to powerful instrumental drive worthy of prime Vince Clarke, Shakespeare’s ‘Domestic Economy’ is an effortlessly bold and singularly expressive revision of classic... more",/products/domestic-economy,https://assets.boomkat.com/spree/products/551221/product/5050580705562.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
3,nts-sessions,4,AUTECHRE,NTS Sessions,"AUTECHRE

              —
              NTS Sessions
            
              (Warp Records)",Warp Records,"Autechre weigh in the labyrinthine 8 hour ‘NTS Sessions’, parsing the guts of their hard drives for gold and other precious materials dating back to 2011

The duo were initially commissioned to do a DJ residency on NTS, following their show from early 2016, but what transpired is closer in approach and results to a super extended Peel Session, featuring stacks... more",/products/nts-sessions,https://assets.boomkat.com/spree/products/513354/product/WARP364_Packshot_1400.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
4,the-third-helix,5,Drew McDowall,The Third Helix,"Drew McDowall

              —
              The Third Helix
            
              (Dais Records)",Dais Records,"Erstwhile Coil guy Drew McDowell puts 50p in the meter for a 3rd batch of voluminous modular synth misshapes with NYC’s Dais Records

After testing out a mutant dancehall sound with Hiro Kone on ‘The Ghost Of Georges Bataille’, McDowell picks up where he left us with ‘Unnatural Channel’ [2017], plumbing deep into the guts of his modular array to extract the... more",/products/the-third-helix,https://assets.boomkat.com/spree/products/526522/product/a3621944929_10.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
5,chemistry-lessons-volume-1,6,Chris Carter,Chemistry Lessons Volume 1,"Chris Carter

              —
              Chemistry Lessons Volume 1
            
              (Mute)",Mute,"Architect of the present future, Chris Carter goes retro hauntological on CCCL Volume One, his first solo album in 17 years. 

Since his previous album, released in the last century, he’s been busy taking his influential duo with partner Cosey Fanni Tutti to a natural close, and likewise seeing thru their trio with Nik Colk Void, while at the same time diversifying his bonds... more",/products/chemistry-lessons-volume-1,https://assets.boomkat.com/spree/products/493595/product/5414940006384_T37873741990054.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
6,liveinvienna,7,Renaldo & The Loaf,Live In Vienna,"Renaldo & The Loaf

            —
            Live In Vienna",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
7,the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,8,Puce Mary,The Drought,"Puce Mary

              —
              The Drought 
            
              (PAN)",PAN,"Scowling industrial bad vibes from Frederikke Hoffmeier’s Puce Mary, mounting her debut LP with PAN after dishing out dozens of albums and oddjobs for Posh Isolation, Ascetic House, iDEAL under her own name and also as Amphetamine Logic, JH1.FS3, and Body Sculptures during the preceding decade

“Building from a reputation of arresting live... more",/products/the-drought-08b402b0-7549-476a-8da1-470146f1dd1e,https://assets.boomkat.com/spree/products/521987/product/Rdland.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
8,los-lagos,9,THOMAS FEHLMANN,Los Lagos,"THOMAS FEHLMANN

              —
              Los Lagos
            
              (Kompakt)",Kompakt,"After announcing he’s winding down from duties in The Orb, Thomas Fehlmann “checks the juice” with a fine, squashed set of ambient-dub-techno jaunts. Make sure to check for the roiling acid-dub flow of ‘Morrislouis’, the way that the bassline on ‘Window’ practically drops out of the speakers, and the spiralling waltz of ‘Freiluft’.

""Establishing a picture of his... more",/products/los-lagos,https://assets.boomkat.com/spree/products/523300/product/0880319960819.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
9,reductions-1995-1997,10,VAINQUEUR,Reductions 1995–1997,"VAINQUEUR

              —
              Reductions 1995–1997
            
              (SCION VERSIONS)",SCION VERSIONS,"Prayers are answered with Vainqueur’s Reductions 1995-1997, a compilation of in-demand cuts from René Löwe’s seminal Chain Reaction 12”s and Elevations CD, including the vinyl premiere of Antistatic and first ever appearance of Antistatic II on any format, all available on wax for the first time in over 20 years!

For anyone who came thru during the late ‘90s and... more",/products/reductions-1995-1997,https://assets.boomkat.com/spree/products/505374/product/4044693000905.jpg,811,Peter Rehberg,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/811
