,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,persona-0082b338-741d-4ad2-815e-7c42e4b94515,1,Rival Consoles,Persona,"Rival Consoles

              —
              Persona
            
              (Erased Tapes)",Erased Tapes,"Ryan Lee West aka Rival Consoles presents his new album ‘Persona’.

""Recorded at his studio in south-east London, ‘Persona’ benefits from Ryan’s exploration of a dynamic production process that combines analogue-heavy synthesisers, acoustic and electric instruments with a shoegaze-level obsession with effect pedals. A greater depth of emotion and... more",/products/persona-0082b338-741d-4ad2-815e-7c42e4b94515,https://assets.boomkat.com/spree/products/573112/product/4050486114490.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
1,welcome-to-paradise-italian-dream-house-89-93-vol-1,2,Various Artists,"Welcome To Paradise (Italian Dream House 89-93) Vol. 1
            
              (Safe Trip)","Various Artists

              —
              Welcome To Paradise (Italian Dream House 89-93) Vol. 1
            
              (Safe Trip)",Italian Dream House 89-93 Vol. 1,"Dancefloor gold right here from Young Marco’s Safe Trip label, packaging ten cuts of divine, sensual  Italian Dream House 89-93 in the wake of his excellent Dekmantel Selectors pack and his previous sojourns along more cosmic vectors.

A bit of a red flag on our disco radars, this portion of the worldwide house revolution has mostly evaded reissue schemes and wider... more",/products/welcome-to-paradise-italian-dream-house-89-93-vol-1,https://assets.boomkat.com/spree/products/404533/product/VA-welcometoparadise-Vol1.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
2,welcome-to-paradise-italian-dream-house-89-93-vol-2,3,Various Artists,"Welcome To Paradise (Italian Dream House 89-93) Vol. 2
            
              (Safe Trip)","Various Artists

              —
              Welcome To Paradise (Italian Dream House 89-93) Vol. 2
            
              (Safe Trip)",Italian Dream House 89-93 Vol. 2,"Dancefloor gold right here from Young Marco’s Safe Trip label, packaging a 2nd volume of eleven prime examples divine, sensual Italian Dream House 89-93 in the wake of his excellent Dekmantel Selectors pack and previous sojourns along more cosmic vectors.

A bit of a red flag on our disco radars, this portion of the worldwide house revolution has mostly... more",/products/welcome-to-paradise-italian-dream-house-89-93-vol-2,https://assets.boomkat.com/spree/products/404534/product/VA-welcometoparadise-Vol2.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
3,welcome-to-paradise-italian-dream-house-90-94-vol-3,4,Various Artists,"Welcome to Paradise (Italian Dream House 90-94) Vol. 3
            
              (Safe Trip)","Various Artists

              —
              Welcome to Paradise (Italian Dream House 90-94) Vol. 3
            
              (Safe Trip)",Italian Dream House 90-94 Vol. 3,"Young Marco welcomes us to paradise again for the concluding 3rd volume of Italian Dream House 90-94, delivering 11 cuts of beckoning, eyes-shut-in-the-dance deep house goodness

Remarkably, he’s pulled out two contemporaneous, previously unreleased treats in the Balearic breeze of Resounding Seashell by Jacy, and the beaming garage swang of... more",/products/welcome-to-paradise-italian-dream-house-90-94-vol-3,https://assets.boomkat.com/spree/products/507211/product/8718754954358.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
4,double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,5,LOW,Double Negative,"LOW

              —
              Double Negative
            
              (Sub Pop Records)",Sub Pop Records,"Rarely has an album owed so much to production... Low return with their most daring, experimental release in years, co-produced by James Blake's man at the controls B.J. Burton, at times verging on a layered, pulsing electronic sound you'd associate with the likes of Andy Stott. Doused in distortion, throbbing electronics, submerged vocals, side-chain... more",/products/double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,https://assets.boomkat.com/spree/products/532037/product/0098787125061_T41803360250054.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
5,suspiria-music-for-the-luca-guadagnino-film,6,THOM YORKE,"Suspiria 
            
              (XL Recordings)","THOM YORKE

              —
              Suspiria (Music for the Luca Guadagnino Film)
            
              (XL Recordings)",Music for the Luca Guadagnino Film,"Following the fleeting reveal of instrumental passages in two trailers and the release of the track 'Suspirium' - Thom Yorke’s Suspiria (Music for the Luca Guadagnino Film) is finally here.

""Suspiria consists of 25 original compositions written by Thom specifically for Luca Guadagnino reimagining of the 1977 Dario Argento horror classic. The album is a mix of... more",/products/suspiria-music-for-the-luca-guadagnino-film,https://assets.boomkat.com/spree/products/529220/product/191404093658_T43739016520054.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
6,qualm-eed0e642-e833-4bd6-9a8e-fdecba25ca56,7,Helena Hauff,Qualm,"Helena Hauff

              —
              Qualm
            
              (Ninja Tune)",Ninja Tune,"Filth-smith Helena Hauff fires up a raw-to-the-bone barrage of bleached drum machines and needle-fanged arps on ‘Qualm’ - the Hamburg assassin’s 2nd album for Ninja Tune.

Arriving at a point where Helena is a hugely sought-after DJ - a time when other artists have often played up to a more commercial style - she pulls no punches with a severely thistly... more",/products/qualm-eed0e642-e833-4bd6-9a8e-fdecba25ca56,https://assets.boomkat.com/spree/products/510276/product/5054429134025_T13_Image.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
7,meine-hand,8,CPI,Meine Hand,"CPI

              —
              Meine Hand
            
              (Hivern Discs)",Hivern Discs,,/products/meine-hand,https://assets.boomkat.com/spree/products/495554/product/192641077258.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
8,grid-of-points,9,Grouper,Grid Of Points,"Grouper

              —
              Grid Of Points
            
              (Kranky)",Kranky,"The first Grouper album in 4 years finds Liz Harris stripped of FX, pairing her vocals with skeletal piano gestures in beautifully pregnant space. For anyone familiar with the miasmic fuzz of Grouper’s previous releases, the relative clarity is quietly shocking in effect, revealing her songs and sound at their most vulnerable, and, in the process, locating a... more",/products/grid-of-points,https://assets.boomkat.com/spree/products/493757/product/796441821723.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
9,sterile-hand,10,Sterile Hand,Sterile Hand,"Sterile Hand

              —
              Sterile Hand
            
              (Ecstatic)",Ecstatic,"Hypnotic new EBM techno project from Juan Mendez aka Silent Servant and Ori Ofir, highly recommended if yr into Nitzer Ebb, DAF, Boy Harsher, Phase Fatale!

Juan Mendez a.k.a Silent Servant finds his ideal EBM vocal foil in Ori Ofir under their Sterile Hand moniker. The duo’s first vinyl round for Not Waving’s Ecstatic label is a dark and sleazy run of deviant... more",/products/sterile-hand,https://assets.boomkat.com/spree/products/495428/product/ELP035_distribution-preview.jpg,789,Pye Corner Audio,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/789
