,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,spa-700,1,700 Bliss (Haram and Moor Mother),Spa 700,"700 Bliss (Haram and Moor Mother)

              —
              Spa 700
            
              (Halcyon Veil / Don Giovanni)",Halcyon Veil / Don Giovanni,"Moor Mother and DJ Haram roll their first 700 Bliss release into play with the ticking bombs of Spa 700 for Rabit’s Halcyon Veil - following up the label’s mighty Les Fleurs Du Mal LP and MHYSA’s widely acclaimed fantasii album late last year.

Both graduates of the Philadelphia house party scene, Moor Mother and Haram operate on a clearly intuitive and woke... more",/products/spa-700,https://assets.boomkat.com/spree/products/483867/product/700BLISSdigital72.jpg,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
1,god-as-daddy-the-deranged,2,Der Kindestod,God As Daddy The Deranged,"Der Kindestod

              —
              God As Daddy The Deranged
            
              (Halcyon Veil)",Halcyon Veil,"San Antonio, TX’s Der Kindestod speaks in an arcane, extreme, futuristic language of noise and dance music on a hard-edged debut with Rabit’s Halcyon Veil

An integral associate of House of Kenzo, Der Kindestod delivers an acrid taste of queer US dance culture’s mutant fringes on ‘God As Daddy The Deranged’. Firstly whipping up a bitter tornado of ecstatically... more",/products/god-as-daddy-the-deranged,https://assets.boomkat.com/spree/products/544809/product/HALC024_Cover.jpg,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
2,soundcloud,3,Twinkletoes Mizrahi,SoundCloud,"Twinkletoes Mizrahi

            —
            SoundCloud",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
3,2019album,4,IVVVO,2019 album,"IVVVO

            —
            2019 album",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
4,2019album,5,Jesse Osborne-Lanthier,2019 album,"Jesse Osborne-Lanthier

            —
            2019 album",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
5,liteworkvol2,6,Yella Beezy,Lite Work Vol 2,"Yella Beezy

            —
            Lite Work Vol 2",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
6,adoration,7,CECILIA,Adoration,"CECILIA

              —
              Adoration
            
              (Halcyon Veil)",Halcyon Veil,"Standout début album of dream-like, avant garde pop and electronic variants that properly introduces Napoli-based Montreal artist Mélissa Gagné aka CECILIA after guesting on Rabit’s Les Fleurs Du Mal album last year and releasing an EP for Yves Tumor's Grooming label. Devastatingly restrained yet ravishing songs with haunting English, French and Italian... more",/products/adoration,https://assets.boomkat.com/spree/products/495434/product/HALC018_distribution-preview.jpg,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
7,2019ep,8,Mistress,2019 EP,"Mistress

            —
            2019 EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
8,queen,9,Nicki Minaj,Queen,"Nicki Minaj

            —
            Queen",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
9,ofuccimonthewrongplanet,10,Prison Religion,O FUCC IM ON THE WRONG PLANET,"Prison Religion

            —
            O FUCC IM ON THE WRONG PLANET",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,706,Rabit,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/706
