,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,skoowup,1,Skuti,Skoowup,"Skuti

            —
            Skoowup",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
1,dj-tools,2,rkss,DJ Tools,"rkss

              —
              DJ Tools
            
              (UIQ)",UIQ,"Robin Buckley a.k.a. rkss reasembles mainstream EDM sample packs on the killer, unconventional ‘DJ Tools’ - the long awaited first album on Lee Gamble’s UIQ label following 12"" releases from Lanark Artefax, Renick Bell, Sim Hutchins, Zuli and others. If you're into anything from Florian Hecker to Rian Treanor, Evol, Errorsmith, Theo Burt or Lorenzo Senni... more",/products/dj-tools,https://assets.boomkat.com/spree/products/519965/product/UIQ010_distribution-preview.jpg,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
2,crashdacoupe,3,L33oon,Crash Da Coupe,"L33oon

            —
            Crash Da Coupe",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
3,integrier-dich-du-yuppie,4,Mark,Integrier Dich Du Yuppie,"Mark

              —
              Integrier Dich Du Yuppie
            
              (A Colourful Storm)",A Colourful Storm,"The coiled techno steppers of Mark’s ‘Integrier Dich Du Yuppie’ forms the precursor to his recent killer 12” for Berghain’s Unterton label

First dispatched in early 2018, Mark’s 2nd volley for Melbourne’s A Colourful Storm label effectively hits square between the eyes of Raime and Demdike Stare with a mutant take on jungle, techno and concrète electronics... more",/products/integrier-dich-du-yuppie,https://assets.boomkat.com/spree/products/520702/product/4260544833878_2500.jpg,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
4,non-band,5,Non Band,Non Band,"Non Band

              —
              Non Band
            
              (TAL)",TAL,"Stefan Schneider (To Rococo Rot)’s TAL take a sharp right from releasing Kenyan folk music (Ogola Nengo And The Dodo Women’s Group) to remaster and reissue Non Band’s spunky Japanese no wave ace, Non Band on vinyl for the first time since its 1982 release.

Restored from the original version at Calyx, Berlin, the playful skronky charms of Non... more",/products/non-band,https://assets.boomkat.com/spree/products/414810/product/880918226958.jpg,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
5,bitisix,6,Bamba Pana,Biti Six,"Bamba Pana

            —
            Biti Six",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
6,dantehall,7,Dom O Briggs,Dante Hall,"Dom O Briggs

            —
            Dante Hall",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
7,oil-of-every-pearl-s-un-insides,8,Sophie,OIL OF EVERY PEARL'S UN-INSIDES,"Sophie

              —
              OIL OF EVERY PEARL'S UN-INSIDES
            
              (Transgressive)",Transgressive,"SOPHIE lights up 2018 with ‘Oil of Every Pearl’s Un-insides’, an exhilarating début album of upfront dance-pop, epic ballads and shocking electronic production that grasps the modern zeitgeist with jaws and both fists

Landing some 6 years since her ironically titled debut Nothing More To Say, over which time the artist has produced records for Madonna, Charli XCX... more",/products/oil-of-every-pearl-s-un-insides,https://assets.boomkat.com/spree/products/512175/product/5414940019285_T41720378220054.jpg,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
8,gasp-6756c21d-2e76-4c95-8192-f3c098a46509,9,Seth Graham,Gasp,"Seth Graham

              —
              Gasp
            
              (Orange Milk)",Orange Milk,,/products/gasp-6756c21d-2e76-4c95-8192-f3c098a46509,https://assets.boomkat.com/spree/products/483622/product/192641027086.jpg,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
9,racks,10,Spinz,Racks,"Spinz

            —
            Racks",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,755,Raime,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/755
