,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,empire-d15421f2-3de5-46d7-a154-f2e2c8b2ef6f,1,Monty Adkins,Empire,"Monty Adkins

              —
              Empire
            
              (Line)",Line,,/products/empire-d15421f2-3de5-46d7-a154-f2e2c8b2ef6f,https://assets.boomkat.com/spree/products/543809/product/0881626526767.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
1,dissidentova,2,AGF & Various,Dissidentova,"AGF & Various

              —
              Dissidentova
            
              (AGF PRODUCKTION)",AGF PRODUCKTION,"Dissidentova is a poetic, feminist hauntology of Russia from the mid-18th C. to the present day. It finds the widely esteemed sound artist placing her hard-edged, warped, and dynamic production palette (similar to that found on her excellent ’Solidicity’ album) at the service of framing and telling a fascinating, lesser-heard her-story 

“The DISSIDENTOVA... more",/products/dissidentova,https://assets.boomkat.com/spree/products/509132/product/880918230931.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
2,coyotes-a130d017-e7e4-4a32-8056-1bd372b30847,3,Felicia Atkinson,Coyotes,"Felicia Atkinson

              —
              Coyotes
            
              (Geographic North)",Geographic North,"Felicia Atkinson makes her first solo move since the widely acclaimed 'Hand In Hand' album with this intimate, quietly surreal tape for Geographic North, unfurling two side-long works clocking in at over half an hour, written in dedication to Bartolemé Sanson and inspired by Atkinson's last voyage to New Mexico when she visited and took in the geographic... more",/products/coyotes-a130d017-e7e4-4a32-8056-1bd372b30847,https://assets.boomkat.com/spree/products/493786/product/192641049125.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
3,chemistry-lessons-volume-1,4,Chris Carter,Chemistry Lessons Volume 1,"Chris Carter

              —
              Chemistry Lessons Volume 1
            
              (Mute)",Mute,"Architect of the present future, Chris Carter goes retro hauntological on CCCL Volume One, his first solo album in 17 years. 

Since his previous album, released in the last century, he’s been busy taking his influential duo with partner Cosey Fanni Tutti to a natural close, and likewise seeing thru their trio with Nik Colk Void, while at the same time diversifying his bonds... more",/products/chemistry-lessons-volume-1,https://assets.boomkat.com/spree/products/493595/product/5414940006384_T37873741990054.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
4,field-music,5,William Fowler Collins,Field Music,"William Fowler Collins

              —
              Field Music
            
              (SIGE RECORDS)",SIGE RECORDS,"Plangent , minimalist isolationist ambience from the high planes drifter, William Fowler Collins.

“A fluid dream logic runs deep in William Fowler Collins’ Field Music. The New Mexican composer of dark minimalism has long centered his practices upon the slow burn of the drone through guitar, electronics, etc. That remains the case for Field Music, with Collins... more",/products/field-music,https://assets.boomkat.com/spree/products/532497/product/880918232454.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
5,disambiguation-06866da7-2d97-48c1-aeb6-d64561855da4,6,Cruel Diagonals,Disambiguation,"Cruel Diagonals

              —
              Disambiguation
            
              (Drawing Room Records)",Drawing Room Records,,/products/disambiguation-06866da7-2d97-48c1-aeb6-d64561855da4,https://assets.boomkat.com/spree/products/516363/product/634457955646_T42542283370054.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
6,anticlines,7,Lucrecia Dalt,Anticlines,"Lucrecia Dalt

              —
              Anticlines
            
              (RVNG Intl.)",RVNG Intl.,"The surrealist ambient/avant-pop experiments of Anticlines form the most significant solo release to date by Lucretia Dalt. It follows her releases with Human Ear Music, Care Of Editions and Other People - all dispatched prior to 2015 - with her finest, poetic study on the relationships between time-based arts, a.k.a music, and the time scales of geology. 

Thanks to the... more",/products/anticlines,https://assets.boomkat.com/spree/products/484434/product/716670166020_T38148838490054.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
7,de-leon,8,De Leon,De Leon,"De Leon

              —
              De Leon
            
              (Mana Records)",Mana Records,"Enigmatic collective De Leon, known for a pair of cult tape releases on the Aught label, casts the 3rd release on Mana, following their sides by Pierre Mariétan and Benedict Drew with a display of rippling rhythmelodies and sloshing patterns, including some ripped from their Blowing Up The Workshop mix and all bound to resonate with fans of Shackleton... more",/products/de-leon,https://assets.boomkat.com/spree/products/491599/product/DeLeon.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
8,the-feed-back-loop,9,Demdike Stare,Demdike Stare x  Il Gruppo Di Improvvisazione Nuova Consonanza - The Feed-Back Loop,"Demdike Stare

              —
              Demdike Stare x  Il Gruppo Di Improvvisazione Nuova Consonanza - The Feed-Back Loop
            
              (DDS)",DDS,"The link between Demdike Stare and Italy’s legendary Il Gruppo Di Improvvisazione Nuova Consonanza should be obvious to anyone familiar with their output over the years, especially the ‘Tryptych' and ‘Elemental' sets. Having been asked to perform in front of (and by) its surviving members (including Ennio Morricone no less), Demdike mined the Il Grupo archive for... more",/products/the-feed-back-loop,https://assets.boomkat.com/spree/products/505325/product/DDS030_dist_preview.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
9,from-a-band-of-thoughts-that-ended-my-year,10,Emra Grid,From A Band Of Thoughts That Ended My Year,"Emra Grid

              —
              From A Band Of Thoughts That Ended My Year
            
              (OPAL TAPES)",OPAL TAPES,"Emra Grid's third outing for Opal is a true continuation of the melancholic, rose-tinted sound scapes heard previously on The Same Face and Shay's Vacation House.

""It's deeply personal and affecting music which barely gathers itself into form before it's fallen apart once again.”

 

            more",/products/from-a-band-of-thoughts-that-ended-my-year,https://assets.boomkat.com/spree/products/588555/product/634457911949_T8_Image.jpg,816,Richard Chartier,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/816
