,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,terminal-b7268299-2ff6-4404-b23c-6883ae746689,1,ZULI,Terminal,"ZULI

              —
              Terminal
            
              (UIQ)",UIQ,"Electronic prism-pusher Zuli explores themes of identity, both hyperlocal and global, in ‘Terminal’; his singular and definitive artistic statement for Lee Gamble’s UIQ. 

Expanding his sound to encompass melancholic ambient composition and grimy rap from prominent MC, Abyusif, as well as newcomers Abanoub, Mado $am and R-Rhyme, and mysterious... more",/products/terminal-b7268299-2ff6-4404-b23c-6883ae746689,https://assets.boomkat.com/spree/products/538739/product/Dist_Prev.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
1,paradise-94,2,Lucy Railton,Paradise 94,"Lucy Railton

              —
              Paradise 94 
            
              (Modern Love)",Modern Love,"Prolific cellist and composer Lucy Railton releases her long awaited solo debut for Modern Love; an intense and multi-layered opus that reminds us of everything from Alvin Lucier, Beatrice Dillon and Nate Young, to Valerio Tricoli and Popol Vuh.

A prolific performer who has appeared on countless recordings and collaborations with many important figures in... more",/products/paradise-94,https://assets.boomkat.com/spree/products/489438/product/LOVE108_repress_Dist_Preview.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
2,cast-of-mind,3,Kali Malone,Cast of Mind,"Kali Malone

              —
              Cast of Mind
            
              (Hallow Ground)",Hallow Ground,"Magisterial, glacial, attention-demanding and powerful exposition of Buchla 200 synth tones mapped to acoustic woodwind and brass by a promising young composer; Stockholm’s Kali Malone. A strong tip to fans of work by Caterina Barbieri, Emptyset, Sarah Davachi.

Arriving in the resonating wake of her self-released solo début Velocity of Sleep [2017], and... more",/products/cast-of-mind,https://assets.boomkat.com/spree/products/501389/product/5055869529587_T5_Image.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
3,fencesofmetal,4,ИНФХ,Fences of Metal,"ИНФХ

            —
            Fences of Metal",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
4,sleep-like-it-s-winter,5,JIM O'ROURKE,Sleep Like It's Winter,"JIM O'ROURKE

              —
              Sleep Like It's Winter
            
              (Newhere Music)",Newhere Music,"Jim O’Rourke returns with his first physical solo album since 2015’s Simple Songs, following a relatively steady supply of download-only releases via his Steamroom Bandcamp (over 20 of them since 2015) and collaborations with John Duncan, Keiji Haino, Oren Ambarchi, Peter Brötzmann, Merzbow, Fennesz and others in the interim. Anyone familiar with his... more",/products/sleep-like-it-s-winter,https://assets.boomkat.com/spree/products/519597/product/SleepLikeItsWinter.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
5,conversationforroomwithpianoandloudspeakerarray,6,"Julie Moon, Madalyn Merkey",Conversation for Room with Piano and Loudspeaker Array,"Julie Moon, Madalyn Merkey

            —
            Conversation for Room with Piano and Loudspeaker Array",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
6,enclave-ep,7,Nazar,Enclave EP,"Nazar

              —
              Enclave EP
            
              (Hyperdub)",Hyperdub,"Highly promising newcomer Nazar gets down to bassbin business on Hyperdub after introductions made on Kode 9 & Burial’s ‘Fabriclive 100’ mix.

From phthalocyanine grime to blown out techno and distorted drill, the ‘Enclave EP’ is one of the freshest/crankiest sessions you’ll hear from London in 2018. It’s unmistakably Hyperdub, repping fractious madness... more",/products/enclave-ep,https://assets.boomkat.com/spree/products/539625/product/5055869558785_T7_Image.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
7,tape-reworks-vol-1,8,"Langham Research Centre, Jim O'Rourke and group A","Tape Reworks, Vol. 1","Langham Research Centre, Jim O'Rourke and group A

              —
              Tape Reworks, Vol. 1
            
              (Nonclassical)",Nonclassical,"Jim O’Rourke goes to town on rework of Langham Research Centre’s radiophonic audities, alongside a spectral deconstruction by berlin-based Japanese band, Group A

“Langham Research Centre’s radiophonic experiments are twisted into new shapes on Tape Reworks Vol. 1, a split EP featuring remixes by renowned experimental musician Jim... more",/products/tape-reworks-vol-1,https://assets.boomkat.com/spree/products/541752/product/5055869533393_T3_Image.jpg,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
8,esoterichair,9,Bill Pettaway + Geneva Randolph,Esoteric Hair,"Bill Pettaway + Geneva Randolph

            —
            Esoteric Hair",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
9,liveandarchivedmaterial,10,P,Live and archived material,"P

            —
            Live and archived material",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,715,Robert Aiki Aubrey Lowe,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/715
