,rank,title,description,boomkat_url,img_url,curator,year,type
0,1,"schubert

            —
            string quartets",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
1,2,"ullmann

            —
            müntzers stern",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
2,3,"ullmann

            —
            unreleased solo v for piano",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
3,4,"patrick kosk

            —
            mondweiß",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
4,5,"händels

            —
            watermusic",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
5,6,"bach

            —
            4 suites for orchestra and baroque music in general",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
6,7,"cage

            —
            klang der wandlungen",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
7,8,"brahms

            —
            4. symphony 1st part",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
8,9,"glen gould

            —
            various recordings",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
9,10,"beethoven

            —
            string quartets",,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,Robert Zank _ Edition RZ,2018,eoy
