,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-smoke-5ef3b10a-e4e5-476b-8e76-8829d3cc078d,1,Lolina (Inga Copeland),The Smoke,"Lolina (Inga Copeland)

              —
              The Smoke
            
              (Unknown / UNKNOWN LABEL)",Unknown / UNKNOWN LABEL,"‘The Smoke’ is Alina Astrova’s third and best LP as Lolina since placing her Inga Copland and Hype Williams projects on ice...

It renders a poetically insightful study of life in London, where she ekes out a sense of shadow-strafing play from its fetid streets, revelling in the spaces between sticky pavements and 24 hour off license-lit environs with a signature mix of... more",/products/the-smoke-5ef3b10a-e4e5-476b-8e76-8829d3cc078d,https://assets.boomkat.com/spree/products/574422/product/4012957000428_1448.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
1,lunagitana,2,Remedios Amaya,Luna Gitana,"Remedios Amaya

            —
            Luna Gitana",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
2,longplay,3,Still House Plants,Long Play,"Still House Plants

            —
            Long Play",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
3,shelley-s-on-zenn-la,4,Oliver Coates,Shelley's On Zenn-La,"Oliver Coates

              —
              Shelley's On Zenn-La
            
              (RVNG Intl.)",RVNG Intl.,"Pivotal solo cellist and producer Oliver Coates (LCO, Apartment House) proceeds collaborations with Mica Levi and Radiohead with Shelley’s on Zenn-La, an indefatigably endearing 3rd solo album, new for RVNG Intl.

We can hardly think of many artists beyond Oliver’s own circle who can meld dance music with avant-electronic and classical instrumental... more",/products/shelley-s-on-zenn-la,https://assets.boomkat.com/spree/products/504114/product/747742382215_T40852754100054.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
4,toybox,5,Signor Benedick The Moor,Toybox,"Signor Benedick The Moor

            —
            Toybox",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
5,alivenwool,6,Historically Fucked,Aliven Wool,"Historically Fucked

            —
            Aliven Wool",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
6,what-the-night-is-for,7,Teresa Winter,What The Night is For,"Teresa Winter

              —
              What The Night is For
            
              (The Death Of Rave)",The Death Of Rave,"Breathtaking bad dream of a second album by Teresa Winter for The Death of Rave; a uniquely allegorical study in female sexuality and occult, transgressive fascinations that comes highly recommended if youre into Cosey Fanni Tutti, Coil, Jani Christou or Jean Rollin.

Unfolding around recollections of a bad dream about being murdered by her boyfriend and... more",/products/what-the-night-is-for,https://assets.boomkat.com/spree/products/535957/product/RAVE025_distribution-preview.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
7,beholder,8,Julia Reidy,Beholder,"Julia Reidy

              —
              Beholder
            
              (A Guide To Saints)",A Guide To Saints,,/products/beholder,https://assets.boomkat.com/spree/products/532456/product/192562808344.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
8,a-girl-cried-red,9,Princess Nokia,A Girl Cried Red,"Princess Nokia

              —
              A Girl Cried Red
            
              (Rough Trade)",Rough Trade,"Princess Nokia - aka New York rapper Destiny Frasqueri - has been releasing music via YouTube and Soundcloud since she was in High School and catapulted herself to the next level with last year’s critically acclaimed rap opus 1992 ‘Deluxe’ - selling out venues across the globe and steadily gaining tens of millions of streams.  

""Now, this shapeshifting emcee... more",/products/a-girl-cried-red,https://assets.boomkat.com/spree/products/494401/product/191402001365_T39585184550054.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
9,the-story-of-valerie,10,Carola Baer,The Story of Valerie,"Carola Baer

              —
              The Story of Valerie
            
              (Concentric Circles)",Concentric Circles,"By a stroke of pure luck, Carola Baer’s intoxicatingly dreamy avant-pop side ‘The Story of Valerie’ is made available for the first time via Concentric Circles, a new label minted by Jed Bindeman - the co-owner of Freedom To Spend with Pete Swanson

Apparently discovered in the goodwill bins of a Portland, OR thrift shop during the short window before said... more",/products/the-story-of-valerie,https://assets.boomkat.com/spree/products/545916/product/Carola_Baer_-_The_Story_of_Valerie.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
10,soulonfire,11,Dean Blunt,Soul on Fire,"Dean Blunt

            —
            Soul on Fire",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
11,yearofthesnitch,12,Death Grips,Year of the Snitch,"Death Grips

            —
            Year of the Snitch",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
12,apologia-16d1cd0c-ec91-4118-8df4-f8e6c10be7ad,13,Niagara,Apologia,"Niagara

              —
              Apologia
            
              (Príncipe)",Príncipe,"Unique psychedelic killers from Niagara, mounting a sterling debut album with Lisbon’s Príncipe five years after their first 12”, ‘Ouro Oeste’ [2013]. Trust that they have lost none of the weirdness that’s endeared them to freaks around the world ever since they emerged. If anything they’re stranger, more spaced-out and porous to wild influence...

Outlining Niagara’s... more",/products/apologia-16d1cd0c-ec91-4118-8df4-f8e6c10be7ad,https://assets.boomkat.com/spree/products/529153/product/NIAGARA_Cover.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
13,o-yama-o,14,O Yama O,O Yama O,"O Yama O

              —
              O Yama O
            
              (Mana Records)",Mana Records,"Lower case, DIY studies in avant-garde composition and Japanese folk by Cafe OTO co-founder Keiko Yamamoto and Rie Nakajima for Mana Records, the label run by Matthew Kent (Blowing Up The Workshop) and Andrea Zarza (British Library)

“O YAMA O explores a certain domestic and democratic quality of everyday life, born through associations to folk music... more",/products/o-yama-o,https://assets.boomkat.com/spree/products/541955/product/a2530996194_10.jpg,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
14,greggstshirt,15,Opal Tapes,Greggs T-Shirt,"Opal Tapes

            —
            Greggs T-Shirt",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
15,theroastchicken,16,Limmy,The Roast Chicken,"Limmy

            —
            The Roast Chicken",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
16,hqifeelsomezzanineylive,17,Carlos María Romero / Steven Warwick,HQ: (I feel so Mezzaniney) [Live],"Carlos María Romero / Steven Warwick

            —
            HQ: (I feel so Mezzaniney) [Live]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
17,winning19snookermajorspouringwateronheadsportlegend,18,Ronnie O'Sullivan,winning 19 snooker majors + pouring water on head [Sport/Legend],"Ronnie O'Sullivan

            —
            winning 19 snooker majors + pouring water on head [Sport/Legend]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,769,Slip,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/769
