,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,principemixonthewire1stseptember2018,1,DJ Novo Major & DJ Nelson,Principe mix – On the Wire 1st September 2018,"DJ Novo Major & DJ Nelson

            —
            Principe mix – On the Wire 1st September 2018",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
1,somewhere-decent-to-live,2,Space Afrika,"Somewhere Decent To Live 
            
              (sferic)","Space Afrika

              —
              Somewhere Decent To Live (2018 Special Edition)
            
              (sferic)",2018 Special Edition,"Special coloured vinyl edition of Space Afrika’s excellent album of mutable ambient frameworks somewhere between Lee Gamble’s ‘Diversions', Jan Jelinek and The Connection Machine. Recommended late night listening…

Space Afrika offer a bird’s eye view of the city at night with Somewhere Decent To Live; their keenly anticipated first LP on sferic... more",/products/somewhere-decent-to-live,https://assets.boomkat.com/spree/products/489499/product/Space_Dist_Prev.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
2,soundsalmighty,3,Nat Birchall meets Al Breadwinner feat. Vin Gordon,Sounds Almighty,"Nat Birchall meets Al Breadwinner feat. Vin Gordon

            —
            Sounds Almighty",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
3,light-metabolism-number-prague,4,Rimarimba,Light Metabolism Number Prague,"Rimarimba

              —
              Light Metabolism Number Prague
            
              (Freedom To Spend)",Freedom To Spend,"The reissue of Rimarimba’s little-known but golden catalogue of rhythmelodic beauties continues at a genteel pace on Pete Swanson & Jed Bindeman’s Freedom To Spend

Robert Cox's Rimarimba project was fairly short-lived (1984-1988) but was nontheless a remarkably singular project which has somehow escaped the attention of all but the most dilated... more",/products/light-metabolism-number-prague,https://assets.boomkat.com/spree/products/520623/product/603786278993_T43227444200054.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
4,nation-time,5,JOE MCPHEE,Nation Time,"JOE MCPHEE

              —
              Nation Time
            
              (Superior Viaduct)",Superior Viaduct,"It's been nearly five decades since Joe McPhee assembled a group of musicians to perform the weekend concerts that would become Nation Time, his debut LP.

""It was December 1970, thirty-one-year-old McPhee was inspired by Amiri Baraka's poem 'It's Nation Time,' and the students at Vassar College didn't know what hit them. 'What time is it?' shouted the... more",/products/nation-time,https://assets.boomkat.com/spree/products/78451/product/SV164_web_1024x1024.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
5,in-another-life-7696132b-7cd6-4aa8-8300-86fdc5aa843c,6,SANDRO PERRI,In Another Life,"SANDRO PERRI

              —
              In Another Life
            
              (Constellation)",Constellation,"Canada’s modern day answer to Arthur Russell and Paul Simon; Sandro Perri unfurls a wonderful new album of syncretic disco, country, and ambient-pop in his ever-charming style following recent avant escapades with his Off World group

The teasing edit of lead single ‘In Another Life’ is rolled out to a full and immersive 25 minutes of giddily uplifting... more",/products/in-another-life-7696132b-7cd6-4aa8-8300-86fdc5aa843c,https://assets.boomkat.com/spree/products/519416/product/666561013660_T42514114150054.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
6,dub-hell-devil-s-dance,7,Ossia,Dub Hell / Devil's Dance,"Ossia

              —
              Dub Hell / Devil's Dance
            
              (Blackest Ever Black)",Blackest Ever Black,"Young Echo’s Ossia ruffs up and danks out the dance for Blackest Ever Black inna gothic Bristolian style

Crossing paths with BEB for the 2nd time following his crushing Red X session, Ossia grimly socks it to London’s finest with the recoiling stepper, Dub Hell; a sludgy hot slug of distorted, buzzing subs harnessed to trampling kick and dragged backward thru an... more",/products/dub-hell-devil-s-dance,https://assets.boomkat.com/spree/products/512673/product/Ossia-flat.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
7,ryu-no-nukegara,8,7FO,Ryu No Nukegara,"7FO

              —
              Ryu No Nukegara
            
              (EM Records)",EM Records,"Neatly whisked, warm electro-dub froth from 7FO, waddling and bobbing in space between Jackson “Tapes” Bailey, Sugai Ken, Lolina or Steven Warwick instrumentals, or the lysergic wibble of Black Zone Myth Chant.

""7FO: pronounced “nana f o” in English, “nana” being seven. Ryu no Nukegara: “dragon’ s husk” . These are the only difficulties you’ ll encounter... more",/products/ryu-no-nukegara,https://assets.boomkat.com/spree/products/534218/product/a1165059338_10.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
8,dubbeverlastingdubexpression,9,Errol Brown,Dubb Everlasting/Dub Expression,"Errol Brown

            —
            Dubb Everlasting/Dub Expression",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
9,listening-to-pictures-pentimento-volume-one,10,JON HASSELL,"Listening To Pictures 
            
              (Ndeya)","JON HASSELL

              —
              Listening To Pictures (Pentimento Volume One)
            
              (Ndeya)",Pentimento Volume One,"Jon Hassell, dreamer of possible musics and creator of the Fourth World, alchemises ‘Listening To Pictures’; his first album in nine years, and a gorgeous reminder of his prescient, visionary brilliance which has influenced everyone from 0PN to Jamal Moss

Clad in absorbing artwork by the legendary Mati Klarwein (the artist behind classic sleeves for Miles... more",/products/listening-to-pictures-pentimento-volume-one,https://assets.boomkat.com/spree/products/509904/product/5060384612607.jpg,776,Steve Barker,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/776
