,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,blacksecrettechnology,1,A Guy Called Gerald,Black Secret Technology,"A Guy Called Gerald

            —
            Black Secret Technology",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
1,2017,2,Anna Peaker,2017,"Anna Peaker

            —
            2017",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
2,tuckedbehindyourearslikewings,3,Angelo Harmsworth & Theodore Cale Schafer,Tucked Behind Your Ears Like Wings,"Angelo Harmsworth & Theodore Cale Schafer

            —
            Tucked Behind Your Ears Like Wings",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
3,selected-early-keyboard-works,4,CATHERINE CHRISTER HENNIX,Selected Early Keyboard Works,"CATHERINE CHRISTER HENNIX

              —
              Selected Early Keyboard Works
            
              (Blank Forms Editions, Empty Editions)","Blank Forms Editions, Empty Editions","The gobsmacking ‘Selected Early Keyboard Works’ forms the first full length vinyl release by Catherine Christer Hennix, a peerless Swedish polymath whose uniquely diverse yet holistic contributions to early American minimalism and experimental music are cultishly appreciated by those in the know, yet remain sorely overlooked in the broader history of 20th... more",/products/selected-early-keyboard-works,https://assets.boomkat.com/spree/products/522059/product/0880918231044.jpg,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
4,cc-ff3f0777-d3dd-4d09-b47a-8074aff1fca9,5,Klein,"CC 
            
              (Howling Owl Records)","Klein

              —
              CC (Special Edition)
            
              (Howling Owl Records)",Special Edition,"You’d be forgiven for missing this hyper-limited release earlier this year (only 100 copies were made) - but thankfully we now have an exclusive clear vinyl edition, pressed up in a run of 250 copies as part of our ongoing celebration of the best of 2018.

Without a doubt one of the most daring artists out there right now, Klein makes music acutely symptomatic of its era... more",/products/cc-ff3f0777-d3dd-4d09-b47a-8074aff1fca9,https://assets.boomkat.com/spree/products/552146/product/kleincccccc.jpg,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
5,sacredlandscapes,6,Kristina Wolfe,Sacred Landscapes,"Kristina Wolfe

            —
            Sacred Landscapes",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
6,atelier-de-liberation-de-la-musique,7,LUC FERRARI,Atelier de Libération de la Musique,"LUC FERRARI

              —
              Atelier de Libération de la Musique
            
              (Alga Marghen)",Alga Marghen,"World premiere edition of Luc Ferrari’s incredible ‘Atelier de Libération de la Musique’ - a series of prescient, shockingly free-jazz styled improvisations recorded in February and March 1975 during rehearsals for the Concerts Électrovisuels at Pont F and Musée Galiera in Paris

Adding a whole new stripe of colour to everyone’s perception of music by Luc... more",/products/atelier-de-liberation-de-la-musique,https://assets.boomkat.com/spree/products/499463/product/Screen_Shot_2018-04-20_at_17.44.09.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
7,make-me-know-you-sweet,8,Pendant,"Make Me Know You Sweet 
            
              (West Mineral)","Pendant

              —
              Make Me Know You Sweet (2018 Special Edition)
            
              (West Mineral)",2018 Special Edition,"Special white vinyl pressing of Pendant’s gaseous, shoegazing 'Make Me Know You Sweet’, without a doubt one of the most immersive electronic albums released this year. Pendant is, of course, the alias of Brian Leeds aka Huerco S - here delving into the kind of blurred harmonic bliss that avoids ambient cliché and instead acts as an absorbing vessel for deep... more",/products/make-me-know-you-sweet,https://assets.boomkat.com/spree/products/473000/product/Pendant_Dist_Preview.jpg,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
8,soundsofsacredplaces,9,Moniek Darge,Sounds of Sacred Places,"Moniek Darge

            —
            Sounds of Sacred Places",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
9,ravedit,10,Rian Treanor,RAVEDIT,"Rian Treanor

              —
              RAVEDIT
            
              (The Death Of Rave)",The Death Of Rave,"Rian Treanor returns with a whitelabel 12” featuring hyper spins on ’80s synth-pop, Lollywood soundtracks and ’90s Eurodance, rendered in his inimitable, disruptive style...

Across four radical edits, familiar and obscure ohrwurms are dissected and flipped in thrilling new ways, rendering razor sharp and playfully nutty updates of Eurodance... more",/products/ravedit,https://assets.boomkat.com/spree/products/515702/product/RAVE017_dist-preview.jpg,685,Teresa Winter,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/685
