,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,1,Demdike Stare,Passion,"Demdike Stare

              —
              Passion
            
              (Modern Love)",Modern Love,"Demdike land a new 9-track doublepack for Modern Love; a delirious odyssey from UKG to angular and freakish rhythmic jackers, highly recommended if yr into their Testpressing series or anything from Errorsmith to Príncipe, Dem 2, Jon E Cash, Wiley to Joy Division, DJ Scud, Equiknoxx, Anthony ‘Shake’ Shakir or Bernard Parmegiani...

Since the release of their... more",/products/passion-5394cd9a-bed5-45f2-9529-fd740c4831c5,https://assets.boomkat.com/spree/products/542759/product/LOVE111_Distribution_Preiview.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
1,everythingisquitenow,2,Prequel Tapes,Everything Is Quite Now,"Prequel Tapes

            —
            Everything Is Quite Now",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
2,plus-fd500a58-a4df-4f53-8d80-bd87ac7edbe9,3,SYSTEM,Plus,"SYSTEM

              —
              Plus
            
              (Morr Music)",Morr Music,"Tender ambient-pop and neo-classical fluffiness from Thomas Knak (System, Opiate) and Nils Frahm for the spiritual home of such stuff; Berlin’s Morr Music

“""Plus"" is a collaborative effort with piano magician Nils Frahm. His purpose-built improvisations on synth, organ and piano served as source material for the members of System (Thomas Knak... more",/products/plus-fd500a58-a4df-4f53-8d80-bd87ac7edbe9,https://assets.boomkat.com/spree/products/551886/product/880918816333.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
3,any-day-515d3aad-ba4c-4b86-aeb3-e6308a4d1623,4,THE SEA AND CAKE,Any Day,"THE SEA AND CAKE

              —
              Any Day
            
              (Thrill Jockey)",Thrill Jockey,"The Sea and Cake return to their roots, crafting refreshingly intimate pop songs, elegantly arranged on their first new album in six years. 

""The Sea and Cake deliver a refreshingly intimate collection of elegantly arranged, singular pop songs. For over two decades and 11 albums, The Sea and Cake have honed a sound all their own, comprised of delicate... more",/products/any-day-515d3aad-ba4c-4b86-aeb3-e6308a4d1623,https://assets.boomkat.com/spree/products/484867/product/459_1600.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
4,casualhightechnology,5,Wajatta,Casual High Technology,"Wajatta

            —
            Casual High Technology",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
5,live-rytm-trax,6,JOHN TEJADA,Live Rytm Trax,"JOHN TEJADA

              —
              Live Rytm Trax
            
              (Palette)",Palette,,/products/live-rytm-trax,https://assets.boomkat.com/spree/products/544268/product/0612651506925.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
6,omega-3f3994e6-168d-4a84-94e8-de3ffac625e8,7,Freund der Familie,Omega,"Freund der Familie

              —
              Omega
            
              (FREUND DER FAMILIE)",FREUND DER FAMILIE,,/products/omega-3f3994e6-168d-4a84-94e8-de3ffac625e8,https://assets.boomkat.com/spree/products/525813/product/4260544839405_2500.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
7,voids-42667691-e389-46d1-9ee3-dfbb7eda6ded,8,Martyn,Voids,"Martyn

              —
              Voids
            
              (Ostgut Ton)",Ostgut Ton,"Martyn comes ruff, rugged, and emotional on ‘Voids’, his first album in four years, underlined with a signature knack for tactile bass and restlessly syncopated percussion

Voids is the first fruit of Matyn’s labour following a heart attack and recovery period which pushed the artist to rethink his music. During that time, the first album he properly paid... more",/products/voids-42667691-e389-46d1-9ee3-dfbb7eda6ded,https://assets.boomkat.com/spree/products/507174/product/0880319938511.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
8,toutelatitude,9,Dominique A,Toute Latitude,"Dominique A

            —
            Toute Latitude",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
9,fordlandia,10,Jóhann Jóhannsson,Fordlândia,"Jóhann Jóhannsson

              —
              Fordlândia
            
              (4AD)",4AD,"Delivering a second long-form release for 4AD, Icelandic composer Johann Johannsson continues with a second part of his proposed trilogy of albums themed around iconic American brands. After IBM 1401 - A User's Manual, Johannsson turns his attentions to Fordlandia, named after the expanse of land purchased by Henry Ford in the Brazillian rainforest - a... more",/products/fordlandia,https://assets.boomkat.com/spree/products/66684/product/original.jpg,804,Thaddi Herrmann,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/804
