,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,focus,1,Charli XCX,Focus,"Charli XCX

            —
            Focus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
1,let-night-come-on-bells-end-the-day,2,Sarah Davachi,Let Night Come On Bells End The Day,"Sarah Davachi

              —
              Let Night Come On Bells End The Day
            
              (Recital / Recital Program)",Recital / Recital Program,"Sarah Davachi’s quietly stunning first side for Sean McCann’s Recital Program. It arrives in the tremulous wake of the widely acclaimed 'All My Circles Run' album to offer a sublime reaffirmation of Davachi's genius for anyone who’s followed her work over the last few years, and also acts as an unmissable entry point for curious newcomers, especially anyone smitten... more",/products/let-night-come-on-bells-end-the-day,https://assets.boomkat.com/spree/products/583963/product/880918230016.jpg,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
2,nasukulbembe,3,Nidia,Na Sukulbembe,"Nidia

            —
            Na Sukulbembe",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
3,devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,4,TIRZAH,Devotion,"TIRZAH

              —
              Devotion
            
              (Domino Recording Co)",Domino Recording Co,"Tirzah pursues the slowest-burning soul feels on Devotion, the London-based singer-songwriter’s humbly singular début album, produced by Mica Levi and providing us with total life affirming summer listening - most probably the record we've listened to most this year so far, and one that lingers on and on...

Since her first solo 12”s  and thru frequent... more",/products/devotion-1957eb93-13b1-4dcc-9e53-a6b5c930e4d0,https://assets.boomkat.com/spree/products/504883/product/887828039463_T12_Image.jpg,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
4,bodymods,5,LSDXOXO,Body Mods,"LSDXOXO

            —
            Body Mods",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
5,goldenhour,6,Kacey Musgraves,Golden Hour,"Kacey Musgraves

            —
            Golden Hour",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
6,bone-sucka,7,PANGAEA,Bone Sucka,"PANGAEA

              —
              Bone Sucka
            
              (HESSLE AUDIO)",HESSLE AUDIO,"Pangaea goes in with ’92-style ‘ardcore pressure on Bone Sucka, plus a stripe of pumping Belgian techno-meets-UK bleep in Proxy, unleashing two of the strongest cuts on Hessle Audio in years.

The ruffkut and deviant breakbeats of Bone Sucka instantly recalls the rolige of one of our favourite Panagea cuts - Inna Mind [2011] - but the filigree mixing... more",/products/bone-sucka,https://assets.boomkat.com/spree/products/479226/product/Pangaea-2.jpg,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
7,prayerhands,8,Midwife,Prayer Hands,"Midwife

            —
            Prayer Hands",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
8,few-traces,9,Mark Renner,Few Traces,"Mark Renner

              —
              Few Traces
            
              (RVNG Intl.)",RVNG Intl.,"Certain to claim its place in pop-loving hearts everywhere, ‘Few Traces’ is a glorious introduction to the admirable optimism and romance of Mark Renner’s American songcraft. Few Traces surveys a near decade of Mark Renner’s scarcely released and unreleased material from 1982 to 1990, embracing and evoking the timelessness of his artistic statement: a... more",/products/few-traces,https://assets.boomkat.com/spree/products/473208/product/716670165900_T37322301200054.jpg,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
9,enclave-ep,10,Nazar,Enclave EP,"Nazar

              —
              Enclave EP
            
              (Hyperdub)",Hyperdub,"Highly promising newcomer Nazar gets down to bassbin business on Hyperdub after introductions made on Kode 9 & Burial’s ‘Fabriclive 100’ mix.

From phthalocyanine grime to blown out techno and distorted drill, the ‘Enclave EP’ is one of the freshest/crankiest sessions you’ll hear from London in 2018. It’s unmistakably Hyperdub, repping fractious madness... more",/products/enclave-ep,https://assets.boomkat.com/spree/products/539625/product/5055869558785_T7_Image.jpg,734,Thea Ballard,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/734
