,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dolce-bun-so-nude,1,I-iii,Dolce / Bun so Nude,"I-iii

              —
              Dolce / Bun so Nude
            
              (Livity Sound Recordings)",Livity Sound Recordings,"A new name on Livity Sound 

I-III plays deep into the label’s signature, rolling style with the rippling, Afrocentric drums, Detroit chords and subtle electrical disturbances of Dolce designed to enhance your hustle, then Bun So Nude heads down a slippery wormhole of almost Indian-sounding drum cadence synched to proper, bulbous subs and not much else, but... more",/products/dolce-bun-so-nude,https://assets.boomkat.com/spree/products/450248/product/5051142082695.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
1,songs-for-midi,2,Kwes.,Songs For Midi,"Kwes.

              —
              Songs For Midi
            
              (Warp Records)",Warp Records,"Nearly 10 years since meeting Mica Levi as Kwesachu, and 5 since his début LP ilp, Kwes. charmingly reminds us of his modern electronic soul on Songs For Midi - a 6 track EP written in dedication to his young niece, Midori and cousin, Connor, who both helped out on the artwork.

Clearly a personal endeavour, and very much inspired by an image of youthful... more",/products/songs-for-midi,https://assets.boomkat.com/spree/products/484445/product/0801061940737.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
2,2ndofkidsseeghosts,3,Kids See Ghosts,(2nd ½ of) kids see ghosts,"Kids See Ghosts

            —
            (2nd ½ of) kids see ghosts",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
3,oil-of-every-pearl-s-un-insides,4,Sophie,OIL OF EVERY PEARL'S UN-INSIDES,"Sophie

              —
              OIL OF EVERY PEARL'S UN-INSIDES
            
              (Transgressive)",Transgressive,"SOPHIE lights up 2018 with ‘Oil of Every Pearl’s Un-insides’, an exhilarating début album of upfront dance-pop, epic ballads and shocking electronic production that grasps the modern zeitgeist with jaws and both fists

Landing some 6 years since her ironically titled debut Nothing More To Say, over which time the artist has produced records for Madonna, Charli XCX... more",/products/oil-of-every-pearl-s-un-insides,https://assets.boomkat.com/spree/products/512175/product/5414940019285_T41720378220054.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
4,devotionfeatcobysey,5,Tirzah,Devotion (feat. Coby Sey),"Tirzah

            —
            Devotion (feat. Coby Sey)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
5,compro,6,Skee Mask,Compro,"Skee Mask

              —
              Compro
            
              (Ilian Tape)",Ilian Tape,"Boy wonder Bryan Müller a.k.a. Skee Mask comes of age with Compro, a dreamily sensual 2nd album tessellating ambient techno, jungle, IDM/electronica and breakbeat science for his Munich-based crew at Ilian Tape.

Cadging cues from classic Aphex Twin as much as Basic Channel, the 12 tracks on Compro cycle thru a plethora of styles with the innocent... more",/products/compro,https://assets.boomkat.com/spree/products/506817/product/4044693796792.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
6,bienpostinternet,7,C.R.K.,bien post internet,"C.R.K.

            —
            bien post internet",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
7,wakeup,8,Travis Scott,wake up,"Travis Scott

            —
            wake up",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
8,81b,9,JOY O,81b,"JOY O

              —
              81b
            
              (Hinge Finger)",Hinge Finger,"Joy O approaches 10 years in the game with a diversified EP smartly marking the distance travelled from his acclaimed debut ‘Hyph Mngo’ back in 2009.

Spanning shadowy UK electro-bass, weightless trance, and deep blue house styles, the ‘81b EP’ follows Joy O’s collaboration with sax player Ben Vince for Hessle Audio to render a definitively mature self-portrait of... more",/products/81b,https://assets.boomkat.com/spree/products/543386/product/R-12650157-1539348096-6963.jpeg.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
9,tragicx,10,1010 Benja SL,tragic x,"1010 Benja SL

            —
            tragic x",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
10,cocoon-crush,11,Objekt,Cocoon Crush,"Objekt

              —
              Cocoon Crush
            
              (PAN)",PAN,"Objekt returns with Cocoon Crush, his first LP since 2014’s Flatland. Over the past four years he has continued to challenge conventions with his club output, while maintaining his reputation as a DJ who deploys impeccable technical finesse in crafting elaborate narratives from a diverse and challenging palette of electronic music.

""Written between 2014 and... more",/products/cocoon-crush,https://assets.boomkat.com/spree/products/533246/product/Cover.jpg,758,Tic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/758
