,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,sinuate,1,FUMU,Sinuate,"FUMU

              —
              Sinuate
            
              (Youth)",Youth,"Killer debut release from FUMU, coughing up 18 sawn-off tracks of fucked hip hop, warehouse and techno on Andrew Lyster’s Youth label. Definitely mark this gadge in your one-to-watch list. 

Hailing from downwind of heavy North East industry, but currently sequestered in Manchester, FUMU is a member of the Return to Zero crew and a known... more",/products/sinuate,https://assets.boomkat.com/spree/products/520893/product/8718723108379.jpg,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
1,animisme,2,Marsesura / Uwalmassa / Wahono,Animisme,"Marsesura / Uwalmassa / Wahono

              —
              Animisme
            
              (Disk)",Disk,"On a proper percussive flex, Indonesia’s Marsesura, Uwalmassa and Wahono articulate indigenous rhythms with a crisp technoid tanggg for Don’t DJ’s Disk label...

Jakarta comes via Berlin in four refreshing ways, taking in the interlocking gamelan and gruff-to-sweet flute lines of Marsesura’s Asmoro, which weirdly also recalls some Timbaland or... more",/products/animisme,https://assets.boomkat.com/spree/products/515843/product/DISK15-front.jpg,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
2,mostwantedtugs,3,Harlem Spartans,Most Wanted Tugs,"Harlem Spartans

            —
            Most Wanted Tugs",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
3,rejoy,4,IKE YARD,Rejoy,"IKE YARD

              —
              Rejoy
            
              (Noiztank)",Noiztank,"Just shy of their 40th anniversary, NYC post-punks Ike Yard emerge into another dark age with ‘Rejoy’, their 3rd album of shadowy vox, eerie inner city atmospheres and serpentine rhythms following classic material despatched on Factory, Les Disques Du Crépuscule and Blackest Ever Black since 1979.

Despite the cumulative years amassed by Stuart... more",/products/rejoy,https://assets.boomkat.com/spree/products/541844/product/a1344187180_10.jpg,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
4,onemoretimealongwithallbillionairebootcampproductions,5,Marcy Chin,One More Time (along with all Billionaire Bootcamp productions),"Marcy Chin

            —
            One More Time (along with all Billionaire Bootcamp productions)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
5,everythingonthechowdownlabel,6,,Everything on the Chow Down label,Everything on the Chow Down label,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
6,everythingforthcomingbyiceboyviolet,7,,Everything forthcoming by Iceboy Violet,Everything forthcoming by Iceboy Violet,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
7,everythingforthcomingbyhenzo,8,,Everything forthcoming by Henzo,Everything forthcoming by Henzo,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
8,musclebarbie,9,Muscle Barbie,Muscle Barbie,"Muscle Barbie

            —
            Muscle Barbie",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
9,tomb-machines,10,John Powell-Jones,Tomb Machines,"John Powell-Jones

              —
              Tomb Machines
            
              (UNKNOWN LABEL)",UNKNOWN LABEL,"’Tomb Machines’ is a survey of work by John Powell-Jones, a Manchester-based artist whose gruesome and psychedelic illustrations have stained the sleeves of tapes and records by Moon Duo and for the Reel Torque, Diagonal and Opal Tapes labels, as well as great posters for the Faktion club events

Documenting and expanding upon ’Tomb Machines’, a body... more",/products/tomb-machines,https://assets.boomkat.com/spree/products/535861/product/TombMachines.jpg,824,Tom Boogizm,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/824
