,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,a-thousand-lights-in-a-darkened-room,1,Coil,Coil Presents Black Light District: A Thousand Lights in a Darkened Room,"Coil

              —
              Coil Presents Black Light District: A Thousand Lights in a Darkened Room
            
              (Dais Records)",Dais Records,"One of Coil’s most prized and distinctive albums, ‘Black Light District’ arises again on 2LP reissue with Dais Records, with all remastering and reproduction under the auspices of the group’s Drew McDowell. A phantasmagoric soundscape for those who shine darkly…

“During the transitional period in which Coil’s primary leadership, Peter “Sleazy” Christopherson... more",/products/a-thousand-lights-in-a-darkened-room,https://assets.boomkat.com/spree/products/501649/product/R-183462-1270943980.jpeg.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
1,double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,2,LOW,Double Negative,"LOW

              —
              Double Negative
            
              (Sub Pop Records)",Sub Pop Records,"Rarely has an album owed so much to production... Low return with their most daring, experimental release in years, co-produced by James Blake's man at the controls B.J. Burton, at times verging on a layered, pulsing electronic sound you'd associate with the likes of Andy Stott. Doused in distortion, throbbing electronics, submerged vocals, side-chain... more",/products/double-negative-d201ed2f-449c-436f-b94a-4c9a3005827d,https://assets.boomkat.com/spree/products/532037/product/0098787125061_T41803360250054.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
2,shadows-of-death-and-desire,3,SILENT SERVANT,Shadows Of Death And Desire,"SILENT SERVANT

              —
              Shadows Of Death And Desire
            
              (Hospital Productions)",Hospital Productions,"Techno’s arch, dark alchemist Juan Mendez rolls out a powerful 2nd Silent Servant album with ‘Shadows of Death and Desire’ , arriving some six years after his ‘Negative Fascination’ side triggered a sea-change toward EBM and gothic sonics in a way that’s never been felt more strongly. The album also features the unlikely reappearance of longtime... more",/products/shadows-of-death-and-desire,https://assets.boomkat.com/spree/products/551560/product/655035171906.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
3,le-syndicat-electronique,4,LE SYNDICAT ELECTRONIQUE,Le Syndicat Electronique,"LE SYNDICAT ELECTRONIQUE

              —
              Le Syndicat Electronique
            
              (Mannequin)",Mannequin,"2LP retrospective compilation of the french electro/wave pioneer Le Syndicat Électronique, the historical electro/wave project by Alaxis Andreas G., founder of the seminal Invasion Planète Recordings - the first French minimal electro/wave/experimental label founded in late 1998 by the insurance proceeds of a car crash. 

""Heavily influenced by... more",/products/le-syndicat-electronique,https://assets.boomkat.com/spree/products/543392/product/mnq_125.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
4,sympathynervous,5,Sympathy Nervous,Sympathy Nervous,"Sympathy Nervous

            —
            Sympathy Nervous",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
5,seeing-from-above-de7a4201-ef9f-452e-ac23-2b2d5e7bed5e,6,CUB,Seeing From Above,"CUB

              —
              Seeing From Above
            
              (Downwards)",Downwards,"The long-awaited return of Regis’ killer, slower CUB alias, featuring guest input by Simon Shreeve aka Mønic / Kryptic Minds. Tough, elastic hybrids of industrial techno and D&B rolige...

Where O’Connor’s original pair of CUB 12”s worked at an unusual 113bpm flow, and included killer remixes with Ancient Methods under their Ugandan Speed Trials (UST) alias, the... more",/products/seeing-from-above-de7a4201-ef9f-452e-ac23-2b2d5e7bed5e,https://assets.boomkat.com/spree/products/523224/product/8718723108898.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
6,wet-will-always-dry,7,Blawan,Wet Will Always Dry,"Blawan

              —
              Wet Will Always Dry
            
              (Ternesc)",Ternesc,"‘Wet Will Always Dry ‘is the blistering début album by Blawan. Arriving 8 years after his first move, ‘Fram’ for Hessle Audio - during which time he’s forged the Karenn duo with Pariah, set up his Ternesc label, and played to the biggest crowds of gurners in the world - Blawan’s first LP is a gnashing statement of intent that finds him sticking ever closer to what’s... more",/products/wet-will-always-dry,https://assets.boomkat.com/spree/products/507585/product/8718723105187.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
7,raw-silk-uncut-wood,8,Laurel Halo,Raw Silk Uncut Wood,"Laurel Halo

              —
              Raw Silk Uncut Wood
            
              (LATENCY)",LATENCY,"Laurel Halo lands on Latency with a cinematic suite featuring Oliver Coates on cello and drums by Eli Keszler.

Making her first move since 2017’s remarkable ‘Dust’ album, Laurel takes inspiration from her score work for Metahaven and Ursula Le Guin’s translation of the ‘Tao Te Ching’  in pursuit of a quieter, more tactile and elusive sound, moving deeper into a... more",/products/raw-silk-uncut-wood,https://assets.boomkat.com/spree/products/524636/product/192562685860.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
8,chemistry-lessons-volume-1,9,Chris Carter,Chemistry Lessons Volume 1,"Chris Carter

              —
              Chemistry Lessons Volume 1
            
              (Mute)",Mute,"Architect of the present future, Chris Carter goes retro hauntological on CCCL Volume One, his first solo album in 17 years. 

Since his previous album, released in the last century, he’s been busy taking his influential duo with partner Cosey Fanni Tutti to a natural close, and likewise seeing thru their trio with Nik Colk Void, while at the same time diversifying his bonds... more",/products/chemistry-lessons-volume-1,https://assets.boomkat.com/spree/products/493595/product/5414940006384_T37873741990054.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
9,beside-herself,10,Michele Mercure,Beside Herself,"Michele Mercure

              —
              Beside Herself
            
              (RVNG Intl. / Freedom To Spend)",RVNG Intl. / Freedom To Spend,"RVNG Intl mint their promising reissue label, ReRVNG with the superb first anthology of Michele Mercure’s home-brewed synth-pop and electronic experiments circa late ‘80s/early ‘90s.

It’s actually a co-release with Freedom To Spend, the Pete Swanson and Jed Bindeman-helmed reissue label that Michele kicked off with her acclaimed ’86 debut ‘Eye Chant’ in... more",/products/beside-herself,https://assets.boomkat.com/spree/products/523618/product/747742382185_T43734671680054.jpg,815,Veronica Vasicka,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/815
