,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,what-the-night-is-for,1,Teresa Winter,What The Night is For,"Teresa Winter

              —
              What The Night is For
            
              (The Death Of Rave)",The Death Of Rave,"Breathtaking bad dream of a second album by Teresa Winter for The Death of Rave; a uniquely allegorical study in female sexuality and occult, transgressive fascinations that comes highly recommended if youre into Cosey Fanni Tutti, Coil, Jani Christou or Jean Rollin.

Unfolding around recollections of a bad dream about being murdered by her boyfriend and... more",/products/what-the-night-is-for,https://assets.boomkat.com/spree/products/535957/product/RAVE025_distribution-preview.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
1,make-dogs-sing,2,Geins't Naït & L. Petitgand,Make Dogs Sing,"Geins't Naït & L. Petitgand

              —
              Make Dogs Sing
            
              (Offen Music)",Offen Music,"Vladimir Ivkovic’s Offen Music have the privilege of presenting Geins’t Naït & Laurent Petitgand’s possessed Gallic atmospheres to the uninitiated with ‘Make Dogs Sing'; a collection of 13 new, previously unreleased songs that plunge us into GN’s etheric otherworld ahead of a reissued classics, upcoming on Low Jack’s Editions Gravats

Through the looking... more",/products/make-dogs-sing,https://assets.boomkat.com/spree/products/506942/product/offenmusic009.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
2,dub-hell-devil-s-dance,3,Ossia,Dub Hell / Devil's Dance,"Ossia

              —
              Dub Hell / Devil's Dance
            
              (Blackest Ever Black)",Blackest Ever Black,"Young Echo’s Ossia ruffs up and danks out the dance for Blackest Ever Black inna gothic Bristolian style

Crossing paths with BEB for the 2nd time following his crushing Red X session, Ossia grimly socks it to London’s finest with the recoiling stepper, Dub Hell; a sludgy hot slug of distorted, buzzing subs harnessed to trampling kick and dragged backward thru an... more",/products/dub-hell-devil-s-dance,https://assets.boomkat.com/spree/products/512673/product/Ossia-flat.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
3,wayang-ea82198e-c9eb-44f3-8b71-1d27153e2e09,4,Suba,Wayang,"Suba

              —
              Wayang
            
              (Offen Music)",Offen Music,"Vladimir Ivkovic’s excellent Offen Music present a superb, long-lost album by Mitar Subotić a.k.a Suba, a Serbian producer who moved to Brazil in the ‘90s after making amazing, cinematic records as Rex Ilusivii, and whom sadly died in 1999 when on the cusp of becoming one of Brazil’s most prominent producers. If you’ve been following Offen Music’s amazing... more",/products/wayang-ea82198e-c9eb-44f3-8b71-1d27153e2e09,https://assets.boomkat.com/spree/products/465080/product/suba-wayang.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
4,champion-339cea1f-98a5-4fa3-8623-ca492564293e,5,Iueke,Champion,"Iueke

              —
              Champion
            
              (Editions Gravats)",Editions Gravats,"The third in Low Jack’s much sought-after Les disques de la Bretagne 12” series features the first new material from Antinote co-founder Iueke in years, following a series of archival releases and pair of brilliantly unhinged mixtapes for the DDS label. For this one he opts for a complex and hard-hitting crackpot dancefloor style, something like a squahed... more",/products/champion-339cea1f-98a5-4fa3-8623-ca492564293e,https://assets.boomkat.com/spree/products/540722/product/iueke-dist.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
5,miscellany-a9d9b30d-23fb-4266-8bc9-c41e2c753049,6,Chris Carter,Miscellany,"Chris Carter

              —
              Miscellany
            
              (Mute)",Mute,"Chris Carter plugs a large gap in his discography with ‘Miscellany’, containing a previously unreleased batch of cosmic ‘70s synth abstractions, plus the first ever vinyl pressings of ‘‘Disobedient’ and ’Small Moon’, as well as a new edition of his classic ‘Mondo Beat’ [1985]. For any self-respecting fan of Throbbing Gristle, X-TG, Carter Tutti, or CTI, this is a... more",/products/miscellany-a9d9b30d-23fb-4266-8bc9-c41e2c753049,https://assets.boomkat.com/spree/products/534749/product/CCBOX1_Cover.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
6,a-thousand-lights-in-a-darkened-room,7,Coil,Coil Presents Black Light District: A Thousand Lights in a Darkened Room,"Coil

              —
              Coil Presents Black Light District: A Thousand Lights in a Darkened Room
            
              (Dais Records)",Dais Records,"One of Coil’s most prized and distinctive albums, ‘Black Light District’ arises again on 2LP reissue with Dais Records, with all remastering and reproduction under the auspices of the group’s Drew McDowell. A phantasmagoric soundscape for those who shine darkly…

“During the transitional period in which Coil’s primary leadership, Peter “Sleazy” Christopherson... more",/products/a-thousand-lights-in-a-darkened-room,https://assets.boomkat.com/spree/products/501649/product/R-183462-1270943980.jpeg.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
7,insecttalktolouselowtraxremix,8,O Yuki Conjugate,Insect-Talk (Tolouse Low Trax Remix),"O Yuki Conjugate

            —
            Insect-Talk (Tolouse Low Trax Remix)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
8,uhrwald-orange,9,Die Wilde Jagd,Uhrwald Orange,"Die Wilde Jagd

              —
              Uhrwald Orange
            
              (Bureau B)",Bureau B,,/products/uhrwald-orange,https://assets.boomkat.com/spree/products/492887/product/4015698015065.jpg,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
9,phantom-kino-ballett,10,Lena Willikens & Sarah Szczesny,Phantom Kino Ballett,"Lena Willikens & Sarah Szczesny

              —
              Phantom Kino Ballett
            
              (Commend)",Commend,"Brilliantly cut-up soundtrack to Lena Willikens & Sarah Szczesny’s audio-visual drama; ‘Phantom Kino Ballett’ smartly blurring the lines between soundtrack and mixtape in a way recalling the best Demdike Stare mixes, but taken to a more purposeful level of arrangement, with a whole side of original material by Willikens & Szczesny on the b side.

Salon... more",/products/phantom-kino-ballett,https://assets.boomkat.com/spree/products/541388/product/kinoballett.png,821,Vladimir Ivkovic,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/821
