,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,dissolvedgirl,1,Massive Attack,Dissolved Girl,"Massive Attack

            —
            Dissolved Girl",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
1,blackcoffee,2,Tricky,Black Coffee,"Tricky

            —
            Black Coffee",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
2,allisfulloflove,3,Björk,All Is Full Of Love,"Björk

            —
            All Is Full Of Love",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
3,cloudbusting,4,Kate Bush,Cloudbusting,"Kate Bush

            —
            Cloudbusting",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
4,onoath,5,Andy Stott,On Oath,"Andy Stott

            —
            On Oath",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
5,blackmilk,6,Massive Attack,Black Milk,"Massive Attack

            —
            Black Milk",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
6,sandpaperkisses,7,Martina Topley Bird,Sandpaper Kisses,"Martina Topley Bird

            —
            Sandpaper Kisses",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
7,fromofftoon,8,The Knife,From Off To On,"The Knife

            —
            From Off To On",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
8,lifeonmars,9,David Bowie,Life on Mars,"David Bowie

            —
            Life on Mars",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
9,therainsong,10,Led Zeppelin,The Rain Song,"Led Zeppelin

            —
            The Rain Song",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
10,grace,11,Jeff Buckley,Grace,"Jeff Buckley

            —
            Grace",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
11,strangers,12,Portishead,Strangers,"Portishead

            —
            Strangers",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,717,Wild Adoration,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/717
