,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,les-liaisons-dangereuses-1960,1,Thelonious Monk,Les Liaisons Dangereuses 1960,"Thelonious Monk

              —
              Les Liaisons Dangereuses 1960
            
              (Sam Records)",Sam Records,"In August 1958, French producer Marcel Romano sent a telegram to Monk’s manager, Harry Colomby: “INTERESTED IN THELONIOUS MONK MUSIC. STOP. FOR MOVIE…” By the end of July 1959, Marcel Romano organized the recording sessions for the soundtrack of ‘Les Liaisons Dangereuses 1960’, the French movie directed by Roger Vadim. As yet, Monk’s... more",/products/les-liaisons-dangereuses-1960,https://assets.boomkat.com/spree/products/454278/product/5051083118484_T33725928670054.jpg,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
1,soil,2,Terre Thaemlitz,Soil,"Terre Thaemlitz

            —
            Soil",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
2,philharmony,3,Haruomi Hosono,Philharmony,"Haruomi Hosono

            —
            Philharmony",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
3,lamatriarca,4,Armando Travajoli,La Matriarca,"Armando Travajoli

            —
            La Matriarca",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
4,bttb,5,Ryuichi Sakamoto,BTTB,"Ryuichi Sakamoto

            —
            BTTB",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
5,myneighbortotoro,6,Joe Hisaishi,My Neighbor Totoro,"Joe Hisaishi

            —
            My Neighbor Totoro",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
6,tadaima,7,Akiko Yano,Tadaima,"Akiko Yano

            —
            Tadaima",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
7,thedealer,8,Chico Hamilton,The Dealer,"Chico Hamilton

            —
            The Dealer",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
8,worship-the-glitch,9,Coil,Worship The Glitch,"Coil

              —
              Worship The Glitch
            
              (Dais Records)",Dais Records,"Coil’s cultishly acclaimed Worship The Glitch features the group in dialogue with the ghost in the machine, an element they named ELpH and considered as much a part of the group as any physical member. Aye, you’d probably be right in assuming they were taking a lot of drugs during the creation of Worship The Glitch, and consequently the results stand out... more",/products/worship-the-glitch,https://assets.boomkat.com/spree/products/501345/product/0192562333938.jpg,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
9,shewastoogoodtome,10,Chet Baker,She Was Too Good To Me,"Chet Baker

            —
            She Was Too Good To Me",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,742,Will Long,2018,https://boomkat.com/charts/boomkat-end-of-year-charts-2018/742
