,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,angeloazzurro,1,Siege,Angelo Azzurro,"Siege

            —
            Angelo Azzurro",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
1,ghostride-the-drift,2,"Ghostride The Drift (Huerco S, Uon & Exael)",Ghostride The Drift,"Ghostride The Drift (Huerco S, Uon & Exael)

              —
              Ghostride The Drift
            
              (XPQ?)",XPQ?,"Ghostride The Drift is a highly promising new smudge-ambient project dreamt by Huerco S, Exael and Special Guest DJ aka uon, for his and D. Tiffany’s new label.

Their extended self-titled debut finds the trio’s shared tastes consolidated and mutated in 5 parts of spiralling, psychedelic and elusive dub forms that evoke the sensation of floating in a... more",/products/ghostride-the-drift,https://assets.boomkat.com/spree/products/560763/product/Ghostride.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
2,in-summer,3,JEFRE CANTU-LEDESMA,In Summer,"JEFRE CANTU-LEDESMA

              —
              In Summer
            
              (Devotion / Psychic Troubles Tapes)",Devotion / Psychic Troubles Tapes,"Heart-rending shoegaze entries from the master of rose-tinted but thorny ambient pop hymns, landing smart on the heels of his nostalgic pangs collected in the recent Songs of Remembrance / Songs of Forgiveness LP reissues. The struggle is beautiful and warmly recommended!

Accompanied by the languorous basslines of Drew Piraino on the record’s... more",/products/in-summer,https://assets.boomkat.com/spree/products/371225/product/a3954219646_10.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
3,body-of-carbon,4,Croatian Amor & Varg2TM,Body Of Carbon,"Croatian Amor & Varg2TM

              —
              Body Of Carbon
            
              (Posh Isolation)",Posh Isolation,"Scandi new wave acts Croatian Amor & Varg go twos up on a hard, grimy technoid EP inspired by climate change

From clod-hopping gabber rave mutation in the title tune to the blown-out ambient ion ‘God’s face in the Water’, thru to the surging turbulence of ‘Tell You Tale to the River’ and needling breaks of ‘God’s face in the Fire’, Varg and Croatian Amor bring... more",/products/body-of-carbon,https://assets.boomkat.com/spree/products/618403/product/5056321604781_T5_Image.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
4,kcrw-session-cf6945d8-e246-4863-989f-1f1b1db8ac30,5,Oneohtrix Point Never,KCRW Session,"Oneohtrix Point Never

              —
              KCRW Session
            
              (Warp Records)",Warp Records,"0PN takes his place in Warp’s Indian summer archival shower with his KCRW Session for the legendary West Coast US radio station

The four tracks render Oneohtrix Point Never at his proggiest, cycling thru tweaked takes on the heart-burning epic ‘Love In The Time Of Lexapro’, plus the Pierre Bastien meets Ryuichi Sakamoto styles of ‘RayCats’ and the gusty... more",/products/kcrw-session-cf6945d8-e246-4863-989f-1f1b1db8ac30,https://assets.boomkat.com/spree/products/623688/product/0801061363338.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
5,shelikestowavetopassingboats,6,Levon Vincent,She likes to wave to passing boats,"Levon Vincent

            —
            She likes to wave to passing boats",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
6,earthnaval-morrigan,7,CY AN,EARTHNAVAL/MORRIGAN,"CY AN

              —
              EARTHNAVAL/MORRIGAN
            
              (NO DUALITY)",NO DUALITY,"Exceptional debut album styles from Cy An - studio engineer/producer for FKA Twigs - fusing lush and prickling flesh to the mutable structures of his 2017 debut in a breathtaking bouquet of fractal electronics. RIYL TCF, Arca, Suzanne Kraft, László Hortobágyi, 0PN, FKA Twigs.

‘Earth Naval / Morrigan’ holds among the most impressive debut albums of this year... more",/products/earthnaval-morrigan,https://assets.boomkat.com/spree/products/604025/product/CYANND001.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
7,venus-in-leo,8,HTRK,Venus in Leo,"HTRK

              —
              Venus in Leo
            
              (Ghostly International)",Ghostly International,"Nobody does timeless yet modern ennui quite like HTRK. On their 4th album proper the duo trustingly cup your heart in a cats cradle of crepuscular rhythms & valium blues, all riddled with Jonnine Standish's ear worming mantras and Nigel Yang’s heat haze guitar shimmers.

Issued five years on from their excellent last album ‘Psychic 9-5 Club’, this new... more",/products/venus-in-leo,https://assets.boomkat.com/spree/products/609578/product/804297834207_T57339745080054.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
8,greenwolf,9,Don’t DJ / NWAQ,Green Wolf,"Don’t DJ / NWAQ

            —
            Green Wolf",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
9,captagon,10,ROD MODELL,Captagon,"ROD MODELL

              —
              Captagon
            
              (Tresor Records)",Tresor Records,"DeepChord’s Rod Modell lists and tilts at 140bpm+ in his banging solo debut LP for Tresor

Landing 20 years since his 1st Rod Modell release, ‘The Autonomous Music Project’ for Lunar, the ‘Captagon’ album finds Modell breaking his usual 120bpm sound barrier to go headlong for a classic early Chain Reaction style, nodding to a mid-late ‘90s era when the likes of... more",/products/captagon,https://assets.boomkat.com/spree/products/595402/product/3663729091871.jpg,1118,154,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1118
