,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,no-title-04aeabc2-a97d-4e85-a75f-a84a4cc215b4,1,...,No Title,"...

              —
              No Title
            
              (Sähkö Recordings)",Sähkö Recordings,"Sähkö are keeping schtum about this ace enigma from “an experimental artist willing to stay anonymous on this project”, although they do mention a likeness to Nurse With Wound, Hafler Trio, Zoviet*France…

Presented under the low key moniker, …, ‘No Title’ sounds like a night in an abandoned wooden cabin in the arctic circle with CM Von Hausswolff, and only a... more",/products/no-title-04aeabc2-a97d-4e85-a75f-a84a4cc215b4,https://assets.boomkat.com/spree/products/570209/product/5050580710931.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
1,heavy-4aa8da16-ea6d-456c-a244-389fb4cc06cc,2,Ekin Fil,Heavy,"Ekin Fil

              —
              Heavy
            
              (VAAGNER)",VAAGNER,"This is so good - Spectral songwriter Ekin Fil dispatches a new album of haunted-pop from Istanbul Berlin’s Vaagner/Vakner labels, huge tip if yr into Grouper.

Arriving in the midnight wake of ‘You, Only’, Ekin returns with a reissue of a long sold-out tape for No Kings. ‘Heavy’ is perhaps a knowing misnomer for the album’s gauzy, elusive atmospheric qualities... more",/products/heavy-4aa8da16-ea6d-456c-a244-389fb4cc06cc,https://assets.boomkat.com/spree/products/604328/product/880918250083.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
2,oramics-a3eeeb72-0b48-46e7-b119-ee08b0fe4f64,3,DAPHNE ORAM,Oramics,"DAPHNE ORAM

              —
              Oramics
            
              (Paradigm Discs / Young Americans)",Paradigm Discs / Young Americans,"This hugely influential, definitive collection from electronic music pioneer and founder of the BBC Radiophonic Workshop, Daphne Oram, has been out of print on vinyl since 2013 and is now thankfully available again via Modern Love sidelabel, Young Americans. 

Throughout her life, Oram was a wildly original musician, inventor and theorist who refused to bow... more",/products/oramics-a3eeeb72-0b48-46e7-b119-ee08b0fe4f64,https://assets.boomkat.com/spree/products/568422/product/cover.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
3,lasakaneku-tomo,4,Slikback,Lasakaneku / Tomo,"Slikback

              —
              Lasakaneku / Tomo
            
              (Hakuna Kulala)",Hakuna Kulala,"Slikback’s long awaited vinyl debut compiles his pair of acclaimed Hakuna Kulala releases plus a trio of exclusive new bonus bangers - basically the most incendiary new club mutations from East and Central Africa highly compatible with Gqom, trap, speedcore, dancehall 🔥🔥🔥

Hailing from Nairobi, Kenya via Kampala, Uganda, Slikback has rapidly attracted a wave... more",/products/lasakaneku-tomo,https://assets.boomkat.com/spree/products/612941/product/HK014_Distribution_Preview.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
4,michael-o-shea,5,Michael O'Shea,Michael O'Shea,"Michael O'Shea

              —
              Michael O'Shea
            
              (Allchival)",Allchival,"Where to begin with this one. Michael O’Shea’s sole, breathtaking album ranks among our favourite of all time - produced by Wire’s Bruce Gilbert and Graham Lewis at the Dome studio in 1982, it’s an utterly singular work of magick, meshing myriad, worldly modes into music that rarely fails to reduce us to tears. First brought to our attention by Blackest Ever Black... more",/products/michael-o-shea,https://assets.boomkat.com/spree/products/552564/product/Michael_O'Shea_Reissue-of-the-year.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
5,bleaklow-remastered-4d54a254-f39b-4bd8-8940-286f82b71d92,6,THE STRANGER,"Bleaklow 
            
              (History Always Favours The Winners)","THE STRANGER

              —
              Bleaklow (Remastered)
            
              (History Always Favours The Winners)",Remastered,"One of the most unusual, destitute albums in James Leyland Kirby’s (aka The Caretaker's) extensive catalogue, ‘Bleaklow’ inhabits the distinctly grey, northern climate that has shaped Kirby's sound for over two decades. For our money it’s one of the most unique jewels in Kirby’s catalogue, finally given a much needed vinyl re-press following on from its initial... more",/products/bleaklow-remastered-4d54a254-f39b-4bd8-8940-286f82b71d92,https://assets.boomkat.com/spree/products/30373/product/original.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
6,fremde-zeit-addendem-5,7,JAKOB ULLMANN,Fremde Zeit Addendum #5 - Solo V Für Klavier,"JAKOB ULLMANN

              —
              Fremde Zeit Addendum #5 - Solo V Für Klavier
            
              (EDITION RZ)",EDITION RZ,"Bringing to a close a series which has frankly altered the way we listen to and perceive sound and music over the course of this decade, Jakob Ullmann seals his important Fremde Zeit series with ‘Solo V for Klavier’; a fascinatingly stark and spectral hour-long finale that sets the idea of ‘Foreign Time’ in its most minimalist and broadest setting.

Like the previous... more",/products/fremde-zeit-addendem-5,https://assets.boomkat.com/spree/products/576422/product/jakobullmann-addendum.jpg,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
7,apollo11missionrecordings,8,NASA,Apollo 11 Mission Recordings,"NASA

            —
            Apollo 11 Mission Recordings",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
8,thisworldissick,9,Ic3Peak,This World is Sick,"Ic3Peak

            —
            This World is Sick",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
9,demalie,10,Pa Salieu,Dem a Lie,"Pa Salieu

            —
            Dem a Lie",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1002,Akira Rabelais,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1002
