,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,liveingeneva,1,Lolina,Live in Geneva,"Lolina

            —
            Live in Geneva",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
1,2-2374ff5e-1b77-454a-899d-40e90b339e37,2,Civilistjävel!,2,"Civilistjävel!

              —
              2
            
              (UNKNOWN LABEL)",UNKNOWN LABEL,"Full sunk and rubbed-out dub techno from Low Company’s Scandinavian secret weapon, back in circulation after sold-out first editions

Troddin’ his own path between dub techno, noise and lo-fi electronics, Civilistjävel!’s 2nd transmission steers the enigmatic appeal of his 2018 debut down three corridors to a murky headspace that sounds to our ears like Ø... more",/products/2-2374ff5e-1b77-454a-899d-40e90b339e37,https://assets.boomkat.com/spree/products/587652/product/Civilistjavel1.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
2,freemusic,3,Polido,Free Music,"Polido

            —
            Free Music",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
3,kallista-kult,4,Kallista Kult,Kallista Kult,"Kallista Kult

              —
              Kallista Kult
            
              (A Colourful Storm)",A Colourful Storm,"A Colourful Storm presents a mini-album by Kallista Kult, the newest and most shadowy members to join the label's eclectic roster. 

""Rumoured to be comprised of a core group of modern Oz improv and DIY luminaries with ties to Brandenburg and Black Rock, the sprawling, deeply evocative tracks draw comparisons with the Ghost Box axis, that Michael O'Shea... more",/products/kallista-kult,https://assets.boomkat.com/spree/products/612265/product/4251648409045_2500.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
4,bannernore,5,Junior Loves,Banner/Nore,"Junior Loves

            —
            Banner/Nore",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
5,export-c2c08e3d-1097-4f9b-91fc-a80ca20cfbbb,6,RAP,Export,"RAP

              —
              Export
            
              (Jolly Discs)",Jolly Discs,"RAP find hazy, mystic ground somewhere between John T. Gast-like steppers and Alexander Tucker’s psychedelic folk-pop in their hugely enigmatic 2nd LP, out via the excellent Jolly Discs.

Enacting a musical ideal of being simultaneously within yet outside of the music, ‘Export’ sees RAP’s Guy Gormley (Enchante, Never) and Thomas Bush hover above musical... more",/products/export-c2c08e3d-1097-4f9b-91fc-a80ca20cfbbb,https://assets.boomkat.com/spree/products/597793/product/a2778394306_10.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
6,kings-x,7,John T. Gast,Kings X,"John T. Gast

              —
              Kings X
            
              (5 Gate Temple)",5 Gate Temple,"John.T.Gast steps back in the arena with strong nods to the ‘90s rave past hidden behind the gentrified gleam of London’s Kings Cross

Once home to a thriving warehouse and club scene (and Red Light district), Kings Cross is now a shiny “up-and-coming” area, but we reckon it’s the former ‘Kings X’ that John T. Gast is meditating on with these two cuts for his 5... more",/products/kings-x,https://assets.boomkat.com/spree/products/627088/product/JTG.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
7,monokultur,8,Monokultur,Monokultur,"Monokultur

            —
            Monokultur",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
8,age-of-aquarius-9aceeda2-80c7-4260-bb0e-a0189f1370b0,9,Tribe Of Colin,Age of Aquarius,"Tribe Of Colin

              —
              Age of Aquarius
            
              (Honest Jon's Records)",Honest Jon's Records,"Among the most enigmatic, beguiling producers of recent years, Tribe Of Colin blesses Honest Jon’s with a brilliant LP suite of acidic steppers and hieroglyphic, rhythmelodic riddles comparable to everything from early Shackleton or Hype Williams to Theo Parrish and Alan Lomax recordings

Hustling 9 original tracks of amorphous, rugged dub and astral synths, ‘Age... more",/products/age-of-aquarius-9aceeda2-80c7-4260-bb0e-a0189f1370b0,https://assets.boomkat.com/spree/products/610088/product/194491290054.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
9,the-practice-of-surrender,10,Orphan Ann,The Practice Of Surrender,"Orphan Ann

              —
              The Practice Of Surrender
            
              (Moloton)",Moloton,,/products/the-practice-of-surrender,https://assets.boomkat.com/spree/products/557171/product/880918232874.jpg,1110,ANA,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1110
