,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,liveatprimaverasoundbarcelona,1,Solange,Live At Primavera Sound Barcelona,"Solange

            —
            Live At Primavera Sound Barcelona",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
1,strain-crack-break-volume-one-france,2,Various Artists,"Strain Crack & Break: Music From The Nurse With Wound List - Volume 1 
            
              (Finders Keepers Records)","Various Artists

              —
              Strain Crack & Break: Music From The Nurse With Wound List - Volume 1 (France)
            
              (Finders Keepers Records)",France,"So this one’s been a lonnnnnng time coming. The Nurse With Wound List is a by now legendary list of artists and bands that original Nurse With Wound members Steven Stapleton, John Fothergill, and Heman Pathak included on their debut album 'Chance Meeting on a Dissecting Table of a Sewing Machine and an Umbrella' (1979) and then expanded on 'To the... more",/products/strain-crack-break-volume-one-france,https://assets.boomkat.com/spree/products/608739/product/5060099507229_T56168257660054.jpg,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
2,orangemankryptox,3,Karl Hector and the Malcouns,Orange Man (Kryptox),"Karl Hector and the Malcouns

            —
            Orange Man (Kryptox)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
3,i-a-de-sars,4,Miquela,I A De Sars,"Miquela

              —
              I A De Sars
            
              (Finders Keepers Records)",Finders Keepers Records,"Mesmerising minority language acid folk and wayfaring world music forges a river of revolution between langue doc and Côte d’Azur with this stunning seldom spoken 1978 intimate community pressing. Weaving a fragile thread through collectible outsider genres such as acid folk, French jazz, Braziliana and world music it is virtually incomprehensible that this... more",/products/i-a-de-sars,https://assets.boomkat.com/spree/products/626585/product/5060099507304.jpg,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
4,ladouceurdunsonnouvelventadorn,5,Regrelh (Cants Dels Trobadors),La Douceur D'Un Son Nouvel (Ventadorn),"Regrelh (Cants Dels Trobadors)

            —
            La Douceur D'Un Son Nouvel (Ventadorn)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
5,legainsbook,6,,Le Gainsbook,Le Gainsbook,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
6,echochamberofyourheartfire,7,Fenella,Echo Chamber Of Your Heart (Fire),"Fenella

            —
            Echo Chamber Of Your Heart (Fire)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
7,vasy-y-voir,8,Brussels Art Quintet,Vasy-Y Voir,"Brussels Art Quintet

              —
              Vasy-Y Voir
            
              (Finders Keepers Records)",Finders Keepers Records,"Rare-as-chuff Belgian modal jazz diamond from 1969, reissued for the first time by Finders Keepers. OG 2nd hand copies trade for the price of a month’s rent and bills. You know what to do

“The lesser-spotted jazz atoms that formed the fusion of Futurist Flanders! It might sound like an ambitious claim but having been a firm fixture at the top of many European... more",/products/vasy-y-voir,https://assets.boomkat.com/spree/products/598506/product/5060099507120_T55376672280054.jpg,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
8,sentencesinamagneticfieldselfreleasedtape,9,Rick Myers,Sentences In A Magnetic Field (Self Released Tape),"Rick Myers

            —
            Sentences In A Magnetic Field (Self Released Tape)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
9,theperuviansimonsound,10,The Simonsound & DJ Format,The Peruvian (Simonsound),"The Simonsound & DJ Format

            —
            The Peruvian (Simonsound)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,993,Andy Votel,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/993
