,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,ifeelforyouacousticdemo,1,Prince,I Feel for You (Acoustic Demo),"Prince

            —
            I Feel for You (Acoustic Demo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
1,liveatkingsplace,2,Klein,Live at Kings Place,"Klein

            —
            Live at Kings Place",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
2,ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,3,Rian Treanor,ATAXIA,"Rian Treanor

              —
              ATAXIA
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Rotherham rave imp Rian Treanor kicks up to Planet Mu for ‘Ataxia’, his debut album following introductory EPs with The Death of Rave and Warp’s resuscitated Arcola sublabel.

Under the title ‘ATAXIA’, chosen literally for its meaning - “the loss of control of bodily movements” - as well as its figurative, asymmetric quality, Rian sequences ramped versions of his... more",/products/ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,https://assets.boomkat.com/spree/products/558053/product/5055300392992_T10_Image.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
3,hakuna-kulala,4,Rey Sapienz,Hakuna Kulala,"Rey Sapienz

              —
              Hakuna Kulala
            
              (Hakuna Kulala)",Hakuna Kulala,"Infectious first release on Hakuna Kulala, a new sublabel from Uganda’s Nyege Nyege Tapes focussed on new club music explorations from the East African and Congolese Electronic Underground

Rey Sapiens drops three cuts of fizzing, weirdly abstracted soukous for the label’s début, relaying a taste of the hottest sound in Eastern Congo to dancers and... more",/products/hakuna-kulala,https://assets.boomkat.com/spree/products/513709/product/5055869530477_T4_Image.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
4,threethehardwayyoutube,5,"Scientist, Barnabas & Maxie",Three The Hard Way (youtube),"Scientist, Barnabas & Maxie

            —
            Three The Hard Way (youtube)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
5,grace-ep,6,DJ Haram,Grace EP,"DJ Haram

              —
              Grace EP
            
              (Hyperdub)",Hyperdub,"Class debut from Philly’s DJ Haram - fusing Arabic percussion and instrumentation with bass pressure for Hyperdub.

Like a spartan echo of Mutamassik’s early ‘00s meeting of Egyptian breaks and rugged hip hop, DJ Haram finds a wickedly gritty friction and traction from a mixtures of sharp electronics and a dead canny sample palette that distinguishes her... more",/products/grace-ep,https://assets.boomkat.com/spree/products/588413/product/5055869558945_T9_Image.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
6,all,7,DJ Plead,(all),"DJ Plead

            —
            (all)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
7,all,8,Kindohm,(all),"Kindohm

            —
            (all)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
8,surrender-3cb8247e-9a08-494a-8994-bb82b3e97803,9,Bendik Giske,Surrender,"Bendik Giske

              —
              Surrender
            
              (Smalltown Supersound)",Smalltown Supersound,"Oslo/Berlin’s Bendik Giske uses extended technique and unique microphone placement to capture a visceral showcase of his virtuoso saxophone talents. Imagine Colin Stetson having an epiphany after a transformative time at Berghain…

“Born in Oslo and splitting much of his adolescence between his home city and Bali, Giske grew up in an artistic household and... more",/products/surrender-3cb8247e-9a08-494a-8994-bb82b3e97803,https://assets.boomkat.com/spree/products/550936/product/5053760039617_T9_Image.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
9,ritme-jaavdanegi,10,Mohammad Reza Mortazavi,Ritme Jaavdanegi,"Mohammad Reza Mortazavi

              —
              Ritme Jaavdanegi
            
              (LATENCY)",LATENCY,"Award-winning Iranian percussionist Mohammad Reza Mortazavi describes the rhythm of eternity or ‘Ritme Jaavdanegi’ in eight transfixing ways on his first vinyl album, following 12”s with Padre Himalaya and Burnt Friedman’s Nonplace in recent years.

A prodigious child student turned absolute master of the tombak - a traditional Iranian drum famed for its... more",/products/ritme-jaavdanegi,https://assets.boomkat.com/spree/products/619685/product/194491535711.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
10,intrarehearsalsbuenosaires,11,Mark Fell x Tambor Fantasma,"INTRA rehearsals, Buenos Aires","Mark Fell x Tambor Fantasma

            —
            INTRA rehearsals, Buenos Aires",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
11,allgravats,12,Low Jack,(all Gravats),"Low Jack

            —
            (all Gravats)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
12,all,13,Martel Ferdan,(all),"Martel Ferdan

            —
            (all)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
13,ductus,14,Paul Abbott,Ductus,"Paul Abbott

            —
            Ductus",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
14,touchie-riddim-ep,15,Mosca,Touchie Riddim EP,"Mosca

              —
              Touchie Riddim EP
            
              (FLUF)",FLUF,"Mosca unbuckles the dancehall thru a wicked modular prism on his shockout debut for Fluf

One of the UK’s unique dancefloor experimenters since his tempo shifting debut for Nightslugs in 2010, Mosca really pushes the envelope of his sound in mad ways with ‘Touchie Riddim’, seemingly spinning the dance in a haywire gyroscope to the nuttiest ends.

If... more",/products/touchie-riddim-ep,https://assets.boomkat.com/spree/products/612510/product/TOUCHIE_COVER.jpg,932,Beatrice Dillon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/932
