,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,elmersarmsbootlegwestkennetlongtapes,1,Kinlaw & Franco Franco,Elmers Arms Bootleg [West Kennet Long Tapes],"Kinlaw & Franco Franco

            —
            Elmers Arms Bootleg [West Kennet Long Tapes]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
1,caligula-0ee380bf-ea60-4a51-96b3-a85b06ed3cf5,2,Lingua Ignota,CALIGULA,"Lingua Ignota

              —
              CALIGULA
            
              (Profound Lore)",Profound Lore,"Channelling the operatics of Diamanda Galas and Zola Jesus into metal styles proper, Lingua Franca arguably takes their thorny crowns for herself with the follow-up to ‘All Bitches Die’. Check for her extraordinary flip of the title theme from A Clockwork Orange in ‘Butcher Of The World’

“The new album from LINGUA IGNOTA takes the vision of Kristin... more",/products/caligula-0ee380bf-ea60-4a51-96b3-a85b06ed3cf5,https://assets.boomkat.com/spree/products/596761/product/843563116289.jpg,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
2,theavonincidentavonterrorcorps,3,Avon Terror Corps,The Avon Incident [Avon Terror Corps],"Avon Terror Corps

            —
            The Avon Incident [Avon Terror Corps]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
3,the-marzahn-versions,4,Ossia,The Marzahn Versions,"Ossia

              —
              The Marzahn Versions
            
              (Berceuse Heroique)",Berceuse Heroique,"The coup de grâce of a triad of tributes to soundsystem culture.

""The abstraction of the last Ossia LP scurries to the wings.  Step forward early-Disciples manners — plus an intake of Drexciya on the flip — conspiring in one of BH’s most lethal and up-for-it fusillades so far.""

            more",/products/the-marzahn-versions,https://assets.boomkat.com/spree/products/622137/product/a2181249320_10.jpg,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
4,diamonds-226d008a-9c9d-4f40-b605-2891842ec971,5,"Yao Bobby, Simon Grab",Diamonds,"Yao Bobby, Simon Grab

              —
              Diamonds
            
              (LAVALAVA Records)",LAVALAVA Records,"Dark, heat-seeking hybrids of dancehall, rap and noise from Togo’s Yao Bobby and swiss artist Simon Grab on Bristol label, LAVALAVA

Coaxing the nastiest grind from a no-input mixer, Grab sets thistly ground for Bobby’s politicised rap, delivered in gruff, stare down style in French and Ewe. To be fair we haven’t a clue what he’s chatting about, but we’re assured it’s... more",/products/diamonds-226d008a-9c9d-4f40-b605-2891842ec971,https://assets.boomkat.com/spree/products/612893/product/192641367632.jpg,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
5,liveatpompeiinoodsavonterrorcorps,6,Java Java Wetware & Friends,Live At Pompeii / Noods [Avon Terror Corps],"Java Java Wetware & Friends

            —
            Live At Pompeii / Noods [Avon Terror Corps]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
6,deathdriveepdeathbombarc,7,Debby Friday,Death Drive EP [Deathbomb Arc],"Debby Friday

            —
            Death Drive EP [Deathbomb Arc]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
7,metaprogramacao,8,Deafkids,Metaprogramação,"Deafkids

              —
              Metaprogramação
            
              (Neurot Recordings)",Neurot Recordings,,/products/metaprogramacao,https://assets.boomkat.com/spree/products/566390/product/0647603403120.jpg,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
8,photosyntheticmindrecords,9,Volition Immanent,Photosynthetic [Mind Records],"Volition Immanent

            —
            Photosynthetic [Mind Records]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
9,the-oracle-197c5e97-a755-42b8-9d44-2632c42b39a6,10,Angel Bat Dawid,The Oracle,"Angel Bat Dawid

              —
              The Oracle
            
              (International Anthem)",International Anthem,"Angel Bat Dawid is an enigma; her debut album 'The Oracle’ (released earlier this year on tape) is a total anomaly. Dawid recorded, overdubbed and mixed the album on her own after a brain tumor diagnosis disrupted her music studies, she plays every instrument you hear (except for some drums), appears on the cover and produced every flawless twist and turn... more",/products/the-oracle-197c5e97-a755-42b8-9d44-2632c42b39a6,https://assets.boomkat.com/spree/products/589096/product/0603784912820_1448.jpg,1033,Bokeh Versions,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1033
