,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,chemical-flowers,1,HELM,Chemical Flowers,"HELM

              —
              Chemical Flowers
            
              (PAN)",PAN,"Luke Younger yields his most engrossing work as Helm with the sorely romantic dynamics of ‘Chemical Flowers’, his follow-up to 2015’s ‘Olympic Mess’. Bolstered by J.G. Thirlwell’s rich string arrangements, it’s a hugely ambitious work that extends from whirling, panoramic vistas to insular, pulsing dynamics, somewhere between Earth, Oren Ambarchi, Keiji Haino... more",/products/chemical-flowers,https://assets.boomkat.com/spree/products/576571/product/HELM_Chemical_Flowers_PAN99_Cover.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
1,the-flower-and-the-vessel,2,Felicia Atkinson,The Flower And The Vessel,"Felicia Atkinson

              —
              The Flower And The Vessel
            
              (Shelter Press)",Shelter Press,"Sound poet and multidisciplinary artist Félicia Atkinson follows 2017’s cherished ‘Hand In Hand’ album with this spellbinding study on loneliness and intimacy, crafted while pregnant and on tour. Félicia notably draws Sunn 0)))’s Stephen O’Malley into her meso plane on the collaborative 19 minute closing cut ‘Des Pierres’, a quietly startling end to another captivating... more",/products/the-flower-and-the-vessel,https://assets.boomkat.com/spree/products/586321/product/cover.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
2,monos-original-motion-picture-soundtrack,3,Mica Levi,"Monos 
            
              (INVADA Records)","Mica Levi

              —
              Monos (Original Motion Picture Soundtrack)
            
              (INVADA Records)",Original Motion Picture Soundtrack,"Mica Levi’s absorbing soundtrack for Alejandro Landes’ ‘Monos’ is a jagged tessellation of electro/acoustic/environmental textures riven with pangs of emotive string orchestration.

Following a group of young soldiers and rebels watching over an American hostage in an undisclosed location and time in the South American jungle, ‘Monos’ pursues a storyline... more",/products/monos-original-motion-picture-soundtrack,https://assets.boomkat.com/spree/products/605961/product/5051083141406_T56000078750054.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
3,to-magnetize-money-and-catch-a-roving-eye,4,JIM O'ROURKE,To Magnetize Money And Catch A Roving Eye,"JIM O'ROURKE

              —
              To Magnetize Money And Catch A Roving Eye
            
              (Sonoris)",Sonoris,"Sonic shapeshifter Jim O’Rourke yields 4 hours of engrossing, kaleidoscopic recordings from the Steamroom circa 2017-2018 in one of his most significant outings for years.

Bringing everyone up to date with O’Rourke’s actions out in Japan, where he’s been stationed for a good few years, ‘to magnetize money and catch a roving eye’ operates under a title as curiously... more",/products/to-magnetize-money-and-catch-a-roving-eye,https://assets.boomkat.com/spree/products/618023/product/sns16.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
4,kuro-ost,5,TUJIKO NORIKO,"Kuro 
            
              (PAN)","TUJIKO NORIKO

              —
              Kuro (OST)
            
              (PAN)",OST,"PAN inaugurate Entopia, their highly promising, soundtrack-focussed sister label, with the tremulous beauty and dreamy ambient detachment of Tujiko Noriko’s ‘Kuro (OST)’

Realised alongside musicians Sam Britton and Will Worsely, experimental J-popstar and composer Tujio Noriko conceived the ‘Kuro’ soundtrack for the eponymous 2017 film which she wrote... more",/products/kuro-ost,https://assets.boomkat.com/spree/products/571660/product/Cover.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
5,the-sacrificial-code,6,Kali Malone,The Sacrificial Code,"Kali Malone

              —
              The Sacrificial Code
            
              (iDEAL Recordings)",iDEAL Recordings,"Slow, methodical organ recordings on this major new work from Kali Malone;  a quietly subversive double album featuring almost two hours of concentrated, creeping organ pieces governed by a strict acoustic and compositional code with ultimately profound emotional resonance. Featuring additional organ pieces performed by Ellen Arkbro and... more",/products/the-sacrificial-code,https://assets.boomkat.com/spree/products/590660/product/iDEAL192CD_Distribution_Preview.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
6,border-ballads,7,RICHARD SKELTON,Border Ballads,"RICHARD SKELTON

              —
              Border Ballads
            
              (CORBEL STONE PRESS)",CORBEL STONE PRESS,"In ‘Border Ballads’ Richard Skelton draws inspiration from the rolling landscapes of the Scottish Borders for a moving instrumental panorama coloured with a melancholy palette of piano, bowed cello, viola and burnished electronics. It’s some of the most focussed and direct work of an already fascinating career.

Blessed with his usual knack for limning the... more",/products/border-ballads,https://assets.boomkat.com/spree/products/587069/product/5054526362413_T13_Image.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
7,pale-bloom,8,Sarah Davachi,Pale Bloom,"Sarah Davachi

              —
              Pale Bloom
            
              (W.25TH / Superior Viaduct / W.25TH)",W.25TH / Superior Viaduct / W.25TH,"Sarah Davachi’s ‘Pale Bloom’ sees the preternaturally gifted composer return to her first instrument, the piano, with ineffably graceful results that incorporate vocals to spine-chilling effect.

Served in the wake of a series of albums where Sarah tested her improv mettle on everything from pipe and reed organs to analog synths - garnering a cult following... more",/products/pale-bloom,https://assets.boomkat.com/spree/products/577827/product/857661008278.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
8,imperial-flood,9,Logos,Imperial Flood,"Logos

              —
              Imperial Flood
            
              (Different Circles)",Different Circles,"Jaw-dropping 2nd album by Logos, follow-up to his UK classic ‘Cold Mission’, full of clinical sci-fi sound design and stylized noir narrative riddled with club zingers, checking the electric blue pulse of UK Hardcore Musicks.

Setting a new high-water mark for UK dance-related albums, ‘Imperial Flood’ stakes a claim for Logos as a key dramaturgist of all things... more",/products/imperial-flood,https://assets.boomkat.com/spree/products/566491/product/DIFFLP003_Cover.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
9,lasakaneku-tomo,10,Slikback,Lasakaneku / Tomo,"Slikback

              —
              Lasakaneku / Tomo
            
              (Hakuna Kulala)",Hakuna Kulala,"Slikback’s long awaited vinyl debut compiles his pair of acclaimed Hakuna Kulala releases plus a trio of exclusive new bonus bangers - basically the most incendiary new club mutations from East and Central Africa highly compatible with Gqom, trap, speedcore, dancehall 🔥🔥🔥

Hailing from Nairobi, Kenya via Kampala, Uganda, Slikback has rapidly attracted a wave... more",/products/lasakaneku-tomo,https://assets.boomkat.com/spree/products/612941/product/HK014_Distribution_Preview.jpg,985,Cam Deas,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/985
