,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,rr001-ep,1,Afrodeutsche,RR001,"Afrodeutsche

              —
              RR001
            
              (River Rapid)",River Rapid,"Afrodeutsche makes electro/house power moves on the opening gambit from Eclair Fifi’s River Rapid label. Marking the first release by Manny’s own Ghanaian/Russian/German artist since her resoundingly acclaimed debut LP for Skam, ‘RR001’ is fixed for the ‘floor with four strong examples of the hypnotic, full-bodied hardware traction she does so damn well.

All... more",/products/rr001-ep,https://assets.boomkat.com/spree/products/602841/product/vqgwrqwr.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
1,foreverraverskompakt,2,Anna & Kittin,Forever Ravers (Kompakt),"Anna & Kittin

            —
            Forever Ravers (Kompakt)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
2,careful-d299cbba-ecd7-454a-b9f0-e8d558ba048d,3,Boy Harsher,Careful,"Boy Harsher

              —
              Careful
            
              (Nude Club)",Nude Club,"One of the most potent new acts in the EBM/synth-pop/darkwave resurgence deliver an achingly well-sculpted, goth-veiled sophomore side

Moving in line with the music industry’s 30 year frame-of-reference phase shift, Boy Harsher turn cues from mid-late ‘80s styles to their acutely emotive, aerobic purpose in ‘Careful’.

If you’re looking for instant gratification, the... more",/products/careful-d299cbba-ecd7-454a-b9f0-e8d558ba048d,https://assets.boomkat.com/spree/products/557733/product/a1131250781_10.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
3,venus-in-leo,4,HTRK,Venus in Leo,"HTRK

              —
              Venus in Leo
            
              (Ghostly International)",Ghostly International,"Nobody does timeless yet modern ennui quite like HTRK. On their 4th album proper the duo trustingly cup your heart in a cats cradle of crepuscular rhythms & valium blues, all riddled with Jonnine Standish's ear worming mantras and Nigel Yang’s heat haze guitar shimmers.

Issued five years on from their excellent last album ‘Psychic 9-5 Club’, this new... more",/products/venus-in-leo,https://assets.boomkat.com/spree/products/609578/product/804297834207_T57339745080054.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
4,super-natural-29f298b2-9ec5-4204-8429-c69c03416577,5,Jonnine,Super Natural,"Jonnine

              —
              Super Natural
            
              (Good Morning Tapes)",Good Morning Tapes,"This Instant classic solo debut of smoky vocal introspection and 808 heartbeats by Jonnine Standish (HTRK) really did stick in our head like nothing else in 2019. Featuring co-production from Nathan Corbin and guest input by Nigel Yang (HTRK), Conrad Standish (CS + Kreme), and Mona Ruijs, it's a properly stunning EP that comes with a massive... more",/products/super-natural-29f298b2-9ec5-4204-8429-c69c03416577,https://assets.boomkat.com/spree/products/615542/product/Jonnine_Best-of-2019.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
5,the-alchemy-of-circumstance,6,Midland,The Alchemy of Circumstance,"Midland

              —
              The Alchemy of Circumstance
            
              (Graded)",Graded,"Midland playfully messes with meter and texture in his first new EP since 2016. Tip to fans of Four Tet, Floating Points, Caribou 

 

            more",/products/the-alchemy-of-circumstance,https://assets.boomkat.com/spree/products/619583/product/5054284665535.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
6,morton-feldman-piano,7,MORTON FELDMAN,Morton Feldman Piano,"MORTON FELDMAN

              —
              Morton Feldman Piano
            
              (Another Timbre)",Another Timbre,"‘Morton Feldman Piano’ is a major 5CD collection of virtually all of Feldman’s music for piano, performed by Philip Thomas with a tactility befitting of this extraordinary, quiet, intimate music. It’s the most extensive survey of Feldman’s piano music since John Tilbury’s long unavailable 4-CD set was released 20 years ago, including several pieces which weren’t... more",/products/morton-feldman-piano,https://assets.boomkat.com/spree/products/613367/product/MFPiano.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
7,exhibitionattatemodern,8,Nam June Paik,exhibition at Tate Modern,"Nam June Paik

            —
            exhibition at Tate Modern",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
8,ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,9,Rian Treanor,ATAXIA,"Rian Treanor

              —
              ATAXIA
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Rotherham rave imp Rian Treanor kicks up to Planet Mu for ‘Ataxia’, his debut album following introductory EPs with The Death of Rave and Warp’s resuscitated Arcola sublabel.

Under the title ‘ATAXIA’, chosen literally for its meaning - “the loss of control of bodily movements” - as well as its figurative, asymmetric quality, Rian sequences ramped versions of his... more",/products/ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,https://assets.boomkat.com/spree/products/558053/product/5055300392992_T10_Image.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
9,eraser-62fedd6d-e5c2-4c0a-a766-5026b1db9d87,10,DJ Richard,Eraser,"DJ Richard

              —
              Eraser
            
              (FLEXXSEAL)",FLEXXSEAL,,/products/eraser-62fedd6d-e5c2-4c0a-a766-5026b1db9d87,https://assets.boomkat.com/spree/products/613394/product/0810025343125.jpg,1019,Dale Cornish,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1019
