,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,300pmpuppy08,1,Nebuchadnezzar,3:00 PM [PUPPY08],"Nebuchadnezzar

            —
            3:00 PM [PUPPY08]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
1,bracnychelloveckfa007,2,Gaja,Bracny Chelloveck [fa007],"Gaja

            —
            Bracny Chelloveck [fa007]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
2,estrangementmt125cs,3,Scant,Estrangement [mt125cs],"Scant

            —
            Estrangement [mt125cs]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
3,asnakeisuncoilinginmybrainspectator1,4,Spiderwrap,A Snake Is Uncoiling In My Brain [SPECTATOR 1],"Spiderwrap

            —
            A Snake Is Uncoiling In My Brain [SPECTATOR 1]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
4,felonydna01,5,Julien Andreas,Felony [DNA01],"Julien Andreas

            —
            Felony [DNA01]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
5,delawarenrr126,6,Jacob Winans,Delaware [NRR126],"Jacob Winans

            —
            Delaware [NRR126]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
6,selftitledbnk026,7,Slave To Society,Self-Titled [BNK026],"Slave To Society

            —
            Self-Titled [BNK026]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
7,humanhostselfreleased,8,Lederrick,Human Host [Self-Released],"Lederrick

            —
            Human Host [Self-Released]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
8,hopefuckerbnk028,9,Soren Roi,Hopefucker [BNK028],"Soren Roi

            —
            Hopefucker [BNK028]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
9,splitplib001,10,Jackson-Pratt/Blind Date,Split [PLIB001],"Jackson-Pratt/Blind Date

            —
            Split [PLIB001]",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,972,DJ Speedsick,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/972
