,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,uingizaji-hewa,1,Duke,Uingizaji Hewa,"Duke

              —
              Uingizaji Hewa
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Nyege Nyege Tapes deliver an unmissable volley of hyper-fast, breathless Singeli from Tanzania, this time the vinyl debut of Duke showcasing the sound of Pamoja Records, following multiple zingers from the scene’s core Sisso Studios.

Yet again making practically all other dance music seem pedestrian and tepid by contrast, Duke’s take on Dar Es Salaam’s... more",/products/uingizaji-hewa,https://assets.boomkat.com/spree/products/567593/product/NNT011_Dist_Preview.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
1,cache-01,2,Various Artists,Cache 01,"Various Artists

              —
              Cache 01
            
              (SVBKVLT)",SVBKVLT,"Shanghai’s Svbkvlt cru drop a monstrously large label showcase with the Aphex Twin and Kode 9-backed ’Cache 01’ set

Destined to be one of 2019’s definitive multi-artist sets, ‘Cache 01’ speaks to the abundance of prism-pushing electronic mutants presently at work in the Far East. Where too many Western artists right now are caught in the retro-vintage... more",/products/cache-01,https://assets.boomkat.com/spree/products/575779/product/5055869536691_T14_Image.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
2,umeme-kelele,3,Judgitzu,Umeme / Kelele,"Judgitzu

              —
              Umeme / Kelele
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Incendiary, 180BPM hyper-steppers rhythms riddled with razing drones and field recordings for Nyege Nyege Tapes, the debut electronic music productions by “Punk ethnomusicologist” Judgitzu, inspired by time spent in Tanzania and highly compatible with Singeli, hardcore techno, gabber...

Roving punk ethnomusicologist Julien Hairon aka Judgitzu... more",/products/umeme-kelele,https://assets.boomkat.com/spree/products/619709/product/NNT017_Distribution_Preview.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
3,at-the-villa,4,Jay Mitta & Sisso meet The Modern Institute and Errorsmith,At The Villa,"Jay Mitta & Sisso meet The Modern Institute and Errorsmith

              —
              At The Villa
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Nyege Nyege Tapes kick off a crucial mix series with The Modern Institute’s blinding, 20-track razz; pelting thru unreleased collabs and remixes with Jay Mitta, Sisso and Errorsmith, along with 9 cuts to download individually.

In the two weeks after the 2018 edition of Nyege Nyege Festival, Tanzanian Singeli stars Jay Mitta and Sisso spent a lot of time hanging out... more",/products/at-the-villa,https://assets.boomkat.com/spree/products/626254/product/cover.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
4,ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,5,Rian Treanor,ATAXIA,"Rian Treanor

              —
              ATAXIA
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Rotherham rave imp Rian Treanor kicks up to Planet Mu for ‘Ataxia’, his debut album following introductory EPs with The Death of Rave and Warp’s resuscitated Arcola sublabel.

Under the title ‘ATAXIA’, chosen literally for its meaning - “the loss of control of bodily movements” - as well as its figurative, asymmetric quality, Rian sequences ramped versions of his... more",/products/ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,https://assets.boomkat.com/spree/products/558053/product/5055300392992_T10_Image.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
5,slip-b,6,Slikback & Hyph11E,Slip B,"Slikback & Hyph11E

              —
              Slip B
            
              (SVBKVLT)",SVBKVLT,"In the 2nd of two hot drops, Kenya’s Slikback dices with Hyph11E in a wild dissection and fusion of East/Central African rhythms with jungle, footwork, and f*ck-knows-what-u-call-it

Jamming your radars with strained signals at the start of ‘ISHU’, they barrel into a sort of tribal footwork trample spun out with sweltering metallic noise, establishing a hectic... more",/products/slip-b,https://assets.boomkat.com/spree/products/607125/product/5056321603371_T6_Image.jpg,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
6,cctep,7,Precolumbian & Estoc,CCT EP,"Precolumbian & Estoc

            —
            CCT EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
7,boycottethicalconsumptionep,8,Hmurd,Boycott Ethical Consumption EP,"Hmurd

            —
            Boycott Ethical Consumption EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
8,schismep,9,Le Dom,Schism EP,"Le Dom

            —
            Schism EP",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
9,allthemthingsusaidrx15,10,DJ PAYPAL,All Them Things U Said Rx 15,"DJ PAYPAL

            —
            All Them Things U Said Rx 15",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,989,Errorsmith,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/989
