,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,another-a87ebd8d-9035-4917-bde2-6f77bc08c166,1,Club Winston,Another,"Club Winston

              —
              Another
            
              (UKGEORGE)",UKGEORGE,"Mad, donking club trax from some mischievous blighter named Club Winston. RIYL that spoof Ben Klock Boiler Room...

Just straight up donks, fills and FX at 150bpm for those who like their WKD cold and fizzy.

            more",/products/another-a87ebd8d-9035-4917-bde2-6f77bc08c166,https://assets.boomkat.com/spree/products/624056/product/992d85ae-3b8f-4f3f-95da-33d906c310c9.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
1,37-minute-workout-vol-2,2,Russell Haswell,37 Minute Workout Vol. 2,"Russell Haswell

              —
              37 Minute Workout Vol. 2
            
              (Diagonal)",Diagonal,"Keenly awaited follow-up to Russell Haswell’s groundbreaking n0!ze-tekno classic of 2014 '37 Minute Workout’, a spontaneously combusting mix of analog/digital synths and modular systems edited on a computer and inspired by a visit to CERN, The European Organisation for Nuclear Research. Highly recommended if yr into Xenakis, The Latin Rascals... more",/products/37-minute-workout-vol-2,https://assets.boomkat.com/spree/products/626470/product/767870660597.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
2,anthology-resource-vol-ii-philosophy-of-beyond,3,Dean Hurley,Anthology Resource Vol. II: Philosophy of Beyond,"Dean Hurley

              —
              Anthology Resource Vol. II: Philosophy of Beyond
            
              (Sacred Bones Records)",Sacred Bones Records,"This is f×cking amazing - a second volume of desolate, ambient themes from David Lynch’s sound designer and mixer of choice Dean Hurley, one of those behind-the-scenes guys whose work most subtly colours the popular imagination. If you’re into anything from Deathprod to Badalamenti to Mica Levi’s 'Under the Skin’, the more ascetic end of work from... more",/products/anthology-resource-vol-ii-philosophy-of-beyond,https://assets.boomkat.com/spree/products/582060/product/843563116241_T53545441370054.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
3,the-sacrificial-code,4,Kali Malone,The Sacrificial Code,"Kali Malone

              —
              The Sacrificial Code
            
              (iDEAL Recordings)",iDEAL Recordings,"Slow, methodical organ recordings on this major new work from Kali Malone;  a quietly subversive double album featuring almost two hours of concentrated, creeping organ pieces governed by a strict acoustic and compositional code with ultimately profound emotional resonance. Featuring additional organ pieces performed by Ellen Arkbro and... more",/products/the-sacrificial-code,https://assets.boomkat.com/spree/products/590660/product/iDEAL192CD_Distribution_Preview.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
4,peel-session-2-844fe316-f9a0-4b75-9305-18b789b8b377,5,Aphex Twin,Peel Session 2,"Aphex Twin

              —
              Peel Session 2
            
              (Warp Records)",Warp Records,"On the summer solstice 2019 the extended Warp family came together with online radio station NTS to celebrate the label’s 30th anniversary. Now, as the summer draws to a close, Warp continue the radio theme with the announcement of a special set of releases. WXAXRXP Sessions features ten specially selected sessions recorded for radio from across the... more",/products/peel-session-2-844fe316-f9a0-4b75-9305-18b789b8b377,https://assets.boomkat.com/spree/products/623687/product/0801061362638.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
5,no-title-04aeabc2-a97d-4e85-a75f-a84a4cc215b4,6,...,No Title,"...

              —
              No Title
            
              (Sähkö Recordings)",Sähkö Recordings,"Sähkö are keeping schtum about this ace enigma from “an experimental artist willing to stay anonymous on this project”, although they do mention a likeness to Nurse With Wound, Hafler Trio, Zoviet*France…

Presented under the low key moniker, …, ‘No Title’ sounds like a night in an abandoned wooden cabin in the arctic circle with CM Von Hausswolff, and only a... more",/products/no-title-04aeabc2-a97d-4e85-a75f-a84a4cc215b4,https://assets.boomkat.com/spree/products/570209/product/5050580710931.jpg,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
6,headingforafeastofacid,7,Roy of The Ravers,Heading For A Feast of Acid​!​!​!​!,"Roy of The Ravers

            —
            Heading For A Feast of Acid​!​!​!​!",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
7,httpswwwyoutubecomwatchvughxgq56vuq,8,TETRIS BEATBOX (original meme),https://www.youtube.com/watch?v=UghxgQ56vuQ,"TETRIS BEATBOX (original meme)

            —
            https://www.youtube.com/watch?v=UghxgQ56vuQ",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
8,confusa,9,KABLAM,Confusía,"KABLAM

            —
            Confusía",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
9,marcusmixxshannon1bandcampcom,10,MarcusMixxShannon,marcusmixxshannon1.bandcamp.com,"MarcusMixxShannon

            —
            marcusmixxshannon1.bandcamp.com",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,983,EVOL,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/983
