,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,anaferachiboda,1,,Anafera Chiboda,Anafera Chiboda,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
1,fungolanyemba,2,,Fungo La Nyemba,Fungo La Nyemba,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
2,mwadala,3,,Mwadala,Mwadala,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
3,naphiri,4,,Naphiri,Naphiri,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
4,malawiinemdwelera,5,,Malawi Ine 'M' Dwelera,Malawi Ine 'M' Dwelera,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
5,dzikokutkeseka,6,,Dziko Kutkeseka,Dziko Kutkeseka,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
6,ambuyendalora,7,,Ambuye Ndalora,Ambuye Ndalora,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
7,ichinchiyani,8,,Ichi Nchiyani,Ichi Nchiyani,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
8,malawi,9,,Malawi,Malawi,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
9,odala,10,,Odala,Odala,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1041,G.H.,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1041
