,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,golden-armageddon,1,Galaxian,Golden Armageddon,"Galaxian

              —
              Golden Armageddon
            
              (Natural Sciences)",Natural Sciences,"Helmet electro charges from Glasgow’s Galaxian on the Manchester-based Natural Sciences

‘Golden Armageddon’ is top loaded with the title track’s 9 minutes of turbulent electro rhythm, expansive choral arrangements and asteroid-field noise navigations, backed with the Ultradyne-esque sci-fi styles in ‘Ride The Spiral’, and the blown-out kaoz of ‘Psychic... more",/products/golden-armageddon,https://assets.boomkat.com/spree/products/588770/product/8718723124096.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
1,moogie,2,"Mall Grab, Nite Fleit",Moogie,"Mall Grab, Nite Fleit

              —
              Moogie
            
              (Looking For Trouble)",Looking For Trouble,,/products/moogie,https://assets.boomkat.com/spree/products/575452/product/5060670883216_T5_Image.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
2,forbidden-plant,3,Hypnobeat,Forbidden Plant,"Hypnobeat

              —
              Forbidden Plant
            
              (Artificial Dance)",Artificial Dance,"Interstellar Funk’s Artificial Dance host a trio of Hypnobeat’s infectious ‘80s drum machine trips in the ‘Forbidden Plant’ EP

Originally engineered and newly mastered by band member Tobias Freund (Tobias./NSI), the EP is presented as “a musical touch of far away places.” This exotic mindset leads the EP between a previously unreleased 1986 workout... more",/products/forbidden-plant,https://assets.boomkat.com/spree/products/626242/product/AD005_Cover.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
3,presence-du-futur,4,Alessandro Adriani & Michel Amato,Présence Du Futur,"Alessandro Adriani & Michel Amato

              —
              Présence Du Futur
            
              (Mannequin)",Mannequin,"The Mannequin boss and The Hacker gel forces in a brittle and sticky mix of synth-pop, EBM, and coldwave themes delivered under their own names

’Présence Du Futur’ is a solid example of when projects amount to beyond the sum of their parts. Packing decades of experience between them, Amato & Adriani apply razor sharp editing to muscular drum machine... more",/products/presence-du-futur,https://assets.boomkat.com/spree/products/596527/product/194491017583.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
4,spasm-turbulence,5,Maelstrom,Spasm / Turbulence,"Maelstrom

              —
              Spasm / Turbulence
            
              (C-KNOW-EVIL)",C-KNOW-EVIL,,/products/spasm-turbulence,https://assets.boomkat.com/spree/products/608072/product/8718723130059.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
5,proxy-detected,6,Christopher Joseph,Proxy Detected,"Christopher Joseph

              —
              Proxy Detected
            
              (FLEXXSEAL)",FLEXXSEAL,,/products/proxy-detected,https://assets.boomkat.com/spree/products/581513/product/0810762039589.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
6,bad-manners-2,7,Exterminador,Bad Manners 2,"Exterminador

              —
              Bad Manners 2
            
              (Bad Manners)",Bad Manners,"Marcel Dettmann’s Bad Manners Records cough up a spunk electro-techno-EBM session by Mario Resta’s Exterminador

Delivered icy cold and clinically sharp, ‘Bad Manners 2’ loads up the flanging, wriggling electro missile ‘Bleeding From Inside’ along with the Ectomorph-esque jack hydraulics of ‘You Are Not I’, plus a massive highlight in the nagging... more",/products/bad-manners-2,https://assets.boomkat.com/spree/products/613406/product/4044693278434.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
7,strings-of-love-ep,8,Fabio Monesi,Strings of Love EP,"Fabio Monesi

              —
              Strings of Love EP
            
              (Craigie Knowes)",Craigie Knowes,,/products/strings-of-love-ep,https://assets.boomkat.com/spree/products/593988/product/8718723125796.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
8,37-minute-workout-vol-2,9,Russell Haswell,37 Minute Workout Vol. 2,"Russell Haswell

              —
              37 Minute Workout Vol. 2
            
              (Diagonal)",Diagonal,"Keenly awaited follow-up to Russell Haswell’s groundbreaking n0!ze-tekno classic of 2014 '37 Minute Workout’, a spontaneously combusting mix of analog/digital synths and modular systems edited on a computer and inspired by a visit to CERN, The European Organisation for Nuclear Research. Highly recommended if yr into Xenakis, The Latin Rascals... more",/products/37-minute-workout-vol-2,https://assets.boomkat.com/spree/products/626470/product/767870660597.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
9,dance-trax-vol-21,10,Hugo Massien,"Dance Trax, Vol. 21","Hugo Massien

              —
              Dance Trax, Vol. 21
            
              (Dance Trax)",Dance Trax,"Bare bones electro-breaks by London’s Hugo Massien, including hook-ups with DJ Haus and backed with a cracking Jenson Interceptor remix

In solo mode, Massien applies his stripped down principles to the wicked NYC/Miami/Detroit-style electro of ‘Twist & Turn’, the bendy acid funk of ‘Lust & Sound’, and the electroid deep tech shuffle of ‘Touch & Go.’ 

In... more",/products/dance-trax-vol-21,https://assets.boomkat.com/spree/products/591209/product/5056317121759.jpg,1060,Golden Armageddon,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1060
