,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,boilerroominstereo,1,Tobias Freund & Max Loderbauer,boiler room in stereo,"Tobias Freund & Max Loderbauer

            —
            boiler room in stereo",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
1,nothing,2,Kwesachu (feat. Tirzah),Nothing,"Kwesachu (feat. Tirzah)

            —
            Nothing",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
2,multistability,3,MARK FELL,Multistability,"MARK FELL

              —
              Multistability
            
              (raster-noton)",raster-noton,"SND's Mark Fell makes a late entry for one of the electronic albums of the year with his latest solo opus: 'Multistability'. As one half of SND alongside Mat Steel and solo as 'H', Mark uncompromisingly operates on the bleeding edge of digital music production. He's in possession of a beautifully rare talent; the ability to make highly academic music with an innately... more",/products/multistability,https://assets.boomkat.com/spree/products/174523/product/original.jpg,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
3,ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,4,Rian Treanor,ATAXIA,"Rian Treanor

              —
              ATAXIA
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Rotherham rave imp Rian Treanor kicks up to Planet Mu for ‘Ataxia’, his debut album following introductory EPs with The Death of Rave and Warp’s resuscitated Arcola sublabel.

Under the title ‘ATAXIA’, chosen literally for its meaning - “the loss of control of bodily movements” - as well as its figurative, asymmetric quality, Rian sequences ramped versions of his... more",/products/ataxia-e2377c79-3565-482b-bde7-d16f77ad6597,https://assets.boomkat.com/spree/products/558053/product/5055300392992_T10_Image.jpg,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
4,chasmsaccord,5,Rhythm & Noise,Chasms Accord,"Rhythm & Noise

            —
            Chasms Accord",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
5,homage-to-dick-raaijmakers,6,Thomas Ankersmit,Homage To Dick Raaijmakers,"Thomas Ankersmit

              —
              Homage To Dick Raaijmakers
            
              (Shelter Press)",Shelter Press,"Thomas Ankersmit, last seen on a pair of excellent albums for PAN and Touch (in 2011 and 2014, respectively) pays tribute to legendary Dutch composer / electronic and tape music pioneer Dick Raaijmakers with an extended study in electronic music, utilising Serge Modular feedback and sine/pulse/random generators, contact mic, and tape speed variation to mirror... more",/products/homage-to-dick-raaijmakers,https://assets.boomkat.com/spree/products/518985/product/880918231495.jpg,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
6,performanceatsynthmeet8,7,Scott Jaeger,Performance at Synth Meet 8,"Scott Jaeger

            —
            Performance at Synth Meet 8",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
7,meetmethere,8,Mark Verbos,Meet Me There,"Mark Verbos

            —
            Meet Me There",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
8,37-minute-workout-vol-2,9,Russell Haswell,37 Minute Workout Vol. 2,"Russell Haswell

              —
              37 Minute Workout Vol. 2
            
              (Diagonal)",Diagonal,"Keenly awaited follow-up to Russell Haswell’s groundbreaking n0!ze-tekno classic of 2014 '37 Minute Workout’, a spontaneously combusting mix of analog/digital synths and modular systems edited on a computer and inspired by a visit to CERN, The European Organisation for Nuclear Research. Highly recommended if yr into Xenakis, The Latin Rascals... more",/products/37-minute-workout-vol-2,https://assets.boomkat.com/spree/products/626470/product/767870660597.jpg,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
9,arthropods,10,33EMYBW,Arthropods,"33EMYBW

              —
              Arthropods
            
              (SVBKVLT)",SVBKVLT,"Shanghai’s Svbkvlt spring a killer new batch of martial steppers and pointillist ‘tronics by 33emybw to chase her blink ’n miss vinyl pressing of the ‘Golem’ LP - backed with remixes by Lechuga Zafiro, Ikonika, and Hakuna Kulala’s Don Zilla

Issued to coincide with its live premiere at Poland’s Unsound festival, ‘Arthropods’ manifests as the alien spirit twin of the... more",/products/arthropods,https://assets.boomkat.com/spree/products/612522/product/5056321604163_T11_Image.jpg,1102,Gooooose,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1102
