,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,biiri,1,Nihiloxica,Biiri,"Nihiloxica

              —
              Biiri
            
              (Nyege Nyege Tapes)",Nyege Nyege Tapes,"Devilishly strong Bugandan techno psychedelia from Uganda/UK's Nihiloxica on their 2nd release for Nyege Nyege Tapes. Huge tip if yr into Shackleton, Mark Ernestus Ndagga Rhythm Force, Konono No.1, Ninos Du Brasil...

Where Nihiloxica’s first tape saw the Nilotika Cultural Ensemble percussionists and UK’s Jacob Maskell-Key and Pete Jones tentatively find... more",/products/biiri,https://assets.boomkat.com/spree/products/566504/product/Nihiloxica_BIIRI.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
1,there-existed-an-addiction-to-blood,2,clipping.,There Existed an Addiction to Blood,"clipping.

              —
              There Existed an Addiction to Blood
            
              (Sub Pop Records)",Sub Pop Records,"This is Clipping’s transmutation of horrorcore, a purposefully absurdist sub-genre that flourished in the mid-90s.

""If some of its most notable pioneers included Brotha Lynch Hung and Gravediggaz, it also encompasses seminal works from the Geto Boys, Bone Thugs-N-Harmony, and the near-entirety of classic Memphis cassette tape rap. The most subversive and... more",/products/there-existed-an-addiction-to-blood,https://assets.boomkat.com/spree/products/613609/product/a3980257472_10.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
2,everywhere-an-empty-bliss,3,Ivan Seal & The Caretaker,"Everywhere, An Empty Bliss","Ivan Seal & The Caretaker

              —
              Everywhere, An Empty Bliss
            
              (FRAC Auvergne)",FRAC Auvergne,"Ivan Seal’s paintings have accompanied almost all of James Leyland Kirby’s output as The Caretaker over the last two decades. This comprehensive book, made to coincide with a long-in-the-making exhibition in Clermont Ferrand, France, provides a beautiful, in-depth look at their work together through 160 pages of artwork, essays and commentary from... more",/products/everywhere-an-empty-bliss,https://assets.boomkat.com/spree/products/578407/product/Caretaker_1.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
3,rusted-silicon,4,Gooooose,Rusted Silicon,"Gooooose

              —
              Rusted Silicon
            
              (SVBKVLT)",SVBKVLT,"Fresh from his highlight of Svbkvlt’s ‘Cache 01’ comp, Gooooose drops a killer flux of IDM/jungle/New beats in their 2nd album proper, backed with remixes by Sote, Sam Kerridge, and Nahash

Brilliantly following his nose along ribboning routes of rhythmic investigation, Gooooose plays on a sweet spot between the sort of frenetic late ‘90s/early ‘00s... more",/products/rusted-silicon,https://assets.boomkat.com/spree/products/581340/product/5056321600417_T11_Image.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
4,falling-not-walking-802694f0-9d03-49cd-b78c-fc2005c2b8bb,5,Air Max '97,Falling Not Walking,"Air Max '97

              —
              Falling Not Walking
            
              (DECISIONS)",DECISIONS,,/products/falling-not-walking-802694f0-9d03-49cd-b78c-fc2005c2b8bb,https://assets.boomkat.com/spree/products/617462/product/5056321604835_T5_Image.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
5,kubali,6,MC Yallah x Debmaster,Kubali,"MC Yallah x Debmaster

              —
              Kubali
            
              (Hakuna Kulala)",Hakuna Kulala,"Hakuna Kulala return with ‘Kubali’, revolving around MC Yallah’s fiercely controlled delivery matched by rugged riddims from Debmaster.

A prime showcase of east Africa’s incredibly fertile electronic dance music scene, ‘Kubali’ catches Uganda-born, Kenya-based MC Yallah step on and off 11 seriously ruffshod productions blessed with the best of both scuzzy... more",/products/kubali,https://assets.boomkat.com/spree/products/608167/product/5056321603470_T12_Image.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
6,triad-39afc0f8-650e-4661-98c7-530b3a73cdb9,7,Triad God,Triad,"Triad God

              —
              Triad
            
              (Presto!?)",Presto!?,"Cult Vietnamese-Chinese MC Triad God links with Palmistry on ‘Triad’ for Lorenzo Senni’s Presto!?, serving the follow-up to ‘NXB’, which was released in 2012 by Hippos In Tanks to widespread underground acclaim.

Palmistry again handles the lion’s share of production in ‘Triad’, matching Vinh Ngan aka Triad God’s drowsy delivery and low key intonation with careful... more",/products/triad-39afc0f8-650e-4661-98c7-530b3a73cdb9,https://assets.boomkat.com/spree/products/569550/product/5050580711150.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
7,folding-knives,8,Swimful,Folding Knives,"Swimful

              —
              Folding Knives
            
              (SVBKVLT)",SVBKVLT,,/products/folding-knives,https://assets.boomkat.com/spree/products/569203/product/5055869535915_T8_Image.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
8,cache-01,9,Various Artists,Cache 01,"Various Artists

              —
              Cache 01
            
              (SVBKVLT)",SVBKVLT,"Shanghai’s Svbkvlt cru drop a monstrously large label showcase with the Aphex Twin and Kode 9-backed ’Cache 01’ set

Destined to be one of 2019’s definitive multi-artist sets, ‘Cache 01’ speaks to the abundance of prism-pushing electronic mutants presently at work in the Far East. Where too many Western artists right now are caught in the retro-vintage... more",/products/cache-01,https://assets.boomkat.com/spree/products/575779/product/5055869536691_T14_Image.jpg,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
9,partisan,10,Circadian Rhythms,Partisan,"Circadian Rhythms

            —
            Partisan",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1062,Hyph11E,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1062
