,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,gebrauchsmusik-8873e971-7c54-4d54-86b6-87d916bff966,1,Marcus Fjellström,Gebrauchsmusik,"Marcus Fjellström

              —
              Gebrauchsmusik
            
              (Miasmah)",Miasmah,"Late, great Swedish post-classical composer Marcus Fjellstrom’s sophomore album available on vinyl for the 1st time. A collection of surreal, creepy sound stories originally issued by Lampse in 2006, now reissued by Erik Skodvin’s Miasmah, ‘Gebrauchsmusik’ is essential listening for followers of early Jóhann Jóhannsson, Akira Rabelais, Deaf Centre... more",/products/gebrauchsmusik-8873e971-7c54-4d54-86b6-87d916bff966,https://assets.boomkat.com/spree/products/606648/product/880918235028.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
1,heema-shiva-dance,2,AMRA,Heema / Shiva Dance,"AMRA

              —
              Heema / Shiva Dance
            
              (AMRA)",AMRA,"Paul Purgas (Emptyset) and Imran Perretta ruminate on a shared heritage and musical interests, sampling South Asian sound archives in post-dubstep and etheric electronic styles exploring diasporic echoes and addressing themes of mythology, futurity and the trauma of partition

Their A-side ‘Heema’ revolves around a lonely vocal phrase rendered in plangent... more",/products/heema-shiva-dance,https://assets.boomkat.com/spree/products/613421/product/8718723131933.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
2,parentalyouth,3,Jasss,Parental Youth,"Jasss

            —
            Parental Youth",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
3,ato-a04b4fdb-6a3e-4b0e-9bc2-277e093063de,4,Ziúr,ATØ,"Ziúr

              —
              ATØ
            
              (Planet Mu Records Ltd.)",Planet Mu Records Ltd.,"Ziúr meshes out a colourfully rhythmelodic mix of synth-pop vocals, lilting percussion and lush/bittersweet synths on ‘ATØ’, their 2nd album for Planet Mu

Taking in sensual cyber-tropical emulations alongside fizzing dance trax, phthalocyanine ballads and blasts of bolshy digital noise, ‘ATØ’ sees the pivotal Berlin figure sharpen up and get better to grips with... more",/products/ato-a04b4fdb-6a3e-4b0e-9bc2-277e093063de,https://assets.boomkat.com/spree/products/603467/product/5056321602824_T12_Image.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
4,dj-kicks-a316a8d1-5e32-48ba-86ab-ccfd1a2bf711,5,Laurel Halo,DJ-Kicks,"Laurel Halo

              —
              DJ-Kicks
            
              (!K7 Records)",!K7 Records,"Laurel Halo delivers a deadly instalment for DJ-Kicks with her 29-track sequence of zingers from overlapping zones of the ‘floor...

With a mercurial yet gritty flow owing as much to UK as Detroit and Durban dancefloor styles, Laurel wickedly and coherently keeps the mix in flux between alternating patterns, textures and subtly emotive tones, lacing her own... more",/products/dj-kicks-a316a8d1-5e32-48ba-86ab-ccfd1a2bf711,https://assets.boomkat.com/spree/products/564014/product/0730003737534_1448.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
5,melts-into-love,6,xin,Melts into Love,"xin

              —
              Melts into Love
            
              (Subtext Recordings)",Subtext Recordings,"xin tears out on Subtext with a vital detournement of neurofunk D&B, hardcore and dubstep dynamics in their utterly compelling debut album, including a superb link-up with Aya (fka Loft)

Leaning deeper into hypermodern dance musick after 2018’s introductory EP ‘To Shock the Sky and Shake the Earth’ and a key live show in support of Holly Herndon’s... more",/products/melts-into-love,https://assets.boomkat.com/spree/products/607238/product/A10341T000001X3N3N_T56766912870054.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
6,sutarti,7,Joshua Sabin,Sutarti,"Joshua Sabin

              —
              Sutarti
            
              (Subtext Recordings)",Subtext Recordings,"Glacial, magisterial studies in the psychoacoustics and aural phenomena of Lithuanian folk music from Joshua Sabin; exploring the emotional potency of the human voice through manipulations of archival recordings, traditional instruments and native forest ambiences.

Drawing from the folk music archives of the Lithuanian Academy of Music and Theatre... more",/products/sutarti,https://assets.boomkat.com/spree/products/592585/product/A10341T000001V333S_T55313207240054.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
7,penalties-of-love-7b56911b-779d-423f-950c-87df4eae11a0,8,Sequoyah Murray,Penalties of Love,"Sequoyah Murray

              —
              Penalties of Love
            
              (Thrill Jockey)",Thrill Jockey,"‘Penalties Of Love’ is the debut mini album from 21- year-old vocalist, multi-instrumentalist and producer Sequoyah Murray.

""Writing deeply confessional lyrics and creating abstract textured song structures, Sequoyah is a product of his time, place and borderless generation, making music that is both wildly experimental and unforgettably accessible, his lyrics... more",/products/penalties-of-love-7b56911b-779d-423f-950c-87df4eae11a0,https://assets.boomkat.com/spree/products/578291/product/491_1600.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
8,aesthesis,9,Shapednoise,Aesthesis,"Shapednoise

              —
              Aesthesis
            
              (Numbers)",Numbers,"Shapednoise cold crushes it on his long-awaited ‘Asethesis’ album for Numbers, making up for a noticeable absence from release schedules since his 2018 turn with The Sprawl

The Sicilian artist returns at his most belligerent and destructive in ‘Aesthesis’ for a ferocious demonstration of brutalist sound design tekkers, as previously scattered between releases... more",/products/aesthesis,https://assets.boomkat.com/spree/products/620734/product/5060163491638_T58374767570054.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
9,low-distance,10,Deaf Center,Low Distance,"Deaf Center

              —
              Low Distance
            
              (Sonic Pieces)",Sonic Pieces,"Scandinavian isolationists Deaf Center draw a beautiful pall over this decade with ‘Low Distance’, their first album since 2011’s ‘Owl Splinter’, arriving nearly 15 years since their debut couplet of modern classical/ambient masterpieces; the ‘Neon City EP’ and ‘Pale Ravine’.

Low Distance’ returns Erik Skodvin and Otto A. Totland to the shadowy, wintry depths of... more",/products/low-distance,https://assets.boomkat.com/spree/products/571240/product/880918233109.jpg,957,James Ginzburg,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/957
