,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,hyperchromaticaotherminds,1,Kyle Gann,Hyperchromatica (Other Minds),"Kyle Gann

            —
            Hyperchromatica (Other Minds)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
1,hyperionneos,2,Georg Friedrich-Haas,Hyperion (Neos),"Georg Friedrich-Haas

            —
            Hyperion (Neos)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
2,extractingfishbonesfromthebackofthedespoilerthebeakdoctor,3,Derek Bailey / Greg Goodman,Extracting Fish Bones From the Back of The Despoiler (The Beak Doctor),"Derek Bailey / Greg Goodman

            —
            Extracting Fish Bones From the Back of The Despoiler (The Beak Doctor)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
3,poemadebalconeswergo,4,Martin Smolka,Poema De Balcones (Wergo),"Martin Smolka

            —
            Poema De Balcones (Wergo)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
4,spaces-78073b55-b21e-4f10-85d4-54facc0a8618,5,Jos Smolders,Spaces,"Jos Smolders

              —
              Spaces
            
              (Moving Furniture Records)",Moving Furniture Records,,/products/spaces-78073b55-b21e-4f10-85d4-54facc0a8618,https://assets.boomkat.com/spree/products/559552/product/193483068619.jpg,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
5,nts-sessions,6,AUTECHRE,NTS Sessions,"AUTECHRE

              —
              NTS Sessions
            
              (Warp Records)",Warp Records,"Autechre weigh in the labyrinthine 8 hour ‘NTS Sessions’, parsing the guts of their hard drives for gold and other precious materials dating back to 2011

The duo were initially commissioned to do a DJ residency on NTS, following their show from early 2016, but what transpired is closer in approach and results to a super extended Peel Session, featuring stacks... more",/products/nts-sessions,https://assets.boomkat.com/spree/products/513354/product/WARP364_Packshot_1400.jpg,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
6,harmoniumnewworldrecords,7,James Tenney,Harmonium (New World Records),"James Tenney

            —
            Harmonium (New World Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
7,duets1992triplepointrecords,8,Cecil Taylor / Bill Dixon,Duets 1992 (Triple Point Records),"Cecil Taylor / Bill Dixon

            —
            Duets 1992 (Triple Point Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
8,shadow-position,9,Strafe F.r.,Shadow Position,"Strafe F.r.

              —
              Shadow Position
            
              (Touch)",Touch,"Amorphous sci-fi electronica sound designs by long-running German duo Strafe Für Rebellion, fringing on abstract techno and the kind of mutant avant-classical material found on Subtext

“There are four tracks, four different windows to look out from our studio in Düsseldorf into the street and their different layers of sound. Four horizons, four spy holes in the... more",/products/shadow-position,https://assets.boomkat.com/spree/products/619911/product/5050580719682.jpg,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
9,anticlimaspaziodihausdorff,10,Enrico Piva,Anticlima (Spazio di Hausdorff),"Enrico Piva

            —
            Anticlima (Spazio di Hausdorff)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,938,Jim O’Rourke,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/938
