,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,earlierheaven,1,Worldwide Zen,Earlier Heaven,"Worldwide Zen

            —
            Earlier Heaven",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
1,swimmersincircle,2,Worldwide Zen,Swimmers In Circle,"Worldwide Zen

            —
            Swimmers In Circle",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
2,anthologyofcontemporarymusicfrommiddleeastsoundsgroupproductions,3,Various Artists,Anthology of Contemporary Music From Middle East (Sounds Group Productions),"Various Artists

            —
            Anthology of Contemporary Music From Middle East (Sounds Group Productions)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
3,andanythingelsefromtheunexplainedsoundsgroupproductions,4,,And anything else from the unexplained Sounds Group Productions,And anything else from the unexplained Sounds Group Productions,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
4,premiumgardensweevilneighbourhood,5,Katsunori Sawa,Premium Gardens (Weevil Neighbourhood),"Katsunori Sawa

            —
            Premium Gardens (Weevil Neighbourhood)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
5,captured-entities,6,H-FUSION,Captured Entities,"H-FUSION

              —
              Captured Entities
            
              (The Death Of Rave)",The Death Of Rave,"Cult Detroit DJ/producer Howard Thomas aka H-Fusion supplies a crackshot debut album of psycho-jit-jazz and rugged raw house on The Death of Rave following his secret weapon 12”s and trax for Sound Signature, Transmat and Fit between 2005-2012. Spanning a hands-on, tracky style ranging from 170bpm Jit missiles to ruff but romantic house and beatless... more",/products/captured-entities,https://assets.boomkat.com/spree/products/609755/product/RAVE027_Distriburion_Preview.jpg,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
6,isis-and-thoth,7,Body Without Organs,Isis and Thoth,"Body Without Organs

              —
              Isis and Thoth
            
              (Dark Entries Records)",Dark Entries Records,,/products/isis-and-thoth,https://assets.boomkat.com/spree/products/578050/product/192641291845.jpg,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
7,rareappearancetaxfreerecords,8,DJ Neumann,Rare Appearance (Tax Free Records),"DJ Neumann

            —
            Rare Appearance (Tax Free Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
8,allreleases,9,Avon Terror Corps,All releases,"Avon Terror Corps

            —
            All releases",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
9,5gtour5gatetemple,10,John T. Gast,5GTOUR (5 Gate Temple),"John T. Gast

            —
            5GTOUR (5 Gate Temple)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
10,witchcraftblackmagicintheunitedkingdomeighthtowerrecords,11,Various Artists,Witchcraft & Black Magic In The United Kingdom (Eighth Tower Records),"Various Artists

            —
            Witchcraft & Black Magic In The United Kingdom (Eighth Tower Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
11,distorteddesirevastechoses,12,Various Artists,Distorted Desire (Vastechoses),"Various Artists

            —
            Distorted Desire (Vastechoses)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1044,Krikor,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1044
