,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,drankmontage,1,Épong,Drank - Montage,"Épong

            —
            Drank - Montage",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
1,ilkofgeistspa004,2,Yre Den,Ilk Of Geist - SPA004,"Yre Den

            —
            Ilk Of Geist - SPA004",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
2,dusselcore,3,Tera Octe,Dusselcore,"Tera Octe

              —
              Dusselcore
            
              (Boosterpack)",Boosterpack,"PRR! PRR! troll the dance with two club-foot stompers by Dusselcore aka the mutants behind DJ David Goblin, Battle Break, An Ultimate DJ and all that madness

Belgium’s baddest crew this side of Barnier and Verhofstadt lay down new EU dance law with two ramrods of slow-mo hardstyle dragged to a reggaeton-compatible 100bpm and run thru with beastly vocals... more",/products/dusselcore,https://assets.boomkat.com/spree/products/612462/product/boosterpackk.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
3,litanicclothwrungidealrecordingsliveperformanceatboursebrusselsnovember2019,4,Kali Malone,Litanic Cloth Wrung - iDEAL Recordings (live performance at Bourse - Brussels - November 2019),"Kali Malone

            —
            Litanic Cloth Wrung - iDEAL Recordings (live performance at Bourse - Brussels - November 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
4,virgin-traf-22,5,Low Jack,Virgin Traf 22 / Grass 29,"Low Jack

              —
              Virgin Traf 22 / Grass 29
            
              (NOT ON LABEL)",NOT ON LABEL,"Surprise, self-released red-label dancehall wreckage from Low Jack’s anti-nuke riddims series - strong moves riffing on a late ‘90s ragga sound with extra noise and zipped-in edits = murdah!!!

The baddest dancehall/dembow mutant on road right now, Low Jack is a prime mover in the gully between dark, technoid electronics, noise and Caribbean music proper... more",/products/virgin-traf-22,https://assets.boomkat.com/spree/products/609319/product/LowJack-FlatImage.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
5,do-the-spider-shimmy,6,Beau Wanzer,Do The Spider Shimmy,"Beau Wanzer

              —
              Do The Spider Shimmy
            
              (Suction)",Suction,"From the frazzled mind and wires of Beau Wanzer c. 2000-2003, ‘Do The Spider Shimmy’ offers a peek into his archive predating everything else he’s issued over the past decade under multiple pseudonyms

Recently unearthed by Suction co-founder Solvent, the EP’s 6 tracks hark back to a time when Wanzer was working at Chicago’s Weekend Records and... more",/products/do-the-spider-shimmy,https://assets.boomkat.com/spree/products/608313/product/1767a9e4-b1f8-4697-85a5-acf87a7e8f48.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
6,draptunreleased,7,Iueke,Drapt - Unreleased,"Iueke

            —
            Drapt - Unreleased",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
7,headflush,8,Leila Bordreuil,Headflush,"Leila Bordreuil

              —
              Headflush
            
              (Catch Wave Ltd.)",Catch Wave Ltd.,"The label behind Dominique Lawalree’s much-adored compilation pick out a real abstract beauty by cellist Leila Bordreuil for their 4th release, coming off like some dream meeting of Anne Guthrie and Kevin Drumm as overseen by Eliane Radigue.

Recorded in a single afternoon in Brooklyn, Leila’s debut album of unprocessed amplified cello recordings in... more",/products/headflush,https://assets.boomkat.com/spree/products/597591/product/5050580720800.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
8,falling-not-walking-802694f0-9d03-49cd-b78c-fc2005c2b8bb,9,Air Max '97,Falling Not Walking,"Air Max '97

              —
              Falling Not Walking
            
              (DECISIONS)",DECISIONS,,/products/falling-not-walking-802694f0-9d03-49cd-b78c-fc2005c2b8bb,https://assets.boomkat.com/spree/products/617462/product/5056321604835_T5_Image.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
9,slip-b,10,Slikback & Hyph11E,Slip B,"Slikback & Hyph11E

              —
              Slip B
            
              (SVBKVLT)",SVBKVLT,"In the 2nd of two hot drops, Kenya’s Slikback dices with Hyph11E in a wild dissection and fusion of East/Central African rhythms with jungle, footwork, and f*ck-knows-what-u-call-it

Jamming your radars with strained signals at the start of ‘ISHU’, they barrel into a sort of tribal footwork trample spun out with sweltering metallic noise, establishing a hectic... more",/products/slip-b,https://assets.boomkat.com/spree/products/607125/product/5056321603371_T6_Image.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
10,ruthlesspeopleunknownprecept,11,Stallone the Reducer,Ruthless People - Unknown Precept,"Stallone the Reducer

            —
            Ruthless People - Unknown Precept",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
11,energolnonarecords,12,Uj Bàla,Energol - Nona Records,"Uj Bàla

            —
            Energol - Nona Records",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
12,an-i-unhuman,13,An-i & Unhuman,Five to Nine,"An-i & Unhuman

              —
              Five to Nine
            
              (L.I.E.S.)",L.I.E.S.,"Noisy, cutthroat EBM sluggers from Lee Douglas’ revered An-i and Greek producer Unhuman

Leaving us without a beat to jak to since 2014’s cultishly-approved ‘Kino-i’ 12” on Cititrax, five years later An-i makes a very welcome return in tandem with Berlin-based Unhuman, going on like the bastard offspring of Tuning Circuits and Liquid G with the grubby pelt of... more",/products/an-i-unhuman,https://assets.boomkat.com/spree/products/612303/product/4044693292546.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
13,split-8370548f-8dbd-4c91-9832-77befbc02d72,14,Tzusing / M.E.S.H,Split,"Tzusing / M.E.S.H

              —
              Split
            
              (PAN)",PAN,"PAN kick off a super limited, 5-part, club-ready, hand-stamped white label series with killer cuts by Tzusing and M.E.S.H., available in a run of 300 copies.

Uptown, Shanghai’s Tzusing slows sino-grime down, battered with ballstic punctuation and dramatic strings in the first part, before sidewinding into an industrial dancehall style cheered on by shrieking vox in... more",/products/split-8370548f-8dbd-4c91-9832-77befbc02d72,https://assets.boomkat.com/spree/products/568523/product/PAN95.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
14,anotherlifepanliveperformanceatanciennebelgiquebrusselsapril2019,15,Amnesia Scanner,Another Life - Pan (live performance at Ancienne Belgique - Brussels - April 2019),"Amnesia Scanner

            —
            Another Life - Pan (live performance at Ancienne Belgique - Brussels - April 2019)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
15,santamariaumgrecordingsinc,16,Bad Gyal ft. Busy Signal,"Santa Maria - UMG Recordings, Inc.","Bad Gyal ft. Busy Signal

            —
            Santa Maria - UMG Recordings, Inc.",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
16,ritme-jaavdanegi,17,Mohammad Reza Mortazavi,Ritme Jaavdanegi,"Mohammad Reza Mortazavi

              —
              Ritme Jaavdanegi
            
              (LATENCY)",LATENCY,"Award-winning Iranian percussionist Mohammad Reza Mortazavi describes the rhythm of eternity or ‘Ritme Jaavdanegi’ in eight transfixing ways on his first vinyl album, following 12”s with Padre Himalaya and Burnt Friedman’s Nonplace in recent years.

A prodigious child student turned absolute master of the tombak - a traditional Iranian drum famed for its... more",/products/ritme-jaavdanegi,https://assets.boomkat.com/spree/products/619685/product/194491535711.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
17,atmospheric-entry-ep,18,W3C,Atmospheric Entry EP,"W3C

              —
              Atmospheric Entry EP
            
              (COLD RECORDINGS)",COLD RECORDINGS,"Radgy, technoid ruff ’n tumble by a new, Latvia-based colt from Pinch’s Cold stable.

Fierce methyl tackle in four parts, lashing out with pronged modular noise and scrabbling drum patterns in Atmospheric Entry, before the cavernous Bile comes off like a room recording from a rave in the Saw warehouse, all distant percussion, serrated... more",/products/atmospheric-entry-ep,https://assets.boomkat.com/spree/products/424133/product/5065002108234.jpg,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
18,daemonveildeadbeats,19,Eprom & G Jones,Daemon Veil - Deadbeats,"Eprom & G Jones

            —
            Daemon Veil - Deadbeats",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1097,Maoupa,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1097
