,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,avatarbluepacificcitysoundvision,1,Star Searchers,Avatar Blue (Pacific City Sound Vision),"Star Searchers

            —
            Avatar Blue (Pacific City Sound Vision)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
1,whoisexperimentalmusicnotonlabel,2,Lolina,Who Is Experimental Music? ‎(Not On Label),"Lolina

            —
            Who Is Experimental Music? ‎(Not On Label)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
2,alertalterrecords,3,Various,ALERT! (Alter Records),"Various

            —
            ALERT! (Alter Records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
3,23alphabetselfreleased,4,Manisdron,23 Alphabet (Self Released),"Manisdron

            —
            23 Alphabet (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
4,thefluidcomputerkraak,5,Floris Van Hoof,The Fluid Computer (KRAAK),"Floris Van Hoof

            —
            The Fluid Computer (KRAAK)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
5,ewtyouth,6,Iueke,Ewt (Youth),"Iueke

            —
            Ewt (Youth)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
6,matstudio-2,7,Matstudio (Jonny Nash & SK U KNO),MATstudio 2,"Matstudio (Jonny Nash & SK U KNO)

              —
              MATstudio 2
            
              (Melody As Truth)",Melody As Truth,"Melody As Truth’s Jonny Nash and Suzanne Kraft make time feel precious, sublime yet impending with the slow urgency of their 2nd outing as MATstudio.

Aside from the pair’s more polished productions, both solo and in collaboration, their MATstudio output reveals more steeply psychedelic and abstract space between the notes of Nash & Kraft’s... more",/products/matstudio-2,https://assets.boomkat.com/spree/products/592571/product/A10341T000001V4ZQP_T55365319140054.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
7,fortherestoftheworldcdr,8,Anode Cathode,For The Rest Of The World (CDR),"Anode Cathode

            —
            For The Rest Of The World (CDR)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
8,on-the-streets-of-new-york,9,MOONDOG,On The Streets Of New York,"MOONDOG

              —
              On The Streets Of New York
            
              (MISSISSIPPI)",MISSISSIPPI,,/products/on-the-streets-of-new-york,https://assets.boomkat.com/spree/products/624502/product/940382.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
9,all-my-people-bc997ebc-0373-449c-aba3-93d0419137a9,10,Maria Somerville,All My People,"Maria Somerville

              —
              All My People
            
              (NOT ON LABEL)",NOT ON LABEL,"We detect a star is born with Maria Somerville’s outstanding debut album of dream-pop, drawing from traditional Irish folk themes and ambient electronics, and part recorded in the Gaeltacht - a Gaelic speaking area - and islands on the Irish Atlantic coast. RIYL Julia Holter, Casino Vs Japan, Broadcast...

“Building from a reputation of enthralling live shows... more",/products/all-my-people-bc997ebc-0373-449c-aba3-93d0419137a9,https://assets.boomkat.com/spree/products/557928/product/LP_COVER.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
10,liveatbutcherstearsamsterdam,11,Gossiwor with Tim Koh,"Live at Butcher's Tears, Amsterdam","Gossiwor with Tim Koh

            —
            Live at Butcher's Tears, Amsterdam",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
11,ayepapiplanetrescue,12,Montel Palmer,Aye Papi (Planet Rescue),"Montel Palmer

            —
            Aye Papi (Planet Rescue)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
12,secretsselfreleased,13,Seamus Cater & Kai Fagaschinski,Secrets (Self Released),"Seamus Cater & Kai Fagaschinski

            —
            Secrets (Self Released)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
13,bad5gatetemple,14,John T.Gast,Bad (5 Gate Temple),"John T.Gast

            —
            Bad (5 Gate Temple)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
14,euganea,15,UPPERGROUND ORCHESTRA,Euganea,"UPPERGROUND ORCHESTRA

              —
              Euganea
            
              (Morphine Records)",Morphine Records,"Rabih Beaini’s Morphine label rouses from a long hiatus with a killer blast of Sun Ra-skooled cosmic techno jazz.

Last spotted in 2017 introducing solo projects by Senyawa, who have gone on to worldwide acclaim, Morphine Doser doesn’t miss a beat with this immersive session of live instrumental and electronic jams recorded by Rabih Beaini and his pals... more",/products/euganea,https://assets.boomkat.com/spree/products/619039/product/0645638531726.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
15,the-pilot-34c8aa9b-a85f-4c4e-a141-65069e504461,16,Davy Kehoe,The Pilot,"Davy Kehoe

              —
              The Pilot
            
              (Wah Wah Wino)",Wah Wah Wino,"Davy Kehoe fronts this mesmerising krautrock crawler for the cult Wah Wah Wino crew, flanked by fellow winos Brendan, B Man, and Morgan Buckley, who also mixed and edited the thing.

So yeh while it’s Davy’s name at the top, as with all Wah Wah Wino releases, it’s really a group effort and not hard it hear the influence of more than one cook up in the mix. Up top... more",/products/the-pilot-34c8aa9b-a85f-4c4e-a141-65069e504461,https://assets.boomkat.com/spree/products/572536/product/WINO004.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
16,fool-for-love-27fd2e53-7c23-4ac4-9af1-66701f7fbfa4,17,REX ILUSIVII,Fool For Love,"REX ILUSIVII

              —
              Fool For Love
            
              (R=A)",R=A,"The guess-again label R=A pull out a mystic beauty by Mitar Subotic (Suba) aka Rex Ilusivii (King of Illusions) following unarchived issues of his exceptional work by Vladimir Ivkovic’s Offen Music and Gilb’R’s Versatile in recent years.

‘Fool For Love’ is a poetic 23 minute synthscape rescued from the mists of time (recording date is unknown, but likely mid/late... more",/products/fool-for-love-27fd2e53-7c23-4ac4-9af1-66701f7fbfa4,https://assets.boomkat.com/spree/products/609350/product/RexI.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
17,live,18,Rabih Beaini & Tomoko Mukaiyama,Live,"Rabih Beaini & Tomoko Mukaiyama

            —
            Live",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
18,haggissandwich,19,Container & Max Eilbacher,HaggisSandwich,"Container & Max Eilbacher

            —
            HaggisSandwich",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
19,monkey-formula,20,Aardvarck,Monkey Formula,"Aardvarck

              —
              Monkey Formula
            
              (Crowd)",Crowd,"Obscure Compilation of mainly unreleased Aardvarck material from Aardvarck - ambient tracks and deep moody beat science gems...

""The Monkey Formula is a compilation of largely unreleased material, although one track was originally featured on a Music For Speakers CD compilation back in 2000. The record is a blissful drift into the looping, reverb drenched... more",/products/monkey-formula,https://assets.boomkat.com/spree/products/589969/product/2_2.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
20,uguisudani-apocalypse,21,The Gerogerigegege,Uguisudani Apocalypse,"The Gerogerigegege

              —
              Uguisudani Apocalypse
            
              (The Trilogy Tapes)",The Trilogy Tapes,"Blazing, funky curveball by living J-noise legends The Gerogerigegege on indomitable label The Trilogy Tapes

Working under one of the sickest names out there, The Gerogerigegege (translates as Japanese onomatopoeia for spewing and pooing yourself simultaneously) have carved out a singular catalogue of lascivious antics since the mid ‘80s for some of the... more",/products/uguisudani-apocalypse,https://assets.boomkat.com/spree/products/605896/product/TTT.jpg,1074,Mark Cremins,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1074
