,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,chile,1,,Chile,Chile,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
1,havinglandeddirectlyatthestartofthiscountrysongoingprotestriotuprisingiwitnessedthebiggestpartyandmostincrediblesoundiveeverexperiencedthepeopleunitedwillcreatethemostmindblowingmusicalracket,2,,Having landed directly at the start of this country's ongoing protest/riot/uprising. I witnessed the biggest party and most incredible sound I’ve ever experienced. The people united will create the most mind blowing musical racket.,Having landed directly at the start of this country's ongoing protest/riot/uprising. I witnessed the biggest party and most incredible sound I’ve ever experienced. The people united will create the most mind blowing musical racket.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
2,oroskllansmusikaliskaresaitromissmodochfantasilpfrlagfrfrimusik,3,Oroskällan,"Oroskällans musikaliska resa i tro, missmod och fantasi LP (Förlag För Fri Musik)","Oroskällan

            —
            Oroskällans musikaliska resa i tro, missmod och fantasi LP (Förlag För Fri Musik)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
3,utterlyfantasticrecordofintimatecharmandmagicmirthialsolikethatthesleeveisstapledonthesidetherecordcomesouthaveneverseenthat,4,,Utterly fantastic record of intimate charm and magic mirth. I also like that the sleeve is stapled on the side the record comes out. Have never seen that.,Utterly fantastic record of intimate charm and magic mirth. I also like that the sleeve is stapled on the side the record comes out. Have never seen that.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
4,zessseventhrecords,5,Magma,Zess (Seventh records),"Magma

            —
            Zess (Seventh records)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
5,themostjoyfulrecordingmadethusfarbythemessentialaudioointmenttobalancethisohsodarkyear,6,,The most joyful recording made thus far by them. Essential audio ointment to balance this oh so dark year.,The most joyful recording made thus far by them. Essential audio ointment to balance this oh so dark year.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
6,siltentracte,7,K. Mulhern,Silt (Entr'acte),"K. Mulhern

            —
            Silt (Entr'acte)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
7,greatdebutofsophisticatedsoundcollageandpoetryseemstohavebypassedmanysleepnomore,8,,Great debut of sophisticated sound collage and poetry. Seems to have bypassed many. Sleep no more.,Great debut of sophisticated sound collage and poetry. Seems to have bypassed many. Sleep no more.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
8,brandonbanksbigpersona,9,Maxo Kream,Brandon Banks (Big Persona),"Maxo Kream

            —
            Brandon Banks (Big Persona)",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
9,everyreleasealwayslollivealso,10,,Every release. Always. LOL live also.,Every release. Always. LOL live also.,,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1105,Mark Harwood,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1105
