,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,all-we-have-is-speed-all-we-have-is-glue,1,Call Super,All We Have Is Speed / All We Have Is Glue,"Call Super

              —
              All We Have Is Speed / All We Have Is Glue
            
              (Peach Discs)",Peach Discs,"Call Super provides the seventh Peach for Shanti Celeste and Gramrcy.

“Wow, slightly furry” – Peach, DJ.

“Oh dear we’re down to glue and speed” – Pete Each, Waste Services Manager.
            more",/products/all-we-have-is-speed-all-we-have-is-glue,https://assets.boomkat.com/spree/products/619777/product/5050580727045.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
1,forever-mix-ep,2,Kasper Marott,Forever Mix EP,"Kasper Marott

              —
              Forever Mix EP
            
              (Kulør)",Kulør,,/products/forever-mix-ep,https://assets.boomkat.com/spree/products/590204/product/4044693347819.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
2,ardeu,3,DJ Firmeza,Ardeu,"DJ Firmeza

              —
              Ardeu
            
              (Príncipe)",Príncipe,"From the crucible of Lisbon’s renowned club scene, DJ Firmeza fulminates four cuts of roiling Batida rhythm and free-spirited vocals in a kuduro (hard-ass) style for his return to the indomitable Príncipe. This one's murder!!

Leading on from his 2015 solo debut 12” and numerous international DJ forays, Firmeza’s ‘Ardeu’ sees him inject devilish detail into his... more",/products/ardeu,https://assets.boomkat.com/spree/products/607253/product/Cover.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
3,it-should-be-us,4,ANDY STOTT,It Should Be Us,"ANDY STOTT

              —
              It Should Be Us
            
              (Modern Love)",Modern Love,"Andy Stott’s first release since 2016 and first EP since 2011, ‘It Should Be Us’ is a double EP of slow and raw productions for the club, recorded this year and following on from a series of EP’s that started with ‘Passed Me By’ and ‘We Stay Together’ early this decade. 

Recorded fast and loose over the summer, these 9 tracks (8 on the vinyl) harness a pure and... more",/products/it-should-be-us,https://assets.boomkat.com/spree/products/622025/product/Cover.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
4,tangerine-e24231ae-2e7c-4934-941f-08843a6d7b59,5,Shanti Celeste,Tangerine,"Shanti Celeste

              —
              Tangerine
            
              (Peach Discs)",Peach Discs,"Debut album time for one of the UK’s revered deep DJ/producers, making good on the reputation she’s earned since her 2013 debut and ensuing, globe-trotting DJ slots.

Following several 12”s issued on her Peach Discs label, Idle Hands, Future Times and others, ’Tangerine’ spells out Shanti’s tastes in clear, crisp strokes of hyaline ambience, tumpin’ house... more",/products/tangerine-e24231ae-2e7c-4934-941f-08843a6d7b59,https://assets.boomkat.com/spree/products/618793/product/5050580727052.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
5,endorphins,6,Octavian,Endorphins,"Octavian

            —
            Endorphins",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
6,blue-spring-3e39a0af-0d5a-4510-b252-599b0d12b234,7,Nathan Micay,Blue Spring,"Nathan Micay

              —
              Blue Spring
            
              (LuckyMe)",LuckyMe,"Nathan Micay pursues the ‘Akira’ manga obsession of his Bwana EP ‘The Capsule’s Pride’ into speculative fictional zones with ‘Blue Spring’, reimagining the pivotal Castlemorton Common rave of 1992 as clash between “a young data miner rebel… and the ranks of a futuristic police state” at a woodland party in the future. To be fair, there won’t be any woods to... more",/products/blue-spring-3e39a0af-0d5a-4510-b252-599b0d12b234,https://assets.boomkat.com/spree/products/569147/product/5060384614663.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
7,bromley-still-moving,8,Joy Overmono,Bromley / Still Moving,"Joy Overmono

              —
              Bromley / Still Moving
            
              (XL Recordings)",XL Recordings,"Joy Orbison & the Overmono bro’s tweak out an intricate, cantering minimal techno groove and a ragged, abstract rave roller on their debut collaborative EP for XL

Named after the location of Overmono’s studio, ‘Bromley’ swaggers out with a sort of syncopated minimal techno groove full of scurrying details and swinging London dance heft. But ‘Still Moving’ is the... more",/products/bromley-still-moving,https://assets.boomkat.com/spree/products/624843/product/191404100158_T58576980680054.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
8,poly011,9,Overmono,POLY011,"Overmono

              —
              POLY011
            
              (POLY KICKS)",POLY KICKS,"Contrasting slices of melodic breakbeat techno and scuzzy ambient abstraction from the Overmono siblings

‘Le Tigre’ rolls out like Four Tet after a double espresso with well mannered, rolling kicks and predictably resolving chord progressions. However, their ‘Salt Mix’ is a few shades more interesting, schizzily vacillating gobs of techno with... more",/products/poly011,https://assets.boomkat.com/spree/products/615416/product/5050580726277.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
9,pleats-plead,10,DJ Plead,Pleats Plead,"DJ Plead

              —
              Pleats Plead
            
              (Nervous Horizon)",Nervous Horizon,"DJ Plead’s hugely in-demand battery ‘Pleats Plead’ is now available to download

Bringing her best Mahraganat drums to the table in a signature style lying between OG oingy boingy dubstep, Electro Chaabi and brokebeat techno, Plead stuffs the EP with devilish dancefloor rhythms thru the darting, syncopated drums and flutes of ‘Baharat’, the gremlinoid chatter of... more",/products/pleats-plead,https://assets.boomkat.com/spree/products/559982/product/5050580708525.jpg,1004,Parris,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1004
