,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,the-entertainer-ee771114-acc0-4f26-a179-88ce74dc319d,1,Alex Twomey,The Entertainer,"Alex Twomey

              —
              The Entertainer
            
              (Recital)",Recital,"Another heart-rending beauty from Sean McCann’s Recital, following superb LPs by Sarah Davachi and R.I.P. Hayman with Alex Twomey’s first album under his own name. Featuring stately, immersive compositions for brass, strings, solo piano, woodwind and electronics, it’s a startling, full-bodied approach that places 'The Entertainer’ well outside the current... more",/products/the-entertainer-ee771114-acc0-4f26-a179-88ce74dc319d,https://assets.boomkat.com/spree/products/593854/product/880918234861.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
1,big-room-907249b9-879c-48e2-bad7-38cb446c2887,2,Ulla Straus,Big Room,"Ulla Straus

              —
              Big Room
            
              (Quiet Time Tapes)",Quiet Time Tapes,"‘bblisss’ comp contributor Ulla Straus diffuses herself into the sublime, gauzy ambience of ‘Big Room’ for Quiet Time Tapes

Arriving in the glistening wake of instalments by Kareem Lotfy, Debit, and peer Huerco S, ‘Big Room’ is Ulla’s definitive statement to date, convicting a sublime soul through 8 gaseous, harmonised dimensions with sweet highlights in the... more",/products/big-room-907249b9-879c-48e2-bad7-38cb446c2887,https://assets.boomkat.com/spree/products/572883/product/0810762038865.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
2,elder-mantis,3,Black Taffy,Elder Mantis,"Black Taffy

              —
              Elder Mantis
            
              (Leaving Records)",Leaving Records,"If Bibio and Express Rising make a record together, it might sound a lot like the dusty, nostalgic wow and flutter of ‘Elder Mantis’ by Black Taffy, an alias of This Will Destroy You bassist Donovon Jones. Stoke your pipe and nod along

“Black Taffy (Donovan Jones) is a Dallas-based composer and performer whose current focus lies in pairing ambient music with... more",/products/elder-mantis,https://assets.boomkat.com/spree/products/560004/product/0659457524432_T51228776050054.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
3,the-mantra-recordings,4,The Chi Factory,The Mantra Recordings,"The Chi Factory

              —
              The Mantra Recordings
            
              (Astral Industries)",Astral Industries,"The Chi Factory unfurl lushly overgrown 4th world drones, voices and field recordings made on a greek island, naturally drifting between time-slowing beats, FM radio interference, and languid instrumentation in four parts that describe a transition from dawn to dusk...

“Dedicated to the life and work of Robert Lax (1915-2000), the American poet who... more",/products/the-mantra-recordings,https://assets.boomkat.com/spree/products/559460/product/8718723116497.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
4,get-centred,5,JOE,Get Centred,"JOE

              —
              Get Centred
            
              (Cómeme)",Cómeme,"Rhythmatician Joe works up his first set of riddims in two years with the ‘Get Centred’ session for Cómeme

Making a natural fit for the slinky tastes of Matias Aguayo’s label, Joe continues in pursuit of a slinky Afro-Latinate spirit on all three cuts, including a very handy run into slower tempo on the writhing centrepiece ‘Line To Earth.’

To kick off, ‘Get Centred’... more",/products/get-centred,https://assets.boomkat.com/spree/products/606064/product/Comeme51_JOE_final_sleevesticker.jpeg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
5,inswarm,6,In Swarm,In Swarm,"In Swarm

            —
            In Swarm",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
6,tracks-for-movement,7,Vorhees,Tracks for Movement,"Vorhees

              —
              Tracks for Movement
            
              (Styles Upon Styles)",Styles Upon Styles,,/products/tracks-for-movement,https://assets.boomkat.com/spree/products/605726/product/634457916944_T10_Image.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
7,artificialfairytales,8,Alice Cohen,Artificial Fairytales,"Alice Cohen

            —
            Artificial Fairytales",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
8,quiet-signs,9,Jessica Pratt,Quiet Signs,"Jessica Pratt

              —
              Quiet Signs
            
              (City Slang / Mexican Summer)",City Slang / Mexican Summer,"Jessica Pratt’s exceedingly strange, seemingly sped up but ultimately completely immersive vocals are in haunting/beguiling effect on her 3rd album following an eponymous 2012 debut and ‘On Your Own Love Again’ [Drag City, 2015]. You’re either going to think the engineer is taking the piss or you’ll fall heavy under her spell - count us firnly under the... more",/products/quiet-signs,https://assets.boomkat.com/spree/products/539859/product/184923123968.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
9,resavoir,10,Resavoir,Resavoir,"Resavoir

              —
              Resavoir
            
              (International Anthem)",International Anthem,,/products/resavoir,https://assets.boomkat.com/spree/products/588441/product/0603784912042_1448.jpg,1117,Phil Tortoroli,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/1117
