,item_id,rank,artist,release,title_full,label,description,boomkat_url,img_url,chart_id,chart_curator,chart_year,chart_url
0,tqaseem-mqamat-el-haram-2016-2019,1,1127,Tqaseem Mqamat El Haram 2016-2019,"1127

              —
              Tqaseem Mqamat El Haram 2016-2019
            
              (NASHAZPHONE)",NASHAZPHONE,"The unmissable, head-twisting debut LP by Cairo's 1127 returns on a special one-off clear vinyl pressing for those who missed its shockwaves for the first time back in summer 2019, now including a bonus tape of previously unreleased, utterly crushing material from his 2016-2019 archive. Huge recommendation if you're into Autechre, Arca, Crowww... more",/products/tqaseem-mqamat-el-haram-2016-2019,https://assets.boomkat.com/spree/products/584055/product/1127_Best-of_2019.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
1,ecstatic-computation-95212383-d32c-4ece-9011-8cc538af1046,2,Caterina Barbieri,Ecstatic Computation,"Caterina Barbieri

              —
              Ecstatic Computation
            
              (Editions Mego)",Editions Mego,"Caterina Barbieri somehow recalls both Laurie Spiegel and Lorenzo Senni on her staggering debut album for Editions Mego, with ‘Ecstatic Computation’ yielding her most striking and accessible experiments in pointedly explorative synthesis

Working at the point where deep, learned R&D meets sophisticated expression of soul, ‘Ecstatic Computation’ is one of those... more",/products/ecstatic-computation-95212383-d32c-4ece-9011-8cc538af1046,https://assets.boomkat.com/spree/products/572560/product/5050580711310.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
2,luna-nueva,3,Clara! Y Maoupa,Luna Nueva,"Clara! Y Maoupa

              —
              Luna Nueva
            
              (Editions Gravats)",Editions Gravats,"Reggaeton experimenters DJ Clara! and Maoupa Mazzocchetti exert a tripped-out spin on modern Latin dance and vintage Galician folk styles for Low Jack’s boundary-stepping club division of Editions Gravats.

Following the duo’s 2018 debut EP and Clara!’s ‘Meiga de Acero’ single in 2019 for Les Disques De La Bretagne, ‘Luna Nueva’ binds the duo’s astrological... more",/products/luna-nueva,https://assets.boomkat.com/spree/products/621147/product/Clara!-Y-Maoupa_Distribution_Preview_!.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
3,barracas-barrocas,4,Fernando Falcão,Barracas Barrocas,"Fernando Falcão

              —
              Barracas Barrocas
            
              (Optimo Music Selva Discos)",Optimo Music Selva Discos,"Selva Discos return with a reissue of this rare 2nd LP by “water maestro” Fernando Falçao following acclaimed salvages of music by Maria Stumpf and Barbatuques, and a reshuffle at label HQ.

‘Barracas Barrocas’ sees Falçao in pursuit of natural and supernatural Brazilian jazz spirits into experimental ambient interzones, using judiciously applied FX and layered... more",/products/barracas-barrocas,https://assets.boomkat.com/spree/products/602516/product/4250101408915.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
4,ep-two-cece7bdb-cd02-4dc0-813e-51b27b25922c,5,Galya Bisengalieva,EP Two,"Galya Bisengalieva

              —
              EP Two
            
              (NOMAD Music Productions)",NOMAD Music Productions,"Remarkable set of compositions for violin that more or less reshapes what we know of the instrument in three different but equally startling and compelling ways. Oh there’s also an incredible remix from Actress as a digital bonus, did we say? What a f#cking record!

The fact that Galya Bisengalieva's pedigree working with everyone from Radiohead to Frank Ocean is... more",/products/ep-two-cece7bdb-cd02-4dc0-813e-51b27b25922c,https://assets.boomkat.com/spree/products/593693/product/Cover.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
5,claytabletshoardedcreaturesassortedperformances,6,Kelly Jayne Jones,"Clay Tablets, Hoarded Creatures + assorted performances","Kelly Jayne Jones

            —
            Clay Tablets, Hoarded Creatures + assorted performances",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
6,lifetime-3ca1a574-38c1-4dea-b259-90657947b6a2,7,Klein,Lifetime,"Klein

              —
              Lifetime
            
              (ijn inc.)",ijn inc.,"‘Lifetime’ is the debut album proper by visionary collagist/producer/vocalist Klein, following from 2016’s head-spinning introduction made with ‘Only’. Recorded by Klein over the past 18 months and issued on her own label, inj inc., the album renders her mosaic of ideas taken from Gospel composer James Cleveland to film pioneer Spencer Williams and 18th... more",/products/lifetime-3ca1a574-38c1-4dea-b259-90657947b6a2,https://assets.boomkat.com/spree/products/607233/product/5050580721890.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
7,livefestivaliminenteportugal,8,Linn Da Quebrada,"Live - Festival Iminente, Portugal","Linn Da Quebrada

            —
            Live - Festival Iminente, Portugal",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
8,livezdblisbon,9,Lolina,"Live - ZDB, Lisbon","Lolina

            —
            Live - ZDB, Lisbon",,,,https://boomkat.com/assets/missing-image-ff66121553d0b6715416d6811c4ce4e0a66c91fabaf17e923f8741023340e44f.png,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
9,not-really-now-not-any-more,10,Ondness,Not Really Now Not Any More,"Ondness

              —
              Not Really Now Not Any More
            
              (Holuzam)",Holuzam,"Known for his releases on Sucata Tapes, Paralaxe Editions and Where To Now?, Portuguese “sound activist” Bruno Silva aka Ondness embraces ideas of chance, chaos and ambiguity in a spannered, enigmatic album for Holuzam, the weird, second cousin to the mighty Príncipe label.

Through his minimalist percussive formation, Ondness reminds us of the swung... more",/products/not-really-now-not-any-more,https://assets.boomkat.com/spree/products/590140/product/880918234878.jpg,987,Rainer Veil,2019,https://boomkat.com/charts/boomkat-end-of-year-charts-2019/987
